Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.003907,8.326513,[21  7] ; [ 8 15],[15.92156863 12.07843137] ; [13.07843137  9.92156863],0
s7,1,0.300146,1.073546,[14 10] ; [ 9 12],[12.26666667 11.73333333] ; [10.73333333 10.26666667],0
b1,1,0.331382,0.943488,[16 12] ; [10 13],[14.2745098 13.7254902] ; [11.7254902 11.2745098],0
v2,1,0.368365,0.809172,[14 13] ; [ 9 14],[12.42 14.58] ; [10.58 12.42],0
p6,1,0.373405,0.7923,[11 17] ; [ 6 16],[ 9.52 18.48] ; [ 7.48 14.52],0
p3,1,0.400416,0.707076,[13 15] ; [ 8 15],[11.52941176 16.47058824] ; [ 9.47058824 13.52941176],0
a6,1,0.507142,0.439959,[16 12] ; [11 12],[14.82352941 13.17647059] ; [12.17647059 10.82352941],0
n3,1,0.525718,0.402661,[11  3] ; [6 3],[10.34782609  3.65217391] ; [6.65217391 2.34782609],0
v4,1,0.537537,0.380124,[24  4] ; [21  2],[24.70588235  3.29411765] ; [20.29411765  2.70588235],0
p1,1,0.537537,0.380124,[ 4 24] ; [ 2 21],[ 3.29411765 24.70588235] ; [ 2.70588235 20.29411765],0
p10,1,0.550978,0.355567,[17 10] ; [12 10],[15.97959184 11.02040816] ; [13.02040816  8.97959184],0
b5,1,0.572014,0.319325,[18 10] ; [13 10],[17.01960784 10.98039216] ; [13.98039216  9.01960784],0
s2,1,0.603349,0.269975,[19  9] ; [14  9],[18.11764706  9.88235294] ; [14.88235294  8.11764706],0
a3,1,0.634308,0.226264,[20  8] ; [15  8],[19.21568627  8.78431373] ; [15.78431373  7.21568627],0
u1,1,0.638102,0.221233,[ 5 23] ; [ 3 20],[ 4.39215686 23.60784314] ; [ 3.60784314 19.39215686],0
s6,1,0.652617,0.202616,[19  8] ; [16  5],[19.6875  7.3125] ; [15.3125  5.6875],0
r1,1,0.690648,0.158385,[18 10] ; [16  7],[18.66666667  9.33333333] ; [15.33333333  7.66666667],0
s1,1,0.701061,0.14737,[ 2 26] ; [ 1 21],[ 1.68 26.32] ; [ 1.32 20.68],0
r4,1,0.728255,0.12072,[23  5] ; [18  5],[22.50980392  5.49019608] ; [18.49019608  4.50980392],0
s3,1,0.740667,0.109541,[17 11] ; [15  8],[17.56862745 10.43137255] ; [14.43137255  8.56862745],0
a2,1,0.761544,0.092084,[ 4 24] ; [ 4 19],[ 4.39215686 23.60784314] ; [ 3.60784314 19.39215686],0
p7,1,0.801881,0.062958,[13 15] ; [11 11],[13.44 14.56] ; [10.56 11.44],0
p9,1,0.881087,0.022378,[16 10] ; [14  8],[16.25  9.75] ; [13.75  8.25],0
a1,1,0.886974,0.020202,[ 1 27] ; [ 1 22],[ 1.09803922 26.90196078] ; [ 0.90196078 22.09803922],0
b2,1,0.901321,0.015374,[3 9] ; [3 8],[3.13043478 8.86956522] ; [2.86956522 8.13043478],0
b3,1,0.901321,0.015374,[3 9] ; [3 8],[3.13043478 8.86956522] ; [2.86956522 8.13043478],0
a4,1,0.920746,0.009899,[13 15] ; [11 12],[13.17647059 14.82352941] ; [10.82352941 12.17647059],0
a5,1,0.944768,0.0048,[18 10] ; [15  8],[18.11764706  9.88235294] ; [14.88235294  8.11764706],0
s8,1,0.990983,0.000128,[11 17] ; [ 9 14],[10.98039216 17.01960784] ; [ 9.01960784 13.98039216],0
