Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,78.99095,[244  42] ; [11 33],[221.  65.] ; [34. 10.],1
n3,1,0.046176,3.975147,[68 32] ; [10 12],[63.93442623 36.06557377] ; [14.06557377  7.93442623],0
p6,1,0.049579,3.855654,[ 45 237] ; [ 2 41],[ 40.78153846 241.21846154] ; [ 6.21846154 36.78153846],0
d4,1,0.053747,3.720532,[219  65] ; [28 16],[213.86585366  70.13414634] ; [33.13414634 10.86585366],0
s1,1,0.064817,3.409633,[  9 271] ; [ 4 40],[ 11.2345679 268.7654321] ; [ 1.7654321 42.2345679],0
d1,1,0.08707,2.927731,[137 149] ; [15 29],[131.73333333 154.26666667] ; [20.26666667 23.73333333],0
b2,1,0.104658,2.63308,[45 99] ; [14 16],[48.82758621 95.17241379] ; [10.17241379 19.82758621],0
b3,1,0.104658,2.63308,[45 99] ; [14 16],[48.82758621 95.17241379] ; [10.17241379 19.82758621],0
a2,1,0.147501,2.097902,[ 51 235] ; [ 4 40],[ 47.66666667 238.33333333] ; [ 7.33333333 36.66666667],0
s5,1,0.156225,2.010396,[ 65 210] ; [ 6 37],[ 61.39937107 213.60062893] ; [ 9.60062893 33.39937107],0
u1,1,0.195148,1.678322,[ 31 255] ; [ 2 42],[ 28.6 257.4] ; [ 4.4 39.6],0
s4,1,0.275488,1.189215,[ 51 232] ; [ 5 39],[ 48.4648318 234.5351682] ; [ 7.5351682 36.4648318],0
n5,1,0.277,1.181751,[186  99] ; [25 19],[182.78115502 102.21884498] ; [28.21884498 15.78115502],0
s7,1,0.305415,1.050402,[ 94 181] ; [11 31],[ 91.08832808 183.91167192] ; [13.91167192 28.08832808],0
a4,1,0.376223,0.783006,[106 179] ; [13 30],[103.39939024 181.60060976] ; [15.60060976 27.39939024],0
n1,1,0.392508,0.731157,[34 66] ; [10 13],[35.77235772 64.22764228] ; [ 8.22764228 14.77235772],0
p12,1,0.427985,0.628286,[ 14 268] ; [ 1 43],[ 12.97546012 269.02453988] ; [ 2.02453988 41.97546012],0
d2,1,0.553647,0.350824,[112 172] ; [19 24],[113.77370031 170.22629969] ; [17.22629969 25.77370031],0
b4,1,0.567154,0.327468,[169 117] ; [28 16],[170.73333333 115.26666667] ; [26.26666667 17.73333333],0
a8,1,0.628216,0.234488,[ 35 230] ; [ 7 37],[ 36.01941748 228.98058252] ; [ 5.98058252 38.01941748],0
a3,1,0.645714,0.211347,[182 102] ; [26 17],[180.64831804 103.35168196] ; [27.35168196 15.64831804],0
u4,1,0.658569,0.195266,[  4 282] ; [ 1 43],[  4.33333333 281.66666667] ; [ 0.66666667 43.33333333],0
p5,1,0.747621,0.103541,[  9 275] ; [ 1 43],[  8.65853659 275.34146341] ; [ 1.34146341 42.65853659],0
n4,1,0.874234,0.025053,[185 101] ; [29 15],[185.46666667 100.53333333] ; [28.53333333 15.46666667],0
