Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,24.099664,[495   9] ; [83 11],[487.14381271  16.85618729] ; [90.85618729  3.14381271],1
d2,1,0.195477,1.675846,[250 254] ; [54 41],[255.78631052 248.21368948] ; [48.21368948 46.78631052],0
a8,1,0.218667,1.513101,[ 68 394] ; [ 8 75],[ 64.42568807 397.57431193] ; [11.57431193 71.42568807],0
v2,1,0.219524,1.50748,[303 179] ; [51 40],[297.78010471 184.21989529] ; [56.21989529 34.78010471],0
s7,1,0.262856,1.253652,[260 228] ; [52 35],[264.79304348 223.20695652] ; [47.20695652 39.79304348],0
s5,1,0.266348,1.235458,[182 308] ; [39 51],[186.70689655 303.29310345] ; [34.29310345 55.70689655],0
v3,1,0.289323,1.12277,[214 270] ; [36 58],[209.34256055 274.65743945] ; [40.65743945 53.34256055],0
s2,1,0.319755,0.98995,[267 233] ; [56 39],[271.42857143 228.57142857] ; [51.57142857 43.42857143],0
s6,1,0.353514,0.860804,[352 145] ; [71 23],[355.72081218 141.27918782] ; [67.27918782 26.72081218],0
d5,1,0.46918,0.523906,[420  84] ; [82 13],[422.38397329  81.61602671] ; [79.61602671 15.38397329],0
s3,1,0.49395,0.46791,[296 201] ; [53 42],[292.99493243 204.00506757] ; [56.00506757 38.99493243],0
s8,1,0.51668,0.420515,[246 256] ; [50 45],[248.89782245 253.10217755] ; [47.10217755 47.89782245],0
b5,1,0.520809,0.412291,[291 215] ; [58 37],[293.83361065 212.16638935] ; [55.16638935 39.83361065],0
r2,1,0.523327,0.407332,[486  15] ; [90  4],[485.00168067  15.99831933] ; [90.99831933  3.00168067],0
n2,1,0.619121,0.247105,[58 20] ; [26  7],[59.02702703 18.97297297] ; [24.97297297  8.02702703],0
a1,1,0.624663,0.239368,[ 21 485] ; [ 5 90],[ 21.89018303 484.10981697] ; [ 4.10981697 90.89018303],0
a4,1,0.648797,0.20742,[237 268] ; [47 48],[239.03333333 265.96666667] ; [44.96666667 50.03333333],0
u3,1,0.659618,0.193988,[80 45] ; [13  9],[79.08163265 45.91836735] ; [13.91836735  8.08163265],0
p1,1,0.682558,0.16726,[ 44 460] ; [ 7 87],[ 42.98327759 461.01672241] ; [ 8.01672241 85.98327759],0
d4,1,0.762476,0.091344,[429  75] ; [82 13],[429.95659432  74.04340568] ; [81.04340568 13.95659432],0
d3,1,0.764483,0.089759,[369 136] ; [68 27],[367.80833333 137.19166667] ; [69.19166667 25.80833333],0
p6,1,0.837188,0.042227,[194 305] ; [38 57],[194.8956229 304.1043771] ; [37.1043771 57.8956229],0
n3,1,0.848482,0.036502,[57 20] ; [25  8],[57.4 19.6] ; [24.6  8.4],0
u1,1,0.868178,0.027547,[105 401] ; [19 76],[104.39933444 401.60066556] ; [19.60066556 75.39933444],0
d1,1,0.899919,0.015817,[323 183] ; [60 35],[322.45923461 183.54076539] ; [60.54076539 34.45923461],0
b4,1,0.916099,0.011098,[290 216] ; [55 40],[290.46589018 215.53410982] ; [54.53410982 40.46589018],0
a7,1,0.948519,0.004169,[379 126] ; [71 24],[378.75 126.25] ; [71.25 23.75],0
n1,1,0.962704,0.002187,[28 50] ; [12 21],[28.10810811 49.89189189] ; [11.89189189 21.10810811],0
a2,1,0.973082,0.001139,[134 372] ; [25 70],[133.86688852 372.13311148] ; [25.13311148 69.86688852],0
a3,1,0.985745,0.000319,[381 124] ; [71 23],[381.06844741 123.93155259] ; [70.93155259 23.06844741],0
