Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.0,28.458733,[  6 153] ; [10 20],[ 13.46031746 145.53968254] ; [ 2.53968254 27.46031746],1
n5,1,0.153996,2.032212,[113  45] ; [26  5],[116.2010582  41.7989418] ; [22.7989418  8.2010582],0
d3,1,0.161777,1.957533,[68 92] ; [ 9 22],[64.5026178 95.4973822] ; [12.4973822 18.5026178],0
b5,1,0.162425,1.951505,[94 66] ; [14 17],[90.47120419 69.52879581] ; [17.52879581 13.47120419],0
n3,1,0.191355,1.707158,[19 11] ; [7 1],[20.52631579  9.47368421] ; [5.47368421 2.52631579],0
p7,1,0.238695,1.388283,[122  35] ; [27  4],[124.43085106  32.56914894] ; [24.56914894  6.43085106],0
p11,1,0.313443,1.016111,[133  27] ; [28  3],[134.86910995  25.13089005] ; [26.13089005  4.86910995],0
a4,1,0.351858,0.866746,[ 34 125] ; [ 9 22],[ 35.98421053 123.01578947] ; [ 7.01578947 23.98421053],0
a7,1,0.37563,0.784956,[105  54] ; [23  8],[107.11578947  51.88421053] ; [20.88421053 10.11578947],0
v2,1,0.412933,0.67034,[76 76] ; [18 13],[78.07650273 73.92349727] ; [15.92349727 15.07650273],0
a5,1,0.467843,0.527066,[92 68] ; [20 11],[93.82198953 66.17801047] ; [18.17801047 12.82198953],0
s1,1,0.497018,0.461298,[  6 153] ; [ 2 29],[  6.69473684 152.30526316] ; [ 1.30526316 29.69473684],0
d4,1,0.50759,0.439033,[93 67] ; [20 11],[94.65968586 65.34031414] ; [18.34031414 12.65968586],0
v1,1,0.513666,0.426592,[74 84] ; [16 14],[75.63829787 82.36170213] ; [14.36170213 15.63829787],0
b1,1,0.549157,0.35883,[66 94] ; [11 20],[64.5026178 95.4973822] ; [12.4973822 18.5026178],0
s3,1,0.576475,0.311968,[82 75] ; [14 16],[80.59893048 76.40106952] ; [15.40106952 14.59893048],0
r4,1,0.639272,0.219695,[134  26] ; [27  4],[134.86910995  25.13089005] ; [26.13089005  4.86910995],0
r1,1,0.641835,0.21635,[115  45] ; [21 10],[113.92670157  46.07329843] ; [22.07329843  8.92670157],0
n1,1,0.64314,0.214659,[14 16] ; [3 5],[13.42105263 16.57894737] ; [3.57894737 4.42105263],0
r2,1,0.6816,0.168331,[141  17] ; [26  4],[140.35106383  17.64893617] ; [26.64893617  3.35106383],0
a3,1,0.691367,0.15761,[81 78] ; [17 14],[82.01052632 76.98947368] ; [15.98947368 15.01052632],0
d2,1,0.725746,0.123054,[ 19 141] ; [ 3 28],[ 18.42931937 141.57068063] ; [ 3.57068063 27.42931937],0
a2,1,0.739814,0.110291,[  8 152] ; [ 2 29],[  8.37696335 151.62303665] ; [ 1.62303665 29.37696335],0
n2,1,0.757914,0.095,[24  6] ; [6 2],[23.68421053  6.31578947] ; [6.31578947 1.68421053],0
r3,1,0.837581,0.04202,[148  12] ; [29  2],[148.27225131  11.72774869] ; [28.72774869  2.27225131],0
s2,1,0.856169,0.032853,[69 90] ; [14 17],[69.45789474 89.54210526] ; [13.54210526 17.45789474],0
d5,1,0.87732,0.023829,[85 75] ; [16 15],[84.60732984 75.39267016] ; [16.39267016 14.60732984],0
a6,1,0.891929,0.018459,[95 65] ; [18 13],[94.65968586 65.34031414] ; [18.34031414 12.65968586],0
u3,1,0.893268,0.018002,[37 40] ; [7 7],[37.23076923 39.76923077] ; [6.76923077 7.23076923],0
v4,1,0.924999,0.008862,[148  11] ; [29  2],[148.12105263  10.87894737] ; [28.87894737  2.12105263],0
a8,1,0.962267,0.002238,[ 19 127] ; [ 4 26],[ 19.07954545 126.92045455] ; [ 3.92045455 26.07954545],0
p2,1,0.97327,0.001123,[139  21] ; [27  4],[139.05759162  20.94240838] ; [26.94240838  4.05759162],0
