Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4e-06,21.193705,[83  2] ; [104  37],[70.33185841 14.66814159] ; [116.66814159  24.33185841],1
p3,1,0.655135,0.199487,[40 47] ; [61 81],[38.37117904 48.62882096] ; [62.62882096 79.37117904],0
u3,1,0.658202,0.195715,[8 4] ; [19 13],[7.36363636 4.63636364] ; [19.63636364 12.36363636],0
u1,1,0.665407,0.187022,[21 66] ; [ 31 112],[19.66956522 67.33043478] ; [ 32.33043478 110.66956522],0
n4,1,0.694931,0.153799,[69 16] ; [113  30],[67.85087719 17.14912281] ; [114.14912281  28.85087719],0
b4,1,0.717323,0.131072,[52 35] ; [82 61],[50.68695652 36.31304348] ; [83.31304348 59.68695652],0
p11,1,0.720114,0.128384,[67 20] ; [113  30],[68.08695652 18.91304348] ; [111.91304348  31.08695652],0
n2,1,0.723299,0.125354,[19  4] ; [26  7],[18.48214286  4.51785714] ; [26.51785714  6.48214286],0
b1,1,0.739095,0.110924,[36 51] ; [56 87],[34.8 52.2] ; [57.2 85.8],0
a8,1,0.755262,0.097162,[13 62] ; [ 25 106],[13.83495146 61.16504854] ; [ 24.16504854 106.83495146],0
a7,1,0.800963,0.063555,[61 26] ; [98 45],[60.14347826 26.85652174] ; [98.85652174 44.14347826],0
s1,1,0.826096,0.048273,[ 4 79] ; [  6 137],[ 3.67256637 79.32743363] ; [  6.32743363 136.67256637],0
a4,1,0.893608,0.017886,[40 47] ; [64 78],[39.51091703 47.48908297] ; [64.48908297 77.51091703],0
p10,1,0.89783,0.016487,[71 15] ; [119  24],[71.35371179 14.64628821] ; [118.64628821  24.35371179],0
d3,1,0.904468,0.014405,[60 27] ; [99 43],[60.40611354 26.59388646] ; [98.59388646 43.40611354],0
v1,1,0.950508,0.003853,[44 42] ; [69 67],[43.77477477 42.22522523] ; [69.22522523 66.77477477],0
d1,1,0.96061,0.002439,[52 35] ; [85 58],[51.82173913 35.17826087] ; [85.17826087 57.82173913],0
u4,1,0.984555,0.000375,[ 3 84] ; [  5 138],[ 3.02608696 83.97391304] ; [  4.97391304 138.02608696],0
u2,1,0.986606,0.000282,[6 5] ; [17 14],[6.02380952 4.97619048] ; [16.97619048 14.02380952],0
