Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,9.1e-05,15.320386,[69 11] ; [14 14],[61.48148148 18.51851852] ; [21.51851852  6.48148148],1
a1,1,0.781167,0.077172,[ 2 79] ; [ 1 28],[ 2.20909091 78.79090909] ; [ 0.79090909 28.20909091],0
a4,1,0.814373,0.055125,[26 55] ; [10 19],[26.50909091 54.49090909] ; [ 9.49090909 19.50909091],0
n1,1,0.825309,0.048718,[ 5 20] ; [ 3 10],[ 5.26315789 19.73684211] ; [ 2.73684211 10.26315789],0
a8,1,0.825566,0.048573,[ 2 71] ; [ 1 27],[ 2.16831683 70.83168317] ; [ 0.83168317 27.16831683],0
u3,1,0.828969,0.046667,[14 11] ; [6 4],[14.28571429 10.71428571] ; [5.71428571 4.28571429],0
p12,1,0.856764,0.032578,[ 5 76] ; [ 2 26],[ 5.20183486 75.79816514] ; [ 1.79816514 26.20183486],0
p6,1,0.869989,0.026789,[21 58] ; [ 7 21],[20.6728972 58.3271028] ; [ 7.3271028 20.6728972],0
s3,1,0.873596,0.025311,[40 40] ; [14 15],[39.63302752 40.36697248] ; [14.36697248 14.63302752],0
s7,1,0.876613,0.024107,[27 53] ; [ 9 19],[26.66666667 53.33333333] ; [ 9.33333333 18.66666667],0
b4,1,0.931912,0.0073,[51 30] ; [18 11],[50.80909091 30.19090909] ; [18.19090909 10.80909091],0
