Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.8e-05,18.397282,[67  5] ; [18 13],[59.41747573 12.58252427] ; [25.58252427  5.41747573],1
s1,1,0.39294,0.729826,[ 2 68] ; [ 2 29],[ 2.77227723 67.22772277] ; [ 1.22772277 29.77227723],0
s6,1,0.397499,0.715878,[51 20] ; [19 11],[49.20792079 21.79207921] ; [20.79207921  9.20792079],0
b2,1,0.406949,0.687695,[24 23] ; [13  8],[25.57352941 21.42647059] ; [11.42647059  9.57352941],0
b3,1,0.406949,0.687695,[24 23] ; [13  8],[25.57352941 21.42647059] ; [11.42647059  9.57352941],0
s2,1,0.416399,0.660456,[45 26] ; [17 14],[43.15686275 27.84313725] ; [18.84313725 12.15686275],0
p11,1,0.419554,0.651565,[50 22] ; [19 12],[48.23300971 23.76699029] ; [20.76699029 10.23300971],0
n2,1,0.424427,0.638024,[11  8] ; [10  4],[12.09090909  6.90909091] ; [8.90909091 5.09090909],0
u3,1,0.439161,0.598475,[12  7] ; [7 2],[12.89285714  6.10714286] ; [6.10714286 2.89285714],0
a6,1,0.447607,0.576705,[54 18] ; [21 10],[52.42718447 19.57281553] ; [22.57281553  8.42718447],0
r1,1,0.447607,0.576705,[54 18] ; [21 10],[52.42718447 19.57281553] ; [22.57281553  8.42718447],0
p7,1,0.475112,0.510061,[48 22] ; [19 12],[46.43564356 23.56435644] ; [20.56435644 10.43564356],0
b5,1,0.52513,0.403806,[51 21] ; [20 11],[49.63106796 22.36893204] ; [21.36893204  9.63106796],0
d5,1,0.559829,0.34,[61 11] ; [24  6],[60. 12.] ; [25.  5.],0
v2,1,0.596844,0.279783,[43 26] ; [17 13],[41.81818182 27.18181818] ; [18.18181818 11.81818182],0
a1,1,0.62065,0.244956,[ 3 69] ; [ 2 29],[ 3.49514563 68.50485437] ; [ 1.50485437 29.49514563],0
u1,1,0.626555,0.236761,[22 50] ; [ 8 23],[20.97087379 51.02912621] ; [ 9.02912621 21.97087379],0
a2,1,0.726056,0.122763,[23 49] ; [11 20],[23.76699029 48.23300971] ; [10.23300971 20.76699029],0
a5,1,0.727997,0.120958,[51 21] ; [23  8],[51.72815534 20.27184466] ; [22.27184466  8.72815534],0
n3,1,0.746108,0.104831,[14  5] ; [11  3],[14.39393939  4.60606061] ; [10.60606061  3.39393939],0
a3,1,0.782106,0.076494,[53 19] ; [22  9],[52.42718447 19.57281553] ; [22.57281553  8.42718447],0
a4,1,0.785062,0.074381,[41 30] ; [17 14],[40.37254902 30.62745098] ; [17.62745098 13.37254902],0
u2,1,0.815276,0.054581,[14  5] ; [7 2],[14.25  4.75] ; [6.75 2.25],0
d3,1,0.816765,0.053689,[49 22] ; [20 10],[48.5049505 22.4950495] ; [20.4950495  9.5049505],0
d4,1,0.864356,0.029184,[57 15] ; [25  6],[57.32038835 14.67961165] ; [24.67961165  6.32038835],0
s8,1,0.898266,0.016346,[37 35] ; [15 15],[36.70588235 35.29411765] ; [15.29411765 14.70588235],0
p12,1,0.901295,0.015382,[ 2 70] ; [ 1 30],[ 2.09708738 69.90291262] ; [ 0.90291262 30.09708738],0
a8,1,0.901984,0.015167,[ 6 57] ; [ 3 26],[ 6.16304348 56.83695652] ; [ 2.83695652 26.16304348],0
a7,1,0.908782,0.013127,[52 20] ; [22  8],[52.23529412 19.76470588] ; [21.76470588  8.23529412],0
v4,1,0.92737,0.008309,[67  5] ; [29  2],[67.10679612  4.89320388] ; [28.89320388  2.10679612],0
d2,1,0.949919,0.003945,[39 33] ; [17 14],[39.14563107 32.85436893] ; [16.85436893 14.14563107],0
d1,1,0.979756,0.000644,[42 30] ; [18 13],[41.94174757 30.05825243] ; [18.05825243 12.94174757],0
s7,1,0.992597,8.6e-05,[43 25] ; [19 11],[43.02040816 24.97959184] ; [18.97959184 11.02040816],0
