Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,81.862352,[355  95] ; [65 96],[309.3289689 140.6710311] ; [110.6710311  50.3289689],1
d4,1,0.084102,2.983787,[382  69] ; [126  34],[374.97217676  76.02782324] ; [133.02782324  26.97217676],0
p12,1,0.123743,2.369297,[ 47 404] ; [ 10 149],[ 42.14262295 408.85737705] ; [ 14.85737705 144.14262295],0
u2,1,0.136784,2.213774,[83 45] ; [19 18],[79.12727273 48.87272727] ; [22.87272727 14.12727273],0
s8,1,0.14136,2.16309,[198 250] ; [82 79],[205.97701149 242.02298851] ; [74.02298851 86.97701149],0
p8,1,0.176082,1.830387,[254 193] ; [81 79],[246.69686985 200.30313015] ; [88.30313015 71.69686985],0
a3,1,0.180282,1.795294,[322 128] ; [124  37],[328.47790507 121.52209493] ; [117.52209493  43.47790507],0
a5,1,0.196402,1.668927,[346 106] ; [115  46],[339.92169657 112.07830343] ; [121.07830343  39.92169657],0
a1,1,0.231257,1.433111,[ 20 432] ; [ 11 150],[ 22.85807504 429.14192496] ; [  8.14192496 152.85807504],0
a8,1,0.24422,1.356066,[ 66 339] ; [ 19 135],[ 61.58318426 343.41681574] ; [ 23.41681574 130.58318426],0
n2,1,0.257193,1.283802,[65 18] ; [29 13],[62.416 20.584] ; [31.584 10.416],0
p3,1,0.257393,1.282723,[240 210] ; [77 83],[233.85245902 216.14754098] ; [83.14754098 76.85245902],0
p4,1,0.279332,1.170335,[285 165] ; [93 66],[279.31034483 170.68965517] ; [98.68965517 60.31034483],0
p2,1,0.350302,0.872361,[393  58] ; [133  25],[389.53366174  61.46633826] ; [136.46633826  21.53366174],0
p1,1,0.391431,0.734492,[ 44 406] ; [ 12 148],[ 41.31147541 408.68852459] ; [ 14.68852459 145.31147541],0
b4,1,0.453442,0.562035,[268 184] ; [90 71],[263.97389886 188.02610114] ; [94.02610114 66.97389886],0
s5,1,0.474806,0.510769,[138 303] ; [ 53 101],[141.56470588 299.43529412] ; [ 49.43529412 104.56470588],0
n4,1,0.484322,0.489117,[359  93] ; [132  29],[362.04241436  89.95758564] ; [128.95758564  32.04241436],0
s7,1,0.524499,0.405038,[209 218] ; [81 75],[212.40137221 214.59862779] ; [77.59862779 78.40137221],0
s2,1,0.542905,0.370182,[224 224] ; [76 85],[220.68965517 227.31034483] ; [79.31034483 81.68965517],0
p6,1,0.554551,0.349227,[163 285] ; [ 53 104],[159.94710744 288.05289256] ; [ 56.05289256 100.94710744],0
u4,1,0.574127,0.315825,[  8 444] ; [  4 157],[  8.84828711 443.15171289] ; [  3.15171289 157.84828711],0
p7,1,0.596785,0.279873,[293 148] ; [100  56],[290.30653266 150.69346734] ; [102.69346734  53.30653266],0
s6,1,0.614378,0.253849,[294 152] ; [100  57],[291.41625207 154.58374793] ; [102.58374793  54.41625207],0
n6,1,0.664786,0.187762,[387  61] ; [136  24],[385.36842105  62.63157895] ; [137.63157895  22.36842105],0
p11,1,0.687134,0.162205,[385  67] ; [135  26],[383.42577488  68.57422512] ; [136.57422512  24.42577488],0
n3,1,0.745654,0.105219,[61 22] ; [29 12],[60.24193548 22.75806452] ; [29.75806452 11.24193548],0
d2,1,0.757971,0.094954,[213 237] ; [78 82],[214.67213115 235.32786885] ; [76.32786885 83.67213115],0
s1,1,0.785164,0.074308,[ 13 433] ; [  4 156],[ 12.51155116 433.48844884] ; [  4.48844884 155.51155116],0
p5,1,0.803235,0.062082,[ 59 390] ; [ 22 136],[ 59.91598023 389.08401977] ; [ 21.08401977 136.91598023],0
a4,1,0.841708,0.039884,[203 248] ; [71 90],[201.91830065 249.08169935] ; [72.08169935 88.91830065],0
v1,1,0.883856,0.02134,[247 189] ; [90 67],[247.77740304 188.22259696] ; [89.22259696 67.77740304],0
n1,1,0.937254,0.006197,[33 50] ; [16 25],[32.7983871 50.2016129] ; [16.2016129 24.7983871],0
v3,1,0.951408,0.003713,[186 247] ; [67 90],[185.67627119 247.32372881] ; [67.32372881 89.67627119],0
p9,1,0.985074,0.00035,[423  28] ; [150  10],[422.95090016  28.04909984] ; [150.04909984   9.95090016],0
s3,1,0.995344,3.4e-05,[241 202] ; [87 73],[240.96849088 202.03150912] ; [87.03150912 72.96849088],0
