Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,9.2e-05,15.301149,[8 2] ; [ 4 25],[3.07692308 6.92307692] ; [ 8.92307692 20.07692308],1
b5,1,0.777231,0.080049,[5 5] ; [13 16],[4.61538462 5.38461538] ; [13.38461538 15.61538462],0
a5,1,0.777231,0.080049,[5 5] ; [16 13],[5.38461538 4.61538462] ; [15.61538462 13.38461538],0
s5,1,0.83528,0.043237,[1 8] ; [ 4 25],[1.18421053 7.81578947] ; [ 3.81578947 25.18421053],0
b3,1,0.907008,0.013645,[4 5] ; [ 8 11],[3.85714286 5.14285714] ; [ 8.14285714 10.85714286],0
b2,1,0.907008,0.013645,[4 5] ; [ 8 11],[3.85714286 5.14285714] ; [ 8.14285714 10.85714286],0
b1,1,0.907679,0.013448,[6 4] ; [18 11],[6.15384615 3.84615385] ; [17.84615385 11.15384615],0
n5,1,0.939048,0.005847,[6 4] ; [17 12],[5.8974359 4.1025641] ; [17.1025641 11.8974359],0
r1,1,0.939048,0.005847,[4 6] ; [12 17],[4.1025641 5.8974359] ; [11.8974359 17.1025641],0
d4,1,0.939048,0.005847,[6 4] ; [17 12],[5.8974359 4.1025641] ; [17.1025641 11.8974359],0
d1,1,0.951264,0.003736,[3 7] ; [ 9 20],[3.07692308 6.92307692] ; [ 8.92307692 20.07692308],0
