Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,4.1e-05,16.845219,[  5 101] ; [ 8 17],[10.51908397 95.48091603] ; [ 2.48091603 22.51908397],1
n6,1,0.159462,1.979323,[90 15] ; [24  1],[92.07692308 12.92307692] ; [21.92307692  3.07692308],0
a6,1,0.169563,1.886804,[56 50] ; [17  8],[59.06870229 46.93129771] ; [13.93129771 11.06870229],0
a4,1,0.178564,1.809532,[54 52] ; [ 9 16],[50.97709924 55.02290076] ; [12.02290076 12.97709924],0
p6,1,0.180791,1.79111,[35 69] ; [12 13],[37.89147287 66.10852713] ; [ 9.10852713 15.89147287],0
p11,1,0.20372,1.6155,[81 25] ; [22  3],[83.34351145 22.65648855] ; [19.65648855  5.34351145],0
a7,1,0.214459,1.541064,[66 39] ; [19  6],[68.65384615 36.34615385] ; [16.34615385  8.65384615],0
n5,1,0.224728,1.473923,[71 34] ; [20  5],[73.5 31.5] ; [17.5  7.5],0
a2,1,0.236724,1.399995,[24 82] ; [ 3 22],[21.84732824 84.15267176] ; [ 5.15267176 19.84732824],0
u3,1,0.283962,1.148032,[19 16] ; [6 2],[20.34883721 14.65116279] ; [4.65116279 3.34883721],0
d4,1,0.321554,0.982615,[92 13] ; [20  5],[90.46153846 14.53846154] ; [21.53846154  3.46153846],0
b5,1,0.324794,0.969542,[54 52] ; [10 15],[51.78625954 54.21374046] ; [12.21374046 12.78625954],0
d5,1,0.368967,0.807141,[85 21] ; [18  7],[83.34351145 22.65648855] ; [19.65648855  5.34351145],0
r4,1,0.410375,0.677715,[91 15] ; [23  2],[92.24427481 13.75572519] ; [21.75572519  3.24427481],0
v4,1,0.434624,0.610436,[95  9] ; [24  1],[95.9379845  8.0620155] ; [23.0620155  1.9379845],0
s2,1,0.4367,0.604938,[60 46] ; [12 13],[58.25954198 47.74045802] ; [13.74045802 11.25954198],0
d3,1,0.450459,0.569498,[72 34] ; [15 10],[70.39694656 35.60305344] ; [16.60305344  8.39694656],0
v1,1,0.48384,0.490195,[46 58] ; [13 12],[47.56589147 56.43410853] ; [11.43410853 13.56589147],0
r1,1,0.515641,0.422603,[82 23] ; [18  7],[80.76923077 24.23076923] ; [19.23076923  5.76923077],0
p7,1,0.576932,0.311222,[67 37] ; [14 10],[65.8125 38.1875] ; [15.1875  8.8125],0
u1,1,0.613617,0.254941,[17 89] ; [ 3 22],[16.18320611 89.81679389] ; [ 3.81679389 21.18320611],0
v2,1,0.650738,0.204971,[53 51] ; [14 11],[54.01550388 49.98449612] ; [12.98449612 12.01550388],0
s7,1,0.655025,0.199624,[41 62] ; [ 8 15],[40.05555556 62.94444444] ; [ 8.94444444 14.05555556],0
a8,1,0.724495,0.124226,[11 87] ; [ 2 21],[10.52892562 87.47107438] ; [ 2.47107438 20.52892562],0
d1,1,0.740723,0.109493,[59 47] ; [13 12],[58.25954198 47.74045802] ; [13.74045802 11.25954198],0
s1,1,0.870382,0.026626,[  5 100] ; [ 1 24],[  4.84615385 100.15384615] ; [ 1.15384615 23.84615385],0
b1,1,0.922259,0.009524,[35 71] ; [ 8 17],[34.79389313 71.20610687] ; [ 8.20610687 16.79389313],0
d2,1,0.925691,0.008699,[51 53] ; [12 13],[50.79069767 53.20930233] ; [12.20930233 12.79069767],0
n3,1,0.96042,0.002463,[15  8] ; [2 1],[15.03846154  7.96153846] ; [1.96153846 1.03846154],0
r3,1,0.968936,0.001517,[95  8] ; [23  2],[94.953125  8.046875] ; [23.046875  1.953125],0
a3,1,0.9708,0.00134,[71 34] ; [17  8],[71.07692308 33.92307692] ; [16.92307692  8.07692308],0
s6,1,0.98968,0.000167,[83 22] ; [19  5],[83.02325581 21.97674419] ; [18.97674419  5.02325581],0
b4,1,0.994197,5.3e-05,[72 34] ; [17  8],[72.01526718 33.98473282] ; [16.98473282  8.01526718],0
p2,1,0.996309,2.1e-05,[89 17] ; [21  4],[89.00763359 16.99236641] ; [20.99236641  4.00763359],0
