Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,88.46641,[ 79 105] ; [427 109],[129.31111111  54.68888889] ; [376.68888889 159.31111111],1
p12,1,0.474877,0.510606,[ 13 166] ; [ 48 486],[ 15.3141655 163.6858345] ; [ 45.6858345 488.3141655],0
v1,1,0.48977,0.477031,[104  75] ; [290 236],[100.03687943  78.96312057] ; [293.96312057 232.03687943],0
s2,1,0.511015,0.431988,[91 91] ; [281 251],[94.82352941 87.17647059] ; [277.17647059 254.82352941],0
n6,1,0.518505,0.416865,[150  31] ; [455  81],[152.72663877  28.27336123] ; [452.27336123  83.72663877],0
d2,1,0.519776,0.414338,[89 95] ; [274 262],[92.76666667 91.23333333] ; [270.23333333 265.76666667],0
n5,1,0.548328,0.360321,[139  41] ; [402 134],[136.00558659  43.99441341] ; [404.99441341 131.00558659],0
v3,1,0.553489,0.351103,[77 98] ; [213 301],[ 73.6574746 101.3425254] ; [216.3425254 297.6574746],0
a8,1,0.571514,0.320156,[ 23 154] ; [ 70 405],[ 25.24693252 151.75306748] ; [ 67.75306748 407.24693252],0
u4,1,0.590118,0.29016,[  5 179] ; [ 11 528],[  4.07192254 179.92807746] ; [ 11.92807746 527.07192254],0
n1,1,0.636955,0.222747,[19 27] ; [41 69],[17.69230769 28.30769231] ; [42.30769231 67.69230769],0
u2,1,0.69774,0.150834,[27 21] ; [85 58],[28.14659686 19.85340314] ; [83.85340314 59.14659686],0
s3,1,0.771589,0.084272,[106  76] ; [301 227],[104.32957746  77.67042254] ; [302.67042254 225.32957746],0
s6,1,0.789095,0.071549,[121  56] ; [368 162],[122.42291372  54.57708628] ; [366.57708628 163.42291372],0
p6,1,0.805909,0.060372,[ 64 114] ; [196 334],[ 65.36723164 112.63276836] ; [194.63276836 335.36723164],0
p7,1,0.89702,0.016751,[116  61] ; [338 182],[115.29124821  61.70875179] ; [338.70875179 181.29124821],0
p5,1,0.910817,0.012546,[ 21 158] ; [ 61 473],[ 20.58625526 158.41374474] ; [ 61.41374474 472.58625526],0
p3,1,0.949994,0.003933,[92 90] ; [269 266],[91.63458856 90.36541144] ; [269.36541144 265.63458856],0
a3,1,0.970838,0.001336,[135  49] ; [394 142],[135.18888889  48.81111111] ; [393.81111111 142.18888889],0
