Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,28.96301,[ 9 75] ; [15  9],[18.66666667 65.33333333] ; [ 5.33333333 18.66666667],1
a7,1,0.64926,0.206835,[59 25] ; [18  6],[59.88888889 24.11111111] ; [17.11111111  6.88888889],0
p1,1,0.676072,0.174581,[ 5 79] ; [ 2 22],[ 5.44444444 78.55555556] ; [ 1.55555556 22.44444444],0
r1,1,0.718817,0.129629,[52 31] ; [16  8],[52.74766355 30.25233645] ; [15.25233645  8.74766355],0
n2,1,0.821127,0.051119,[26 14] ; [8 5],[25.66037736 14.33962264] ; [8.33962264 4.66037736],0
r2,1,0.823465,0.04977,[72 12] ; [21  3],[72.33333333 11.66666667] ; [20.66666667  3.33333333],0
p8,1,0.835301,0.043226,[20 64] ; [ 5 18],[19.62616822 64.37383178] ; [ 5.37383178 17.62616822],0
s4,1,0.84544,0.038001,[16 68] ; [ 5 19],[16.33333333 67.66666667] ; [ 4.66666667 19.33333333],0
d3,1,0.874252,0.025046,[51 33] ; [15  9],[51.33333333 32.66666667] ; [14.66666667  9.33333333],0
a5,1,0.877182,0.023883,[40 44] ; [11 13],[39.66666667 44.33333333] ; [11.33333333 12.66666667],0
p4,1,0.906568,0.013776,[22 62] ; [ 6 18],[21.77777778 62.22222222] ; [ 6.22222222 17.77777778],0
r3,1,0.938971,0.005862,[73 11] ; [21  3],[73.11111111 10.88888889] ; [20.88888889  3.11111111],0
a6,1,0.957737,0.002808,[52 32] ; [15  9],[52.11111111 31.88888889] ; [14.88888889  9.11111111],0
p3,1,0.981521,0.000536,[14 69] ; [ 4 20],[13.96261682 69.03738318] ; [ 4.03738318 19.96261682],0
