Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,6.6e-05,15.930993,[ 2 29] ; [9 6],[ 7.41304348 23.58695652] ; [ 3.58695652 11.41304348],1
p3,1,0.379489,0.772356,[ 7 28] ; [ 5 11],[ 8.23529412 26.76470588] ; [ 3.76470588 12.23529412],0
s4,1,0.379489,0.772356,[ 7 28] ; [ 5 11],[ 8.23529412 26.76470588] ; [ 3.76470588 12.23529412],0
p11,1,0.391382,0.734643,[ 9 26] ; [ 6 10],[10.29411765 24.70588235] ; [ 4.70588235 11.29411765],0
n4,1,0.393347,0.728571,[22 13] ; [12  4],[23.33333333 11.66666667] ; [10.66666667  5.33333333],0
p10,1,0.433517,0.613383,[11 23] ; [7 9],[12.24 21.76] ; [ 5.76 10.24],0
v2,1,0.460172,0.545476,[ 7 26] ; [ 2 14],[ 6.06122449 26.93877551] ; [ 2.93877551 13.06122449],0
d1,1,0.51656,0.420756,[12 23] ; [7 9],[13.03921569 21.96078431] ; [ 5.96078431 10.03921569],0
u1,1,0.562451,0.335477,[ 1 34] ; [ 1 15],[ 1.37254902 33.62745098] ; [ 0.62745098 15.37254902],0
a8,1,0.57498,0.314421,[ 1 31] ; [ 1 14],[ 1.36170213 30.63829787] ; [ 0.63829787 14.36170213],0
r1,1,0.582601,0.302049,[16 19] ; [ 6 10],[15.09803922 19.90196078] ; [6.90196078 9.09803922],0
p8,1,0.627364,0.235652,[ 9 25] ; [ 3 12],[ 8.32653061 25.67346939] ; [ 3.67346939 11.32653061],0
a6,1,0.634308,0.226264,[15 20] ; [8 8],[15.78431373 19.21568627] ; [7.21568627 8.78431373],0
v4,1,0.653841,0.201092,[22 13] ; [9 7],[21.2745098 13.7254902] ; [9.7254902 6.2745098],0
u3,1,0.654992,0.199664,[ 5 12] ; [2 3],[ 5.40909091 11.59090909] ; [1.59090909 3.40909091],0
n5,1,0.740722,0.109493,[27  8] ; [13  3],[27.45098039  7.54901961] ; [12.54901961  3.45098039],0
a2,1,0.774783,0.081867,[ 3 32] ; [ 1 15],[ 2.74509804 32.25490196] ; [ 1.25490196 14.74509804],0
p5,1,0.820029,0.05176,[ 3 32] ; [ 1 14],[ 2.8 32.2] ; [ 1.2 13.8],0
r2,1,0.838766,0.041401,[21 12] ; [10  5],[21.3125 11.6875] ; [9.6875 5.3125],0
u2,1,0.847516,0.036975,[ 6 11] ; [2 3],[ 6.18181818 10.81818182] ; [1.81818182 3.18181818],0
a1,1,0.863473,0.029569,[ 5 30] ; [ 2 14],[ 4.80392157 30.19607843] ; [ 2.19607843 13.80392157],0
r4,1,0.888899,0.019515,[ 6 29] ; [ 3 13],[ 6.17647059 28.82352941] ; [ 2.82352941 13.17647059],0
b4,1,0.895926,0.017111,[19 16] ; [9 7],[19.21568627 15.78431373] ; [8.78431373 7.21568627],0
d5,1,0.895926,0.017111,[19 16] ; [9 7],[19.21568627 15.78431373] ; [8.78431373 7.21568627],0
n6,1,0.98051,0.000597,[19 15] ; [9 7],[19.04 14.96] ; [8.96 7.04],0
