Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,25.099206,[23 41] ; [23  1],[33.45454545 30.54545455] ; [12.54545455 11.45454545],1
s2,1,0.58042,0.305556,[17 47] ; [ 5 19],[16. 48.] ; [ 6. 18.],0
r3,1,0.650222,0.20562,[27 36] ; [ 9 15],[26.06896552 36.93103448] ; [ 9.93103448 14.06896552],0
s7,1,0.67936,0.170847,[18 45] ; [ 7 14],[18.75 44.25] ; [ 6.25 14.75],0
p4,1,0.6795,0.17069,[21 43] ; [ 9 15],[21.81818182 42.18181818] ; [ 8.18181818 15.81818182],0
n5,1,0.680574,0.169481,[39 24] ; [16  8],[39.82758621 23.17241379] ; [15.17241379  8.82758621],0
p1,1,0.68371,0.16598,[ 6 57] ; [ 3 21],[ 6.51724138 56.48275862] ; [ 2.48275862 21.51724138],0
s4,1,0.699633,0.148854,[13 51] ; [ 4 20],[12.36363636 51.63636364] ; [ 4.63636364 19.36363636],0
n3,1,0.699933,0.148541,[13 16] ; [5 8],[12.42857143 16.57142857] ; [5.57142857 7.42857143],0
p10,1,0.788197,0.072174,[33 29] ; [12 12],[32.44186047 29.55813953] ; [12.55813953 11.44186047],0
a1,1,0.837034,0.042308,[ 7 57] ; [ 3 21],[ 7.27272727 56.72727273] ; [ 2.72727273 21.27272727],0
u2,1,0.844233,0.038605,[14 22] ; [3 4],[14.23255814 21.76744186] ; [2.76744186 4.23255814],0
n1,1,0.858648,0.031718,[12 17] ; [5 8],[11.73809524 17.26190476] ; [5.26190476 7.73809524],0
b3,1,0.881117,0.022366,[13 26] ; [ 5 11],[12.76363636 26.23636364] ; [ 5.23636364 10.76363636],0
b2,1,0.881117,0.022366,[13 26] ; [ 5 11],[12.76363636 26.23636364] ; [ 5.23636364 10.76363636],0
n6,1,0.882607,0.021805,[34 29] ; [12 11],[33.69767442 29.30232558] ; [12.30232558 10.69767442],0
v4,1,0.907315,0.013555,[35 28] ; [13 11],[34.75862069 28.24137931] ; [13.24137931 10.75862069],0
s1,1,0.935906,0.006467,[ 5 59] ; [ 2 22],[ 5.09090909 58.90909091] ; [ 1.90909091 22.09090909],0
v1,1,0.937761,0.006097,[15 47] ; [ 6 18],[15.13953488 46.86046512] ; [ 5.86046512 18.13953488],0
