Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.003761,8.395549,[18  9] ; [ 7 19],[12.73584906 14.26415094] ; [12.26415094 13.73584906],0
d4,1,0.265838,1.238095,[10 16] ; [14 12],[12. 14.] ; [12. 14.],0
s1,1,0.280386,1.16522,[ 1 26] ; [ 3 23],[ 2.03773585 24.96226415] ; [ 1.96226415 24.03773585],0
n3,1,0.305507,1.05,[9 5] ; [6 1],[10.  4.] ; [5. 2.],0
s5,1,0.305649,1.049383,[ 2 25] ; [ 4 20],[ 3.17647059 23.82352941] ; [ 2.82352941 21.17647059],0
v2,1,0.305749,1.048951,[ 7 18] ; [ 4 21],[ 5.5 19.5] ; [ 5.5 19.5],0
v4,1,0.322009,0.980769,[15 10] ; [19  7],[16.66666667  8.33333333] ; [17.33333333  8.66666667],0
p11,1,0.334816,0.930181,[12 15] ; [15 11],[13.75471698 13.24528302] ; [13.24528302 12.75471698],0
b4,1,0.33935,0.912886,[11 16] ; [14 12],[12.73584906 14.26415094] ; [12.26415094 13.73584906],0
a5,1,0.340107,0.910027,[ 9 18] ; [12 14],[10.69811321 16.30188679] ; [10.30188679 15.69811321],0
r2,1,0.358471,0.843243,[17  9] ; [20  6],[18.5  7.5] ; [18.5  7.5],0
a3,1,0.405033,0.693333,[12 14] ; [15 11],[13.5 12.5] ; [13.5 12.5],0
v3,1,0.417485,0.657383,[ 5 22] ; [ 7 18],[ 6.23076923 20.76923077] ; [ 5.76923077 19.23076923],0
d3,1,0.449201,0.572667,[11 16] ; [ 8 18],[ 9.67924528 17.32075472] ; [ 9.32075472 16.67924528],0
p2,1,0.476897,0.50595,[14 13] ; [16 10],[15.28301887 11.71698113] ; [14.71698113 11.28301887],0
s2,1,0.497315,0.460661,[ 8 19] ; [10 16],[ 9.16981132 17.83018868] ; [ 8.83018868 17.16981132],0
s7,1,0.56594,0.329523,[ 5 21] ; [ 6 17],[ 5.83673469 20.16326531] ; [ 5.16326531 17.83673469],0
d1,1,0.574885,0.314577,[ 2 25] ; [ 1 25],[ 1.52830189 25.47169811] ; [ 1.47169811 24.52830189],0
a2,1,0.574885,0.314577,[ 2 25] ; [ 1 25],[ 1.52830189 25.47169811] ; [ 1.47169811 24.52830189],0
p10,1,0.577973,0.309524,[13 13] ; [11 15],[12. 14.] ; [12. 14.],0
p1,1,0.607005,0.26456,[ 2 25] ; [ 3 23],[ 2.54716981 24.45283019] ; [ 2.45283019 23.54716981],0
p6,1,0.621438,0.243851,[ 4 23] ; [ 5 20],[ 4.67307692 22.32692308] ; [ 4.32692308 20.67307692],0
a7,1,0.65856,0.195278,[12 15] ; [10 16],[11.20754717 15.79245283] ; [10.79245283 15.20754717],0
a1,1,0.670347,0.181197,[ 3 24] ; [ 2 24],[ 2.54716981 24.45283019] ; [ 2.45283019 23.54716981],0
s6,1,0.694925,0.153806,[10 17] ; [11 15],[10.69811321 16.30188679] ; [10.30188679 15.69811321],0
p4,1,0.695575,0.153116,[ 7 20] ; [ 8 18],[ 7.64150943 19.35849057] ; [ 7.35849057 18.64150943],0
a4,1,0.826909,0.047816,[ 8 19] ; [ 7 19],[ 7.64150943 19.35849057] ; [ 7.35849057 18.64150943],0
n2,1,0.856417,0.032738,[10  4] ; [6 2],[10.18181818  3.81818182] ; [5.81818182 2.18181818],0
b1,1,0.884399,0.02114,[14 13] ; [14 12],[14.26415094 12.73584906] ; [13.73584906 12.26415094],0
b3,1,0.888126,0.01979,[ 6 12] ; [5 9],[ 6.1875 11.8125] ; [4.8125 9.1875],0
b2,1,0.888126,0.01979,[ 6 12] ; [5 9],[ 6.1875 11.8125] ; [4.8125 9.1875],0
s4,1,0.953807,0.003355,[ 4 23] ; [ 4 22],[ 4.0754717 22.9245283] ; [ 3.9245283 22.0754717],0
p9,1,1.0,0.0,[15 11] ; [15 11],[15. 11.] ; [15. 11.],0
