Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,7e-06,20.072837,[ 28 156] ; [56 98],[ 45.72781065 138.27218935] ; [ 38.27218935 115.72781065],1
v4,1,0.136543,2.21649,[165  19] ; [145   9],[168.75739645  15.24260355] ; [141.24260355  12.75739645],0
u1,1,0.153394,2.038175,[ 23 161] ; [ 28 127],[ 27.68141593 156.31858407] ; [ 23.31858407 131.68141593],0
n4,1,0.162459,1.951185,[125  59] ; [116  39],[130.80825959  53.19174041] ; [110.19174041  44.80825959],0
p3,1,0.206407,1.596447,[ 76 107] ; [75 80],[ 81.75443787 101.24556213] ; [69.24556213 85.75443787],0
d4,1,0.218063,1.517072,[142  42] ; [128  27],[146.54867257  37.45132743] ; [123.45132743  31.54867257],0
p11,1,0.221124,1.497059,[133  51] ; [121  34],[137.86430678  46.13569322] ; [116.13569322  38.86430678],0
s1,1,0.231322,1.432714,[  6 176] ; [  2 152],[  4.33333333 177.66666667] ; [  3.66666667 150.33333333],0
b1,1,0.246948,1.340488,[ 68 116] ; [ 48 107],[ 62.96165192 121.03834808] ; [ 53.03834808 101.96165192],0
r1,1,0.275495,1.189181,[137  46] ; [123  31],[141.18694362  41.81305638] ; [118.81305638  35.18694362],0
d5,1,0.326669,0.962057,[148  36] ; [131  24],[151.43362832  32.56637168] ; [127.56637168  27.43362832],0
d1,1,0.366095,0.816877,[104  80] ; [80 75],[99.87020649 84.12979351] ; [84.12979351 70.87020649],0
a1,1,0.38651,0.749894,[  7 177] ; [  9 146],[  8.68436578 175.31563422] ; [  7.31563422 147.68436578],0
v3,1,0.412263,0.672265,[ 59 121] ; [56 95],[ 62.53776435 117.46223565] ; [52.46223565 98.53776435],0
r2,1,0.424782,0.637048,[163  19] ; [140  12],[165.10778443  16.89221557] ; [137.89221557  14.10778443],0
b4,1,0.442877,0.588817,[104  80] ; [94 61],[107.46902655  76.53097345] ; [90.53097345 64.46902655],0
a8,1,0.482325,0.493601,[ 19 148] ; [ 19 116],[ 21.01324503 145.98675497] ; [ 16.98675497 118.01324503],0
d2,1,0.504836,0.444755,[ 79 105] ; [61 94],[ 75.98820059 108.01179941] ; [64.01179941 90.98820059],0
p6,1,0.531837,0.39088,[ 48 133] ; [ 45 107],[ 50.54954955 130.45045045] ; [ 42.45045045 109.54954955],0
a4,1,0.54046,0.374687,[ 77 107] ; [59 94],[ 74.25519288 109.74480712] ; [61.74480712 91.25519288],0
b3,1,0.554714,0.34894,[38 69] ; [30 65],[36.01980198 70.98019802] ; [31.98019802 63.01980198],0
b2,1,0.554714,0.34894,[38 69] ; [30 65],[36.01980198 70.98019802] ; [31.98019802 63.01980198],0
a3,1,0.569089,0.324209,[127  55] ; [103  51],[124.58333333  57.41666667] ; [105.41666667  48.58333333],0
a5,1,0.586989,0.295071,[128  56] ; [112  43],[130.26548673  53.73451327] ; [109.73451327  45.26548673],0
n1,1,0.694236,0.154538,[15 28] ; [16 25],[15.86904762 27.13095238] ; [15.13095238 25.86904762],0
n3,1,0.756196,0.096398,[29 15] ; [29 13],[29.6744186 14.3255814] ; [28.3255814 13.6744186],0
b5,1,0.82542,0.048655,[113  71] ; [97 58],[113.98230088  70.01769912] ; [96.01769912 58.98230088],0
a6,1,0.84471,0.038366,[142  42] ; [121  34],[142.74926254  41.25073746] ; [120.25073746  34.74926254],0
a2,1,0.863496,0.029558,[ 43 141] ; [ 35 120],[ 42.33628319 141.66371681] ; [ 35.66371681 119.33628319],0
d3,1,0.987428,0.000248,[138  45] ; [117  38],[138.06213018  44.93786982] ; [116.93786982  38.06213018],0
