Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2.6e-05,17.71438,[ 1 30] ; [9 7],[ 6.59574468 24.40425532] ; [ 3.40425532 12.59574468],1
r4,1,0.295727,1.093362,[ 4 27] ; [ 4 12],[ 5.27659574 25.72340426] ; [ 2.72340426 13.27659574],0
s8,1,0.377135,0.780021,[ 3 28] ; [ 3 13],[ 3.95744681 27.04255319] ; [ 2.04255319 13.95744681],0
r3,1,0.381715,0.765172,[11 19] ; [8 8],[12.39130435 17.60869565] ; [6.60869565 9.39130435],0
s6,1,0.398361,0.713268,[ 5 26] ; [ 4 11],[ 6.06521739 24.93478261] ; [ 2.93478261 12.06521739],0
u2,1,0.418222,0.655306,[ 3 11] ; [2 3],[ 3.68421053 10.31578947] ; [1.31578947 3.68421053],0
a3,1,0.423838,0.639649,[17 13] ; [11  5],[18.26086957 11.73913043] ; [9.73913043 6.26086957],0
d3,1,0.458196,0.550299,[12 19] ; [8 8],[13.19148936 17.80851064] ; [6.80851064 9.19148936],0
s2,1,0.463925,0.536408,[ 5 26] ; [ 4 12],[ 5.93617021 25.06382979] ; [ 3.06382979 12.93617021],0
d4,1,0.475176,0.509915,[18 13] ; [11  5],[19.12765957 11.87234043] ; [9.87234043 6.12765957],0
n2,1,0.512691,0.428571,[ 4 10] ; [3 4],[4.66666667 9.33333333] ; [2.33333333 4.66666667],0
n1,1,0.52511,0.403846,[6 8] ; [2 5],[5.33333333 8.66666667] ; [2.66666667 4.33333333],0
a4,1,0.558527,0.342262,[10 20] ; [ 4 12],[ 9.13043478 20.86956522] ; [ 4.86956522 11.13043478],0
s1,1,0.593694,0.284613,[ 4 27] ; [ 3 13],[ 4.61702128 26.38297872] ; [ 2.38297872 13.61702128],0
a7,1,0.598226,0.277679,[13 18] ; [8 8],[13.85106383 17.14893617] ; [7.14893617 8.85106383],0
d1,1,0.606153,0.265815,[10 21] ; [ 4 12],[ 9.23404255 21.76595745] ; [ 4.76595745 11.23404255],0
b1,1,0.614698,0.25339,[17 14] ; [10  6],[17.80851064 13.19148936] ; [9.19148936 6.80851064],0
a2,1,0.68988,0.159216,[ 3 28] ; [ 1 15],[ 2.63829787 28.36170213] ; [ 1.36170213 14.63829787],0
s4,1,0.740545,0.109649,[ 5 26] ; [ 2 14],[ 4.61702128 26.38297872] ; [ 2.38297872 13.61702128],0
u3,1,0.763573,0.090476,[ 2 12] ; [1 4],[ 2.21052632 11.78947368] ; [0.78947368 4.21052632],0
d2,1,0.805666,0.060526,[12 18] ; [7 9],[12.39130435 17.60869565] ; [6.60869565 9.39130435],0
n6,1,0.832004,0.045,[13 17] ; [7 8],[13.33333333 16.66666667] ; [6.66666667 8.33333333],0
v1,1,0.852737,0.034457,[ 7 24] ; [ 4 12],[ 7.25531915 23.74468085] ; [ 3.74468085 12.25531915],0
s7,1,0.863361,0.029617,[ 5 23] ; [ 3 12],[ 5.20930233 22.79069767] ; [ 2.79069767 12.20930233],0
r1,1,0.891577,0.01858,[11 20] ; [ 6 10],[11.21276596 19.78723404] ; [ 5.78723404 10.21276596],0
b4,1,0.9051,0.014214,[18 13] ; [9 7],[17.80851064 13.19148936] ; [9.19148936 6.80851064],0
d5,1,0.916522,0.010986,[15 16] ; [8 8],[15.17021277 15.82978723] ; [7.82978723 8.17021277],0
s5,1,0.968689,0.001541,[ 4 27] ; [ 2 14],[ 3.95744681 27.04255319] ; [ 2.04255319 13.95744681],0
