Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,48.581781,[42 23] ; [ 4 61],[23. 42.] ; [23. 42.],1
b2,1,0.366228,0.816423,[ 9 31] ; [12 26],[10.76923077 29.23076923] ; [10.23076923 27.76923077],0
n5,1,0.373886,0.790709,[31 33] ; [26 38],[28.5 35.5] ; [28.5 35.5],0
d1,1,0.374742,0.787879,[30 35] ; [25 40],[27.5 37.5] ; [27.5 37.5],0
b1,1,0.378416,0.775841,[33 32] ; [38 27],[35.5 29.5] ; [35.5 29.5],0
v2,1,0.379193,0.773316,[19 42] ; [24 38],[21.32520325 39.67479675] ; [21.67479675 40.32520325],0
v1,1,0.407717,0.685449,[25 36] ; [22 43],[22.75396825 38.24603175] ; [24.24603175 40.75396825],0
p3,1,0.411943,0.673187,[22 42] ; [18 47],[19.84496124 44.15503876] ; [20.15503876 44.84496124],0
p2,1,0.420098,0.650041,[45 20] ; [40 24],[42.82945736 22.17054264] ; [42.17054264 21.82945736],0
p6,1,0.461859,0.541385,[16 45] ; [13 50],[14.26612903 46.73387097] ; [14.73387097 48.26612903],0
a7,1,0.467257,0.528455,[39 26] ; [43 22],[41. 24.] ; [41. 24.],0
p1,1,0.479262,0.500543,[ 5 60] ; [ 3 61],[ 4.03100775 60.96899225] ; [ 3.96899225 60.03100775],0
r1,1,0.50871,0.436719,[42 22] ; [39 26],[40.18604651 23.81395349] ; [40.81395349 24.18604651],0
d5,1,0.571226,0.320636,[43 22] ; [46 19],[44.5 20.5] ; [44.5 20.5],0
p8,1,0.57241,0.318667,[22 40] ; [20 45],[20.50393701 41.49606299] ; [21.49606299 43.50393701],0
d2,1,0.592347,0.286694,[25 40] ; [28 37],[26.5 38.5] ; [26.5 38.5],0
n3,1,0.660059,0.193452,[14 10] ; [18 10],[14.76923077  9.23076923] ; [17.23076923 10.76923077],0
p5,1,0.661043,0.19226,[ 2 62] ; [ 3 62],[ 2.48062016 61.51937984] ; [ 2.51937984 62.48062016],0
n1,1,0.68555,0.163946,[10 13] ; [11 18],[ 9.28846154 13.71153846] ; [11.71153846 17.28846154],0
a4,1,0.713734,0.134576,[22 43] ; [24 41],[23. 42.] ; [23. 42.],0
u1,1,0.729713,0.119376,[ 4 61] ; [ 5 60],[ 4.5 60.5] ; [ 4.5 60.5],0
a3,1,0.766822,0.087932,[40 25] ; [41 23],[40.81395349 24.18604651] ; [40.18604651 23.81395349],0
a8,1,0.793096,0.068798,[ 7 55] ; [ 6 55],[ 6.55284553 55.44715447] ; [ 6.44715447 54.55284553],0
a6,1,0.855151,0.033325,[42 23] ; [41 24],[41.5 23.5] ; [41.5 23.5],0
b5,1,0.856383,0.032754,[41 24] ; [40 25],[40.5 24.5] ; [40.5 24.5],0
a5,1,0.860495,0.030886,[34 31] ; [35 30],[34.5 30.5] ; [34.5 30.5],0
b4,1,0.860691,0.030798,[34 31] ; [33 32],[33.5 31.5] ; [33.5 31.5],0
