Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.114386,[78 38] ; [ 7 25],[66.62162162 49.37837838] ; [18.37837838 13.62162162],1
a1,1,0.243419,1.360685,[ 11 105] ; [ 1 31],[  9.40540541 106.59459459] ; [ 2.59459459 29.40540541],0
p4,1,0.247802,1.33565,[60 55] ; [13 19],[57.10884354 57.89115646] ; [15.89115646 16.10884354],0
b1,1,0.254187,1.300144,[45 71] ; [16 16],[47.81081081 68.18918919] ; [13.18918919 18.81081081],0
n4,1,0.259624,1.270761,[94 22] ; [23  9],[91.7027027 24.2972973] ; [25.2972973  6.7027027],0
n2,1,0.263696,1.249249,[30 10] ; [7 5],[28.46153846 11.53846154] ; [8.53846154 3.46153846],0
p8,1,0.281149,1.161527,[49 65] ; [10 21],[46.3862069 67.6137931] ; [12.6137931 18.3862069],0
b5,1,0.293692,1.10262,[70 46] ; [16 16],[67.40540541 48.59459459] ; [18.59459459 13.40540541],0
p9,1,0.30534,1.050725,[94 21] ; [22  8],[92. 23.] ; [24.  6.],0
s1,1,0.314847,1.010231,[  3 112] ; [ 2 30],[  3.91156463 111.08843537] ; [ 1.08843537 30.91156463],0
b3,1,0.49092,0.474508,[25 43] ; [ 6 15],[23.68539326 44.31460674] ; [ 7.31460674 13.68539326],0
b2,1,0.49092,0.474508,[25 43] ; [ 6 15],[23.68539326 44.31460674] ; [ 7.31460674 13.68539326],0
p7,1,0.531929,0.390704,[57 57] ; [14 18],[55.43835616 58.56164384] ; [15.56164384 16.43835616],0
u1,1,0.629068,0.233326,[  6 110] ; [ 1 31],[  5.48648649 110.51351351] ; [ 1.51351351 30.48648649],0
p12,1,0.662753,0.190197,[  5 109] ; [ 2 30],[  5.46575342 108.53424658] ; [ 1.53424658 30.46575342],0
d2,1,0.765167,0.089223,[43 71] ; [13 19],[43.7260274 70.2739726] ; [12.2739726 19.7260274],0
v2,1,0.784411,0.074843,[46 65] ; [12 19],[45.33802817 65.66197183] ; [12.66197183 18.33802817],0
p5,1,0.805433,0.060674,[ 13 102] ; [ 4 27],[ 13.39041096 101.60958904] ; [ 3.60958904 27.39041096],0
n1,1,0.85183,0.034888,[17 21] ; [5 7],[16.72 21.28] ; [5.28 6.72],0
p1,1,0.872142,0.025901,[ 12 104] ; [ 3 29],[ 11.75675676 104.24324324] ; [ 3.24324324 28.75675676],0
p11,1,0.874477,0.024956,[85 31] ; [23  9],[84.64864865 31.35135135] ; [23.35135135  8.64864865],0
n3,1,0.956956,0.002913,[27 13] ; [8 4],[26.92307692 13.07692308] ; [8.07692308 3.92307692],0
