Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,23.489937,[17 13] ; [15 91],[ 7.05882353 22.94117647] ; [24.94117647 81.05882353],1
u1,1,0.482662,0.492842,[ 4 26] ; [20 86],[ 5.29411765 24.70588235] ; [18.70588235 87.29411765],0
u2,1,0.51965,0.414588,[6 5] ; [17 22],[5.06 5.94] ; [17.94 21.06],0
s1,1,0.538676,0.378,[ 3 27] ; [ 7 98],[ 2.22222222 27.77777778] ; [ 7.77777778 97.22222222],0
r1,1,0.571323,0.320473,[22  8] ; [72 34],[20.73529412  9.26470588] ; [73.26470588 32.73529412],0
n5,1,0.589282,0.291467,[23  7] ; [76 30],[21.83823529  8.16176471] ; [77.16176471 28.83823529],0
b2,1,0.608815,0.261905,[ 7 15] ; [25 41],[ 8. 14.] ; [24. 42.],0
b3,1,0.608815,0.261905,[ 7 15] ; [25 41],[ 8. 14.] ; [24. 42.],0
n2,1,0.611974,0.25731,[5 1] ; [28 10],[4.5 1.5] ; [28.5  9.5],0
s4,1,0.644002,0.213546,[ 6 24] ; [25 79],[ 6.94029851 23.05970149] ; [24.05970149 79.94029851],0
a8,1,0.702038,0.146361,[ 3 26] ; [ 8 91],[ 2.4921875 26.5078125] ; [ 8.5078125 90.4921875],0
d2,1,0.747663,0.103506,[14 16] ; [52 52],[14.7761194 15.2238806] ; [51.2238806 52.7761194],0
n1,1,0.757209,0.095573,[3 3] ; [16 21],[2.65116279 3.34883721] ; [16.34883721 20.65116279],0
s3,1,0.808407,0.058798,[13 16] ; [44 60],[12.42857143 16.57142857] ; [44.57142857 59.42857143],0
n4,1,0.860121,0.031053,[22  8] ; [76 30],[21.61764706  8.38235294] ; [76.38235294 29.61764706],0
d1,1,0.888635,0.019609,[16 14] ; [55 51],[15.66176471 14.33823529] ; [55.33823529 50.66176471],0
u4,1,0.90993,0.012798,[ 1 29] ; [  4 102],[ 1.10294118 28.89705882] ; [  3.89705882 102.10294118],0
a7,1,0.914954,0.011405,[19 11] ; [66 40],[18.75 11.25] ; [66.25 39.75],0
b5,1,0.914954,0.011405,[19 11] ; [66 40],[18.75 11.25] ; [66.25 39.75],0
d3,1,0.921933,0.009604,[17 13] ; [59 47],[16.76470588 13.23529412] ; [59.23529412 46.76470588],0
p11,1,0.934367,0.006782,[19 11] ; [68 38],[19.19117647 10.80882353] ; [67.80882353 38.19117647],0
b1,1,0.961123,0.002376,[14 16] ; [50 56],[14.11764706 15.88235294] ; [49.88235294 56.11764706],0
a3,1,0.962009,0.002269,[19 11] ; [66 39],[18.88888889 11.11111111] ; [66.11111111 38.88888889],0
d5,1,0.984138,0.000395,[21  9] ; [74 32],[20.95588235  9.04411765] ; [74.04411765 31.95588235],0
a1,1,0.990239,0.00015,[ 2 28] ; [ 7 99],[ 1.98529412 28.01470588] ; [ 7.01470588 98.98529412],0
