Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.77908,[67 32] ; [ 3 20],[56.80327869 42.19672131] ; [13.19672131  9.80327869],1
s1,1,0.358971,0.84149,[ 4 94] ; [ 2 21],[ 4.85950413 93.14049587] ; [ 1.14049587 21.85950413],0
d5,1,0.365354,0.819404,[85 14] ; [18  5],[83.58196721 15.41803279] ; [19.41803279  3.58196721],0
p3,1,0.371314,0.799264,[48 49] ; [ 9 14],[46.075 50.925] ; [10.925 12.075],0
s7,1,0.387588,0.746495,[41 53] ; [ 7 14],[39.23478261 54.76521739] ; [ 8.76521739 12.23478261],0
a3,1,0.481526,0.495405,[75 24] ; [19  4],[76.27868852 22.72131148] ; [17.72131148  5.27868852],0
d2,1,0.493327,0.469262,[50 48] ; [13  9],[51.45 46.55] ; [11.55 10.45],0
n3,1,0.497409,0.46046,[25 12] ; [5 4],[24.13043478 12.86956522] ; [5.86956522 3.13043478],0
s4,1,0.556499,0.345802,[18 81] ; [ 3 20],[17.04098361 81.95901639] ; [ 3.95901639 19.04098361],0
d1,1,0.57538,0.313763,[58 41] ; [12 11],[56.80327869 42.19672131] ; [13.19672131  9.80327869],0
a7,1,0.652331,0.202974,[61 38] ; [13 10],[60.04918033 38.95081967] ; [13.95081967  9.04918033],0
b5,1,0.682274,0.167578,[60 39] ; [15  8],[60.86065574 38.13934426] ; [14.13934426  8.86065574],0
a1,1,0.735211,0.114381,[11 88] ; [ 2 21],[10.54918033 88.45081967] ; [ 2.45081967 20.54918033],0
u2,1,0.755189,0.097222,[10 14] ; [2 2],[10.28571429 13.71428571] ; [1.71428571 2.28571429],0
n1,1,0.808883,0.0585,[14 21] ; [4 5],[14.31818182 20.68181818] ; [3.68181818 5.31818182],0
p7,1,0.816599,0.053788,[49 48] ; [11 12],[48.5 48.5] ; [11.5 11.5],0
d3,1,0.85653,0.032686,[58 41] ; [13 10],[57.6147541 41.3852459] ; [13.3852459  9.6147541],0
p5,1,0.875024,0.024737,[10 88] ; [ 2 20],[ 9.8 88.2] ; [ 2.2 19.8],0
a4,1,0.897671,0.016539,[48 51] ; [11 11],[48.27272727 50.72727273] ; [10.72727273 11.27272727],0
u1,1,0.92286,0.009376,[ 8 91] ; [ 2 21],[ 8.1147541 90.8852459] ; [ 1.8852459 21.1147541],0
a6,1,0.934694,0.006714,[68 31] ; [16  7],[68.16393443 30.83606557] ; [15.83606557  7.16393443],0
v3,1,0.935972,0.006454,[27 69] ; [ 6 16],[26.84745763 69.15254237] ; [ 6.15254237 15.84745763],0
n5,1,0.96537,0.001885,[72 26] ; [17  6],[72.08264463 25.91735537] ; [16.91735537  6.08264463],0
n4,1,0.99012,0.000153,[69 30] ; [16  7],[68.97540984 30.02459016] ; [16.02459016  6.97540984],0
