Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.003229,8.673208,[ 6 42] ; [ 9 11],[10.58823529 37.41176471] ; [ 4.41176471 15.58823529],0
n4,1,0.42872,0.626289,[29 19] ; [10 10],[27.52941176 20.47058824] ; [11.47058824  8.52941176],0
p7,1,0.491694,0.472817,[11 36] ; [ 6 13],[12.10606061 34.89393939] ; [ 4.89393939 14.10606061],0
d5,1,0.533791,0.387169,[29 19] ; [11 10],[27.82608696 20.17391304] ; [12.17391304  8.82608696],0
d1,1,0.557298,0.344405,[17 31] ; [ 9 12],[18.08695652 29.91304348] ; [ 7.91304348 13.08695652],0
b3,1,0.573373,0.317071,[13 16] ; [5 4],[13.73684211 15.26315789] ; [4.26315789 4.73684211],0
b2,1,0.573373,0.317071,[13 16] ; [5 4],[13.73684211 15.26315789] ; [4.26315789 4.73684211],0
a7,1,0.594525,0.283333,[25 23] ; [ 9 11],[24. 24.] ; [10. 10.],0
v2,1,0.60328,0.270077,[11 35] ; [ 6 14],[11.84848485 34.15151515] ; [ 5.15151515 14.84848485],0
s3,1,0.635212,0.225059,[13 34] ; [ 7 14],[13.82352941 33.17647059] ; [ 6.17647059 14.82352941],0
a1,1,0.641131,0.217267,[ 7 41] ; [ 4 17],[ 7.65217391 40.34782609] ; [ 3.34782609 17.65217391],0
a2,1,0.644152,0.213353,[ 5 43] ; [ 3 18],[ 5.56521739 42.43478261] ; [ 2.43478261 18.56521739],0
n2,1,0.657553,0.196509,[11 15] ; [6 6],[11.63157895 14.36842105] ; [5.36842105 6.63157895],0
n1,1,0.68547,0.164033,[ 7 19] ; [4 8],[ 7.52631579 18.47368421] ; [3.47368421 8.52631579],0
p4,1,0.688939,0.160237,[11 36] ; [ 4 17],[10.36764706 36.63235294] ; [ 4.63235294 16.36764706],0
a5,1,0.73288,0.116484,[23 25] ; [11 10],[23.65217391 24.34782609] ; [10.34782609 10.65217391],0
d2,1,0.856017,0.032923,[19 28] ; [ 8 13],[18.66176471 28.33823529] ; [ 8.33823529 12.66176471],0
r1,1,0.894697,0.01752,[16 32] ; [ 7 13],[16.23529412 31.76470588] ; [ 6.76470588 13.23529412],0
p8,1,0.947861,0.004276,[ 7 40] ; [ 3 18],[ 6.91176471 40.08823529] ; [ 3.08823529 17.91176471],0
b5,1,0.981832,0.000519,[25 23] ; [11 10],[25.04347826 22.95652174] ; [10.95652174 10.04347826],0
b4,1,0.981832,0.000519,[23 25] ; [10 11],[22.95652174 25.04347826] ; [10.04347826 10.95652174],0
