Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-05,16.891548,[55  4] ; [27 18],[46.51923077 12.48076923] ; [35.48076923  9.51923077],1
n1,1,0.713146,0.135154,[ 6 10] ; [ 6 13],[ 5.48571429 10.51428571] ; [ 6.51428571 12.48571429],0
a1,1,0.724484,0.124237,[ 2 57] ; [ 1 44],[ 1.70192308 57.29807692] ; [ 1.29807692 43.70192308],0
s8,1,0.732001,0.117282,[15 43] ; [13 32],[15.76699029 42.23300971] ; [12.23300971 32.76699029],0
a8,1,0.768491,0.086641,[ 4 46] ; [ 4 37],[ 4.3956044 45.6043956] ; [ 3.6043956 37.3956044],0
n2,1,0.773795,0.082607,[13  4] ; [13  5],[12.62857143  4.37142857] ; [13.37142857  4.62857143],0
n3,1,0.800391,0.063929,[13  5] ; [13  6],[12.64864865  5.35135135] ; [13.35135135  5.64864865],0
u2,1,0.848242,0.036619,[9 8] ; [14 14],[8.68888889 8.31111111] ; [14.31111111 13.68888889],0
b4,1,0.855745,0.033049,[37 22] ; [29 16],[37.44230769 21.55769231] ; [28.55769231 16.44230769],0
p4,1,0.884917,0.020949,[31 28] ; [23 22],[30.63461538 28.36538462] ; [23.36538462 21.63461538],0
p3,1,0.945515,0.00467,[21 37] ; [16 29],[20.83495146 37.16504854] ; [16.16504854 28.83495146],0
s2,1,0.996744,1.7e-05,[22 35] ; [17 27],[22.00990099 34.99009901] ; [16.99009901 27.00990099],0
