Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,24.097618,[128  40] ; [17 28],[114.36619718  53.63380282] ; [30.63380282 14.36619718],1
n4,1,0.244343,1.355361,[142  28] ; [35 11],[139.30555556  30.69444444] ; [37.69444444  8.30555556],0
b2,1,0.254993,1.295738,[44 76] ; [17 19],[46.92307692 73.07692308] ; [14.07692308 21.92307692],0
b3,1,0.254993,1.295738,[44 76] ; [17 19],[46.92307692 73.07692308] ; [14.07692308 21.92307692],0
u2,1,0.260028,1.268609,[33 14] ; [4 4],[31.61818182 15.38181818] ; [5.38181818 2.61818182],0
n1,1,0.307841,1.039916,[11 22] ; [6 6],[12.46666667 20.53333333] ; [4.53333333 7.46666667],0
b1,1,0.324685,0.96998,[ 69 101] ; [15 31],[ 66.11111111 103.88888889] ; [17.88888889 28.11111111],0
p10,1,0.346783,0.885195,[144  24] ; [36  9],[141.97183099  26.02816901] ; [38.02816901  6.97183099],0
n3,1,0.372382,0.795699,[20 13] ; [9 3],[21.26666667 11.73333333] ; [7.73333333 4.26666667],0
n2,1,0.38673,0.749199,[21 12] ; [10  3],[22.23913043 10.76086957] ; [8.76086957 4.23913043],0
u4,1,0.445822,0.581252,[  8 162] ; [ 1 45],[  7.08333333 162.91666667] ; [ 1.91666667 44.08333333],0
p8,1,0.449243,0.572561,[87 79] ; [27 19],[89.26415094 76.73584906] ; [24.73584906 21.26415094],0
v4,1,0.496819,0.461725,[162   7] ; [43  3],[161.13953488   7.86046512] ; [43.86046512  2.13953488],0
p7,1,0.513245,0.427446,[105  60] ; [31 14],[106.85714286  58.14285714] ; [29.14285714 15.85714286],0
a8,1,0.523717,0.406567,[ 24 132] ; [ 8 33],[ 25.34010152 130.65989848] ; [ 6.65989848 34.34010152],0
p4,1,0.527651,0.398912,[112  58] ; [28 18],[110.18518519  59.81481481] ; [29.81481481 16.18518519],0
s1,1,0.531803,0.390946,[  7 162] ; [ 1 45],[  6.28837209 162.71162791] ; [ 1.71162791 44.28837209],0
p6,1,0.567679,0.326582,[ 68 101] ; [16 29],[ 66.3364486 102.6635514] ; [17.6635514 27.3364486],0
p12,1,0.602296,0.271546,[ 15 153] ; [ 3 43],[ 14.13084112 153.86915888] ; [ 3.86915888 42.13084112],0
p1,1,0.694541,0.154213,[ 14 155] ; [ 3 43],[ 13.3627907 155.6372093] ; [ 3.6372093 42.3627907],0
n5,1,0.701088,0.147342,[133  37] ; [34 11],[132.04651163  37.95348837] ; [34.95348837 10.04651163],0
n6,1,0.775415,0.081395,[145  25] ; [40  6],[145.60185185  24.39814815] ; [39.39814815  6.60185185],0
p9,1,0.794877,0.067591,[148  20] ; [39  6],[147.49295775  20.50704225] ; [39.50704225  5.49295775],0
a7,1,0.811248,0.057033,[117  52] ; [31 15],[116.33488372  52.66511628] ; [31.66511628 14.33488372],0
d4,1,0.824432,0.049216,[138  32] ; [38  8],[138.51851852  31.48148148] ; [37.48148148  8.51851852],0
v1,1,0.824877,0.048963,[84 76] ; [25 21],[84.66019417 75.33980583] ; [24.33980583 21.66019417],0
p2,1,0.825874,0.048399,[141  28] ; [39  7],[141.48837209  27.51162791] ; [38.51162791  7.48837209],0
d2,1,0.826135,0.048251,[93 77] ; [26 20],[93.65740741 76.34259259] ; [25.34259259 20.65740741],0
d3,1,0.847786,0.036843,[112  58] ; [31 15],[112.5462963  57.4537037] ; [30.4537037 15.5462963],0
d1,1,0.874024,0.025138,[105  65] ; [29 17],[105.46296296  64.53703704] ; [28.53703704 17.46296296],0
p5,1,0.887916,0.019865,[ 16 151] ; [ 4 41],[ 15.75471698 151.24528302] ; [ 4.24528302 40.75471698],0
p11,1,0.912518,0.01207,[143  27] ; [39  7],[143.24074074  26.75925926] ; [38.75925926  7.24074074],0
a1,1,0.944744,0.004804,[  7 163] ; [ 2 44],[  7.08333333 162.91666667] ; [ 1.91666667 44.08333333],0
a5,1,0.958231,0.002743,[125  45] ; [34 12],[125.13888889  44.86111111] ; [33.86111111 12.13888889],0
p3,1,0.965483,0.001873,[93 77] ; [25 21],[92.87037037 77.12962963] ; [25.12962963 20.87037037],0
b4,1,0.987528,0.000244,[100  70] ; [27 19],[99.9537037 70.0462963] ; [27.0462963 18.9537037],0
a4,1,0.995047,3.9e-05,[74 96] ; [20 26],[73.98148148 96.01851852] ; [20.01851852 25.98148148],0
