Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.6e-05,18.59278,[19 15] ; [ 1 26],[11.14754098 22.85245902] ; [ 8.85245902 18.14754098],1
s1,1,0.060407,3.526175,[ 2 32] ; [ 6 21],[ 4.45901639 29.54098361] ; [ 3.54098361 23.45901639],0
u2,1,0.075426,3.160797,[5 5] ; [ 3 14],[2.96296296 7.03703704] ; [ 5.03703704 11.96296296],0
n4,1,0.083921,2.987279,[26  8] ; [15 12],[22.85245902 11.14754098] ; [18.14754098  8.85245902],0
b2,1,0.105528,2.619943,[ 4 16] ; [ 8 10],[ 6.31578947 13.68421053] ; [ 5.68421053 12.31578947],0
b3,1,0.105528,2.619943,[ 4 16] ; [ 8 10],[ 6.31578947 13.68421053] ; [ 5.68421053 12.31578947],0
a8,1,0.224543,1.475096,[ 6 26] ; [ 2 24],[ 4.4137931 27.5862069] ; [ 3.5862069 22.4137931],0
a1,1,0.24459,1.353945,[ 2 32] ; [ 4 23],[ 3.3442623 30.6557377] ; [ 2.6557377 24.3442623],0
p1,1,0.24459,1.353945,[ 2 32] ; [ 4 23],[ 3.3442623 30.6557377] ; [ 2.6557377 24.3442623],0
b5,1,0.264005,1.247634,[20 14] ; [12 15],[17.83606557 16.16393443] ; [14.16393443 12.83606557],0
p9,1,0.265539,1.239649,[17 15] ; [10 16],[14.89655172 17.10344828] ; [12.10344828 13.89655172],0
s6,1,0.266194,1.236257,[12 22] ; [ 6 21],[10.03278689 23.96721311] ; [ 7.96721311 19.03278689],0
s8,1,0.320678,0.986178,[ 7 27] ; [ 3 24],[ 5.57377049 28.42622951] ; [ 4.42622951 22.57377049],0
n3,1,0.391153,0.735354,[7 4] ; [7 8],[5.92307692 5.07692308] ; [8.07692308 6.92307692],0
s7,1,0.455255,0.557534,[ 7 23] ; [ 4 22],[ 5.89285714 24.10714286] ; [ 5.10714286 20.89285714],0
v3,1,0.463199,0.538155,[ 9 25] ; [ 5 22],[ 7.80327869 26.19672131] ; [ 6.19672131 20.80327869],0
p2,1,0.471194,0.519175,[14 19] ; [ 9 18],[12.65 20.35] ; [10.35 16.65],0
p7,1,0.528605,0.397072,[10 24] ; [10 17],[11.14754098 22.85245902] ; [ 8.85245902 18.14754098],0
r1,1,0.530136,0.394131,[14 20] ; [ 9 18],[12.81967213 21.18032787] ; [10.18032787 16.81967213],0
p8,1,0.565357,0.330513,[ 7 27] ; [ 7 19],[ 7.93333333 26.06666667] ; [ 6.06666667 19.93333333],0
u3,1,0.5891,0.291752,[1 9] ; [ 3 14],[1.48148148 8.51851852] ; [ 2.51851852 14.48148148],0
n1,1,0.599337,0.275996,[4 7] ; [7 8],[4.65384615 6.34615385] ; [6.34615385 8.65384615],0
s2,1,0.667574,0.184453,[ 7 26] ; [ 7 20],[ 7.7 25.3] ; [ 6.3 20.7],0
n2,1,0.691398,0.157576,[6 5] ; [7 8],[5.5 5.5] ; [7.5 7.5],0
n5,1,0.692093,0.156828,[21 13] ; [18  9],[21.73770492 12.26229508] ; [17.26229508  9.73770492],0
p3,1,0.701926,0.146476,[ 9 25] ; [ 6 21],[ 8.36065574 25.63934426] ; [ 6.63934426 20.36065574],0
b1,1,0.709949,0.138328,[18 16] ; [13 14],[17.27868852 16.72131148] ; [13.72131148 13.27868852],0
p6,1,0.716228,0.132136,[ 4 29] ; [ 4 22],[ 4.47457627 28.52542373] ; [ 3.52542373 22.47457627],0
p5,1,0.719886,0.128602,[ 2 32] ; [ 1 25],[ 1.7 32.3] ; [ 1.3 24.7],0
s4,1,0.725945,0.122868,[ 4 30] ; [ 4 23],[ 4.45901639 29.54098361] ; [ 3.54098361 23.45901639],0
v1,1,0.758981,0.094138,[11 22] ; [ 8 19],[10.45 22.55] ; [ 8.55 18.45],0
p4,1,0.819545,0.052043,[11 23] ; [ 8 19],[10.59016393 23.40983607] ; [ 8.40983607 18.59016393],0
s3,1,0.864521,0.029112,[10 22] ; [ 9 18],[10.30508475 21.69491525] ; [ 8.69491525 18.30508475],0
p12,1,0.868069,0.027593,[ 1 33] ; [ 1 26],[ 1.1147541 32.8852459] ; [ 0.8852459 26.1147541],0
p10,1,0.941882,0.005315,[13 20] ; [10 16],[12.86440678 20.13559322] ; [10.13559322 15.86440678],0
