Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,30.959044,[ 26 113] ; [105 115],[50.72144847 88.27855153] ; [ 80.27855153 139.72144847],1
n6,1,0.285464,1.14089,[99 38] ; [170  50],[103.22969188  33.77030812] ; [165.77030812  54.22969188],0
u2,1,0.305618,1.049516,[29 34] ; [49 41],[32.11764706 30.88235294] ; [45.88235294 44.11764706],0
p4,1,0.313977,1.013874,[61 76] ; [110 110],[65.62184874 71.37815126] ; [105.37815126 114.62184874],0
v1,1,0.3881,0.744888,[60 76] ; [105 110],[63.93162393 72.06837607] ; [101.06837607 113.93162393],0
p1,1,0.436485,0.605506,[ 10 128] ; [ 21 197],[ 12.01685393 125.98314607] ; [ 18.98314607 199.01685393],0
s8,1,0.445949,0.580928,[48 90] ; [ 68 152],[44.7150838 93.2849162] ; [ 71.2849162 148.7150838],0
s3,1,0.553448,0.351176,[66 71] ; [ 98 120],[63.29014085 73.70985915] ; [100.70985915 117.29014085],0
n2,1,0.563886,0.333021,[37 11] ; [36 14],[35.75510204 12.24489796] ; [37.24489796 12.75510204],0
a3,1,0.587704,0.293945,[76 62] ; [127  92],[78.47058824 59.52941176] ; [124.52941176  94.47058824],0
n5,1,0.602072,0.271882,[96 41] ; [147  71],[93.77746479 43.22253521] ; [149.22253521  68.77746479],0
n1,1,0.649338,0.206736,[18 29] ; [21 28],[19.09375 27.90625] ; [19.90625 29.09375],0
s5,1,0.662764,0.190184,[ 30 104] ; [ 53 164],[ 31.68660969 102.31339031] ; [ 51.31339031 165.68660969],0
b1,1,0.673353,0.177705,[61 78] ; [ 92 129],[59.075 79.925] ; [ 93.925 127.075],0
a4,1,0.697303,0.151293,[ 32 106] ; [ 55 165],[ 33.53631285 104.46368715] ; [ 53.46368715 166.53631285],0
p12,1,0.746399,0.104582,[  8 129] ; [ 11 207],[  7.33239437 129.66760563] ; [ 11.66760563 206.33239437],0
s7,1,0.853133,0.03427,[49 85] ; [ 77 128],[49.80530973 84.19469027] ; [ 76.19469027 128.80530973],0
b4,1,0.855549,0.03314,[76 63] ; [123  98],[76.83611111 62.16388889] ; [122.16388889  98.83611111],0
s2,1,0.880698,0.022525,[51 88] ; [ 79 141],[50.33426184 88.66573816] ; [ 79.66573816 140.33426184],0
v3,1,0.905076,0.014221,[45 90] ; [ 71 146],[44.48863636 90.51136364] ; [ 71.51136364 145.48863636],0
s1,1,0.991098,0.000124,[  7 131] ; [ 11 207],[  6.97752809 131.02247191] ; [ 11.02247191 206.97752809],0
