Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,27.66369,[97 35] ; [ 8 25],[84. 48.] ; [21. 12.],1
b4,1,0.609848,0.260396,[83 50] ; [19 14],[81.72289157 51.27710843] ; [20.27710843 12.72289157],0
s3,1,0.698284,0.150264,[64 66] ; [15 18],[63.00613497 66.99386503] ; [15.99386503 17.00613497],0
p5,1,0.704754,0.143573,[  6 127] ; [ 1 32],[  5.60843373 127.39156627] ; [ 1.39156627 31.60843373],0
d5,1,0.738887,0.111107,[112  21] ; [27  6],[111.36746988  21.63253012] ; [27.63253012  5.36746988],0
u4,1,0.795053,0.067472,[  3 130] ; [ 1 32],[  3.20481928 129.79518072] ; [ 0.79518072 32.20481928],0
s5,1,0.797236,0.066011,[32 93] ; [ 7 23],[31.4516129 93.5483871] ; [ 7.5483871 22.4516129],0
r1,1,0.843303,0.039073,[106  27] ; [25  7],[105.59393939  27.40606061] ; [25.40606061  6.59393939],0
n1,1,0.852737,0.034457,[12 24] ; [4 7],[12.25531915 23.74468085] ; [3.74468085 7.25531915],0
v3,1,0.872169,0.02589,[63 67] ; [15 17],[62.59259259 67.40740741] ; [15.40740741 16.59259259],0
v1,1,0.927307,0.008324,[72 55] ; [19 14],[72.23125 54.76875] ; [18.76875 14.23125],0
a3,1,0.979627,0.000652,[93 40] ; [23 10],[92.93975904 40.06024096] ; [23.06024096  9.93975904],0
a5,1,0.982516,0.00048,[101  32] ; [25  8],[100.95180723  32.04819277] ; [25.04819277  7.95180723],0
