Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.002172,9.398148,[58 29] ; [ 5 13],[52.2 34.8] ; [10.8  7.2],0
p3,1,0.166475,1.914402,[36 51] ; [ 4 13],[33.46153846 53.53846154] ; [ 6.53846154 10.46153846],0
a2,1,0.178419,1.810748,[16 71] ; [ 1 17],[14.08571429 72.91428571] ; [ 2.91428571 15.08571429],0
n6,1,0.204578,1.60939,[56 29] ; [9 9],[53.6407767 31.3592233] ; [11.3592233  6.6407767],0
n5,1,0.22422,1.477158,[32 54] ; [ 4 14],[29.76923077 56.23076923] ; [ 6.23076923 11.76923077],0
v4,1,0.246384,1.343691,[83  4] ; [15  2],[81.98076923  5.01923077] ; [16.01923077  0.98076923],0
v2,1,0.252516,1.309329,[42 36] ; [ 7 11],[39.8125 38.1875] ; [9.1875 8.8125],0
a7,1,0.337258,0.920828,[66 21] ; [11  6],[64.41346154 22.58653846] ; [12.58653846  4.41346154],0
b4,1,0.341399,0.905172,[54 33] ; [9 9],[52.2 34.8] ; [10.8  7.2],0
d2,1,0.366327,0.816085,[34 53] ; [ 5 13],[32.31428571 54.68571429] ; [ 6.68571429 11.31428571],0
p8,1,0.373519,0.791925,[40 45] ; [ 6 11],[38.33333333 46.66666667] ; [7.66666667 9.33333333],0
a3,1,0.391135,0.73541,[53 34] ; [9 9],[51.37142857 35.62857143] ; [10.62857143  7.37142857],0
a6,1,0.394301,0.725636,[62 25] ; [11  7],[60.48571429 26.51428571] ; [12.51428571  5.48571429],0
s1,1,0.456558,0.554319,[ 2 84] ; [ 1 17],[ 2.48076923 83.51923077] ; [ 0.51923077 17.48076923],0
v3,1,0.497682,0.459876,[22 60] ; [ 3 13],[20.91836735 61.08163265] ; [ 4.08163265 11.91836735],0
p9,1,0.585234,0.297849,[69 15] ; [13  4],[68.1980198 15.8019802] ; [13.8019802  3.1980198],0
p2,1,0.618194,0.248414,[65 22] ; [11  5],[64.19417476 22.80582524] ; [11.80582524  4.19417476],0
n3,1,0.681442,0.168507,[22 12] ; [3 1],[22.36842105 11.63157895] ; [2.63157895 1.36842105],0
p6,1,0.729914,0.119191,[29 57] ; [ 5 12],[28.38834951 57.61165049] ; [ 5.61165049 11.38834951],0
u3,1,0.761595,0.092044,[23  9] ; [6 3],[22.63414634  9.36585366] ; [6.36585366 2.63414634],0
p10,1,0.81683,0.053649,[66 19] ; [12  4],[65.64356436 19.35643564] ; [12.35643564  3.64356436],0
r2,1,0.835531,0.043103,[81  6] ; [17  1],[81.2  5.8] ; [16.8  1.2],0
b1,1,0.852568,0.034538,[31 56] ; [ 6 12],[30.65714286 56.34285714] ; [ 6.34285714 11.65714286],0
p11,1,0.866248,0.028367,[55 32] ; [11  7],[54.68571429 32.31428571] ; [11.31428571  6.68571429],0
v1,1,0.962106,0.002257,[39 45] ; [8 9],[39.08910891 44.91089109] ; [7.91089109 9.08910891],0
u2,1,0.970415,0.001375,[18 14] ; [5 4],[17.95121951 14.04878049] ; [5.04878049 3.95121951],0
a1,1,0.974573,0.001016,[ 5 82] ; [ 1 17],[ 4.97142857 82.02857143] ; [ 1.02857143 16.97142857],0
a8,1,0.981439,0.000541,[ 5 77] ; [ 1 15],[ 5.02040816 76.97959184] ; [ 0.97959184 15.02040816],0
p12,1,0.982551,0.000478,[ 5 82] ; [ 1 16],[ 5.01923077 81.98076923] ; [ 0.98076923 16.01923077],0
p7,1,0.985867,0.000314,[49 33] ; [9 6],[49.03092784 32.96907216] ; [8.96907216 6.03092784],0
