Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,9.2e-05,15.290801,[10 52] ; [18 15],[18.27368421 43.72631579] ; [ 9.72631579 23.27368421],1
p2,1,0.045378,4.004525,[34 28] ; [25  8],[38.50526316 23.49473684] ; [20.49473684 12.50526316],0
p10,1,0.045629,3.995221,[28 34] ; [22 11],[32.63157895 29.36842105] ; [17.36842105 15.63157895],0
n4,1,0.046383,3.967645,[32 30] ; [24  9],[36.54736842 25.45263158] ; [19.45263158 13.54736842],0
p6,1,0.076487,3.138003,[12 49] ; [12 21],[15.57446809 45.42553191] ; [ 8.42553191 24.57446809],0
p12,1,0.087568,2.91853,[ 1 60] ; [ 3 30],[ 2.59574468 58.40425532] ; [ 1.40425532 31.59574468],0
a3,1,0.116816,2.459504,[28 32] ; [21 12],[31.61290323 28.38709677] ; [17.38709677 15.61290323],0
p9,1,0.141724,2.159141,[35 26] ; [24  9],[38.28723404 22.71276596] ; [20.71276596 12.28723404],0
s8,1,0.159687,1.977183,[ 8 54] ; [ 8 25],[10.44210526 51.55789474] ; [ 5.55789474 27.44210526],0
b1,1,0.192708,1.696789,[27 35] ; [19 14],[30.02105263 31.97894737] ; [15.97894737 17.02105263],0
s1,1,0.237702,1.394168,[ 6 56] ; [ 1 32],[ 4.56842105 57.43157895] ; [ 2.43157895 30.56842105],0
d3,1,0.250934,1.318094,[19 43] ; [14 19],[21.53684211 40.46315789] ; [11.46315789 21.53684211],0
b5,1,0.295616,1.093865,[37 25] ; [16 17],[34.58947368 27.41052632] ; [18.41052632 14.58947368],0
d4,1,0.329343,0.95148,[29 33] ; [12 21],[26.75789474 35.24210526] ; [14.24210526 18.75789474],0
n5,1,0.3789,0.774267,[35 26] ; [22 11],[36.9893617 24.0106383] ; [20.0106383 12.9893617],0
a2,1,0.417219,0.658135,[ 3 59] ; [ 3 30],[ 3.91578947 58.08421053] ; [ 2.08421053 30.91578947],0
p1,1,0.427227,0.63035,[ 6 56] ; [ 5 28],[ 7.17894737 54.82105263] ; [ 3.82105263 29.17894737],0
d1,1,0.512424,0.429114,[ 2 60] ; [ 2 31],[ 2.61052632 59.38947368] ; [ 1.38947368 31.61052632],0
n2,1,0.518992,0.415895,[19  8] ; [5 1],[19.63636364  7.36363636] ; [4.36363636 1.63636364],0
a4,1,0.519658,0.414572,[15 47] ; [10 23],[16.31578947 45.68421053] ; [ 8.68421053 24.31578947],0
a1,1,0.545567,0.365319,[ 6 56] ; [ 2 31],[ 5.22105263 56.77894737] ; [ 2.77894737 30.22105263],0
s3,1,0.573593,0.316708,[22 39] ; [10 23],[20.76595745 40.23404255] ; [11.23404255 21.76595745],0
u1,1,0.646812,0.209943,[ 1 61] ; [ 1 32],[ 1.30526316 60.69473684] ; [ 0.69473684 32.30526316],0
p5,1,0.664472,0.188137,[ 1 59] ; [ 1 32],[ 1.29032258 58.70967742] ; [ 0.70967742 32.29032258],0
b4,1,0.68506,0.164485,[33 29] ; [19 14],[33.93684211 28.06315789] ; [18.06315789 14.93684211],0
s2,1,0.714191,0.134127,[13 49] ; [ 8 25],[13.70526316 48.29473684] ; [ 7.29473684 25.70526316],0
n1,1,0.736956,0.112821,[11 16] ; [2 4],[10.63636364 16.36363636] ; [2.36363636 3.63636364],0
s4,1,0.739442,0.110618,[ 7 55] ; [ 3 30],[ 6.52631579 55.47368421] ; [ 3.47368421 29.52631579],0
b2,1,0.77337,0.082926,[18 25] ; [ 8 13],[17.46875 25.53125] ; [ 8.53125 12.46875],0
b3,1,0.77337,0.082926,[18 25] ; [ 8 13],[17.46875 25.53125] ; [ 8.53125 12.46875],0
a8,1,0.79339,0.068598,[ 5 55] ; [ 3 27],[ 5.33333333 54.66666667] ; [ 2.66666667 27.33333333],0
u3,1,0.902418,0.015033,[12 22] ; [4 8],[11.82608696 22.17391304] ; [4.17391304 7.82608696],0
s7,1,0.941629,0.005362,[12 48] ; [ 6 25],[11.86813187 48.13186813] ; [ 6.13186813 24.86813187],0
u2,1,0.950336,0.003879,[11 23] ; [4 8],[11.08695652 22.91304348] ; [3.91304348 8.08695652],0
d2,1,0.995775,2.8e-05,[15 47] ; [ 8 25],[15.01052632 46.98947368] ; [ 7.98947368 25.01052632],0
