Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.00022,13.653245,[20 51] ; [13  4],[26.625 44.375] ; [ 6.375 10.625],1
a7,1,0.296218,1.091142,[51 20] ; [10  7],[49.21590909 21.78409091] ; [11.78409091  5.21590909],0
p9,1,0.310547,1.02835,[40 30] ; [12  5],[41.83908046 28.16091954] ; [10.16091954  6.83908046],0
a3,1,0.327256,0.959725,[46 24] ; [9 8],[44.25287356 25.74712644] ; [10.74712644  6.25287356],0
d4,1,0.364762,0.821431,[46 25] ; [9 8],[44.375 26.625] ; [10.625  6.375],0
n5,1,0.377661,0.778301,[27 44] ; [8 8],[28.56321839 42.43678161] ; [6.43678161 9.56321839],0
p10,1,0.387559,0.746588,[33 37] ; [10  7],[34.59770115 35.40229885] ; [8.40229885 8.59770115],0
p11,1,0.417915,0.656172,[34 37] ; [10  7],[35.5 35.5] ; [8.5 8.5],0
n4,1,0.480248,0.498299,[35 36] ; [10  7],[36.30681818 34.69318182] ; [8.69318182 8.30681818],0
a4,1,0.494387,0.466965,[27 44] ; [8 9],[28.23863636 42.76136364] ; [ 6.76136364 10.23863636],0
u1,1,0.51805,0.417775,[ 5 66] ; [ 2 15],[ 5.64772727 65.35227273] ; [ 1.35227273 15.64772727],0
p1,1,0.529724,0.39492,[ 5 65] ; [ 2 15],[ 5.63218391 64.36781609] ; [ 1.36781609 15.63218391],0
b4,1,0.547161,0.362427,[36 35] ; [10  7],[37.11363636 33.88636364] ; [8.88636364 8.11363636],0
d2,1,0.565869,0.329644,[28 43] ; [8 9],[29.04545455 41.95454545] ; [ 6.95454545 10.04545455],0
r1,1,0.567533,0.326828,[47 24] ; [10  7],[45.98863636 25.01136364] ; [11.01136364  5.98863636],0
r2,1,0.640938,0.217517,[54 16] ; [14  3],[54.71264368 15.28735632] ; [13.28735632  3.71264368],0
a6,1,0.646053,0.210913,[46 25] ; [10  7],[45.18181818 25.81818182] ; [10.81818182  6.18181818],0
n2,1,0.668929,0.182857,[12 13] ; [4 3],[12.5 12.5] ; [3.5 3.5],0
n1,1,0.74047,0.109714,[ 9 16] ; [3 4],[ 9.375 15.625] ; [2.625 4.375],0
d5,1,0.785351,0.074176,[52 19] ; [13  4],[52.44318182 18.55681818] ; [12.55681818  4.44318182],0
d1,1,0.834329,0.043745,[27 44] ; [ 6 11],[26.625 44.375] ; [ 6.375 10.625],0
a8,1,0.837618,0.042001,[ 6 62] ; [ 1 13],[ 5.80487805 62.19512195] ; [ 1.19512195 12.80487805],0
d3,1,0.843156,0.039148,[38 33] ; [9 7],[38.35632184 32.64367816] ; [8.64367816 7.35632184],0
v3,1,0.875411,0.024583,[17 50] ; [ 4 13],[16.75 50.25] ; [ 4.25 12.75],0
u3,1,0.921521,0.009706,[12 13] ; [4 4],[12.12121212 12.87878788] ; [3.87878788 4.12121212],0
