Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.003944,8.309361,[ 4 28] ; [ 93 149],[11.32846715 20.67153285] ; [ 85.67153285 156.32846715],0
p11,1,0.689159,0.159998,[47  9] ; [348  57],[47.98264642  8.01735358] ; [347.01735358  57.98264642],0
n6,1,0.701237,0.147188,[47  8] ; [337  67],[46.0130719  8.9869281] ; [337.9869281  66.0130719],0
a7,1,0.715953,0.132403,[40 15] ; [303 101],[41.10021786 13.89978214] ; [301.89978214 102.10021786],0
s8,1,0.750806,0.100855,[23 33] ; [157 247],[21.91304348 34.08695652] ; [158.08695652 245.91304348],0
p6,1,0.797472,0.065854,[16 40] ; [121 279],[16.8245614 39.1754386] ; [120.1754386 279.8245614],0
p3,1,0.798926,0.064891,[27 29] ; [187 216],[26.10893246 29.89106754] ; [187.89106754 215.10893246],0
a6,1,0.841243,0.040121,[40 16] ; [284 121],[39.35791757 16.64208243] ; [284.64208243 120.35791757],0
a5,1,0.850681,0.035438,[39 17] ; [287 118],[39.60086768 16.39913232] ; [286.39913232 118.60086768],0
p2,1,0.856094,0.032887,[48  8] ; [340  61],[47.54485777  8.45514223] ; [340.45514223  60.54485777],0
d1,1,0.860932,0.030691,[30 26] ; [222 183],[30.61171367 25.38828633] ; [221.38828633 183.61171367],0
p8,1,0.864404,0.029163,[29 26] ; [206 194],[28.40659341 26.59340659] ; [206.59340659 193.40659341],0
a2,1,0.871233,0.026274,[12 44] ; [ 83 322],[11.54013015 44.45986985] ; [ 83.45986985 321.54013015],0
v4,1,0.872292,0.02584,[52  3] ; [384  20],[52.24400871  2.75599129] ; [383.75599129  20.24400871],0
d5,1,0.887334,0.020073,[43 12] ; [320  85],[43.40217391 11.59782609] ; [319.59782609  85.40217391],0
n3,1,0.911823,0.012263,[9 3] ; [61 22],[8.84210526 3.15789474] ; [61.15789474 21.84210526],0
u2,1,0.954209,0.003297,[9 6] ; [77 53],[8.89655172 6.10344828] ; [77.10344828 52.89655172],0
u3,1,0.990909,0.00013,[8 7] ; [69 60],[8.02083333 6.97916667] ; [68.97916667 60.02083333],0
