Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4.1e-05,16.832099,[ 5 41] ; [14 11],[12.30985915 33.69014085] ; [ 6.69014085 18.30985915],1
p8,1,0.123437,2.373154,[12 34] ; [11 14],[14.90140845 31.09859155] ; [ 8.09859155 16.90140845],0
v4,1,0.14464,2.127886,[32 15] ; [21  4],[34.59722222 12.40277778] ; [18.40277778  6.59722222],0
b2,1,0.175568,1.83475,[ 9 19] ; [8 7],[11.06976744 16.93023256] ; [5.93023256 9.06976744],0
b3,1,0.175568,1.83475,[ 9 19] ; [8 7],[11.06976744 16.93023256] ; [5.93023256 9.06976744],0
a4,1,0.180547,1.793117,[13 33] ; [11 14],[15.54929577 30.45070423] ; [ 8.45070423 16.54929577],0
v2,1,0.201961,1.628136,[15 31] ; [12 13],[17.49295775 28.50704225] ; [ 9.50704225 15.49295775],0
a2,1,0.21842,1.514721,[ 2 45] ; [ 3 22],[ 3.26388889 43.73611111] ; [ 1.73611111 23.26388889],0
s1,1,0.21842,1.514721,[ 2 45] ; [ 3 22],[ 3.26388889 43.73611111] ; [ 1.73611111 23.26388889],0
p5,1,0.228719,1.448812,[ 2 44] ; [ 3 22],[ 3.23943662 42.76056338] ; [ 1.76056338 23.23943662],0
n6,1,0.239612,1.382876,[28 19] ; [17  6],[30.21428571 16.78571429] ; [14.78571429  8.21428571],0
a6,1,0.291682,1.111841,[17 30] ; [ 6 19],[15.01388889 31.98611111] ; [ 7.98611111 17.01388889],0
d5,1,0.292944,1.106043,[24 23] ; [16  9],[26.11111111 20.88888889] ; [13.88888889 11.11111111],0
d2,1,0.386971,0.748439,[19 27] ; [13 12],[20.73239437 25.26760563] ; [11.26760563 13.73239437],0
r2,1,0.409355,0.680673,[34 11] ; [21  4],[35.35714286  9.64285714] ; [19.64285714  5.35714286],0
s4,1,0.416632,0.659796,[ 6 41] ; [ 5 20],[ 7.18055556 39.81944444] ; [ 3.81944444 21.18055556],0
p7,1,0.431363,0.619152,[19 26] ; [13 12],[20.57142857 24.42857143] ; [11.42857143 13.57142857],0
u3,1,0.453508,0.56187,[ 7 18] ; [3 4],[ 7.8125 17.1875] ; [2.1875 4.8125],0
a5,1,0.45771,0.551489,[22 25] ; [14 11],[23.5 23.5] ; [12.5 12.5],0
d4,1,0.483832,0.490213,[30 17] ; [18  7],[31.33333333 15.66666667] ; [16.66666667  8.33333333],0
n2,1,0.553564,0.350972,[10  7] ; [11  5],[10.81818182  6.18181818] ; [10.18181818  5.81818182],0
b5,1,0.56804,0.325973,[23 24] ; [14 11],[24.15277778 22.84722222] ; [12.84722222 12.15277778],0
u1,1,0.645328,0.211842,[ 1 46] ; [ 1 24],[ 1.30555556 45.69444444] ; [ 0.69444444 24.30555556],0
a1,1,0.719033,0.129422,[ 5 42] ; [ 2 23],[ 4.56944444 42.43055556] ; [ 2.43055556 22.56944444],0
n3,1,0.723155,0.12549,[8 8] ; [9 7],[8.5 7.5] ; [8.5 7.5],0
v3,1,0.821074,0.05115,[14 30] ; [ 7 17],[13.58823529 30.41176471] ; [ 7.41176471 16.58823529],0
