Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,86.038989,[146   2] ; [68 64],[113.11428571  34.88571429] ; [100.88571429  31.11428571],1
b2,1,0.019502,5.455892,[38 56] ; [19 61],[30.79310345 63.20689655] ; [26.20689655 53.79310345],0
b3,1,0.019502,5.455892,[38 56] ; [19 61],[30.79310345 63.20689655] ; [26.20689655 53.79310345],0
v3,1,0.039533,4.237819,[62 81] ; [41 90],[53.75547445 89.24452555] ; [49.24452555 81.75547445],0
v4,1,0.083155,3.002124,[142   6] ; [119  12],[138.4516129   9.5483871] ; [122.5483871   8.4516129],0
b1,1,0.089796,2.87803,[54 95] ; [61 71],[60.97864769 88.02135231] ; [54.02135231 77.97864769],0
p4,1,0.093221,2.817845,[100  47] ; [77 55],[93.25806452 53.74193548] ; [83.74193548 48.25806452],0
b5,1,0.114058,2.497075,[94 55] ; [71 61],[87.4911032 61.5088968] ; [77.5088968 54.4911032],0
n6,1,0.125419,2.348307,[125  23] ; [102  30],[119.98571429  28.01428571] ; [107.01428571  24.98571429],0
a8,1,0.156239,2.010257,[ 20 105] ; [ 12 109],[ 16.2601626 108.7398374] ; [ 15.7398374 105.2601626],0
v2,1,0.164799,1.929629,[88 57] ; [67 61],[82.32600733 62.67399267] ; [72.67399267 55.32600733],0
v1,1,0.173548,1.85203,[85 62] ; [63 64],[79.40145985 67.59854015] ; [68.59854015 58.40145985],0
p12,1,0.196349,1.669327,[  5 141] ; [  9 123],[  7.35251799 138.64748201] ; [  6.64748201 125.35251799],0
s8,1,0.241625,1.371089,[ 47 101] ; [33 97],[ 42.58992806 105.41007194] ; [37.41007194 92.58992806],0
s5,1,0.250141,1.322517,[ 37 110] ; [ 25 104],[ 33.02173913 113.97826087] ; [ 28.97826087 100.02173913],0
p5,1,0.25861,1.276182,[ 16 133] ; [ 20 111],[ 19.15714286 129.84285714] ; [ 16.84285714 114.15714286],0
p11,1,0.270343,1.215005,[124  25] ; [103  29],[120.36654804  28.63345196] ; [106.63345196  25.36654804],0
s4,1,0.272814,1.202544,[ 14 134] ; [ 18 114],[ 16.91428571 131.08571429] ; [ 15.08571429 116.91428571],0
b4,1,0.309203,1.034078,[88 61] ; [70 62],[83.77935943 65.22064057] ; [74.22064057 57.77935943],0
s1,1,0.332254,0.940094,[  2 145] ; [  4 127],[  3.17266187 143.82733813] ; [  2.82733813 128.17266187],0
p3,1,0.350925,0.870109,[90 58] ; [73 59],[86.15714286 61.84285714] ; [76.84285714 55.15714286],0
a7,1,0.355208,0.854765,[108  41] ; [89 43],[104.45907473  44.54092527] ; [92.54092527 39.45907473],0
n1,1,0.365547,0.818746,[ 5 15] ; [15 26],[ 6.55737705 13.44262295] ; [13.44262295 27.55737705],0
a1,1,0.372055,0.796791,[  3 146] ; [  5 127],[  4.24199288 144.75800712] ; [  3.75800712 128.24199288],0
s6,1,0.373957,0.790472,[68 78] ; [66 61],[71.66300366 74.33699634] ; [62.33699634 64.66300366],0
s7,1,0.473827,0.513036,[ 40 102] ; [39 82],[42.6539924 99.3460076] ; [36.3460076 84.6539924],0
n2,1,0.516729,0.420418,[16  5] ; [28 13],[14.90322581  6.09677419] ; [29.09677419 11.90322581],0
p6,1,0.545311,0.365784,[61 83] ; [50 79],[58.54945055 85.45054945] ; [52.45054945 76.54945055],0
u3,1,0.548248,0.360465,[16 13] ; [32 34],[14.65263158 14.34736842] ; [33.34736842 32.65263158],0
p2,1,0.628828,0.233654,[132  14] ; [117  15],[130.76978417  15.23021583] ; [118.23021583  13.76978417],0
u2,1,0.769481,0.085881,[16 12] ; [35 30],[15.35483871 12.64516129] ; [35.64516129 29.35483871],0
n5,1,0.791163,0.07012,[106  43] ; [92 40],[104.98932384  44.01067616] ; [93.01067616 38.98932384],0
n3,1,0.837326,0.042154,[17  3] ; [34  7],[16.72131148  3.27868852] ; [34.27868852  6.72131148],0
u4,1,0.93145,0.0074,[  1 148] ; [  1 131],[  1.06049822 147.93950178] ; [  0.93950178 131.06049822],0
p1,1,0.945376,0.004694,[ 12 136] ; [ 11 121],[ 12.15714286 135.84285714] ; [ 10.84285714 121.15714286],0
