Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,23.464623,[ 67 261] ; [28 27],[ 81.35770235 246.64229765] ; [13.64229765 41.35770235],1
v2,1,0.323271,0.975668,[169 151] ; [33 22],[172.37333333 147.62666667] ; [29.62666667 25.37333333],0
p5,1,0.354448,0.857469,[ 31 298] ; [ 3 51],[ 29.20626632 299.79373368] ; [ 4.79373368 49.20626632],0
n6,1,0.366882,0.814198,[265  65] ; [47  8],[267.42857143  62.57142857] ; [44.57142857 10.42857143],0
a1,1,0.384224,0.757143,[ 15 316] ; [ 4 51],[ 16.29274611 314.70725389] ; [ 2.70725389 52.29274611],0
a2,1,0.44108,0.593471,[ 69 262] ; [14 41],[ 71.17357513 259.82642487] ; [11.82642487 43.17357513],0
p8,1,0.448852,0.573548,[155 167] ; [29 25],[157.57446809 164.42553191] ; [26.42553191 27.57446809],0
p4,1,0.458695,0.549078,[171 158] ; [31 23],[173.51958225 155.48041775] ; [28.48041775 25.51958225],0
p3,1,0.466863,0.529392,[147 182] ; [27 27],[149.46736292 179.53263708] ; [24.53263708 29.46736292],0
d2,1,0.47381,0.513076,[144 184] ; [27 28],[146.44386423 181.55613577] ; [24.55613577 30.44386423],0
s1,1,0.478568,0.502124,[  7 322] ; [ 2 52],[  7.7310705 321.2689295] ; [ 1.2689295 52.7310705],0
p1,1,0.484808,0.488028,[ 27 303] ; [ 3 52],[ 25.71428571 304.28571429] ; [ 4.28571429 50.71428571],0
n2,1,0.515486,0.422914,[55 30] ; [11  4],[56.1 28.9] ; [9.9 5.1],0
d1,1,0.516459,0.420958,[177 154] ; [32 23],[179.22020725 151.77979275] ; [29.77979275 25.22020725],0
b5,1,0.559611,0.340378,[203 128] ; [36 19],[204.94559585 126.05440415] ; [34.05440415 20.94559585],0
r4,1,0.560809,0.338306,[292  39] ; [50  5],[293.26943005  37.73056995] ; [48.73056995  6.26943005],0
a5,1,0.589295,0.291447,[235  96] ; [41 14],[236.67357513  94.32642487] ; [39.32642487 15.67357513],0
b4,1,0.751187,0.100536,[185 146] ; [32 23],[186.08031088 144.91968912] ; [30.91968912 24.08031088],0
d3,1,0.755497,0.09697,[219 111] ; [37 17],[220. 110.] ; [36. 18.],0
n4,1,0.806268,0.060144,[240  91] ; [39 16],[239.24611399  91.75388601] ; [39.75388601 15.24611399],0
a8,1,0.822387,0.050389,[ 33 263] ; [ 6 43],[ 33.46086957 262.53913043] ; [ 5.53913043 43.46086957],0
n5,1,0.85016,0.035689,[228 102] ; [38 16],[228.59375 101.40625] ; [37.40625 16.59375],0
b2,1,0.875575,0.024518,[ 73 123] ; [12 19],[ 73.39207048 122.60792952] ; [11.60792952 19.39207048],0
b3,1,0.875575,0.024518,[ 73 123] ; [12 19],[ 73.39207048 122.60792952] ; [11.60792952 19.39207048],0
p2,1,0.9235,0.009221,[251  77] ; [41 13],[250.72251309  77.27748691] ; [41.27748691 12.72251309],0
a3,1,0.929039,0.007931,[224 106] ; [37 18],[223.71428571 106.28571429] ; [37.28571429 17.71428571],0
b1,1,0.943872,0.004957,[122 209] ; [20 35],[121.76683938 209.23316062] ; [20.23316062 34.76683938],0
p9,1,0.95066,0.003829,[254  71] ; [42 12],[253.82585752  71.17414248] ; [42.17414248 11.82585752],0
u2,1,0.970219,0.001394,[53 52] ; [9 9],[52.92682927 52.07317073] ; [9.07317073 8.92682927],0
a7,1,0.987755,0.000236,[238  92] ; [39 15],[238.046875  91.953125] ; [38.953125 15.046875],0
