Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.007374,7.17964,[4 8] ; [14  3],[7.44827586 4.55172414] ; [10.55172414  6.44827586],0
r3,1,0.71714,0.13125,[9 3] ; [11  5],[8.57142857 3.42857143] ; [11.42857143  4.57142857],0
d1,1,0.72759,0.121336,[5 7] ; [ 6 11],[4.55172414 7.44827586] ; [ 6.44827586 10.55172414],0
r2,1,0.740797,0.109428,[8 3] ; [10  5],[7.61538462 3.38461538] ; [10.38461538  4.61538462],0
u2,1,0.763824,0.090278,[3 1] ; [6 3],[2.76923077 1.23076923] ; [6.23076923 2.76923077],0
p3,1,0.773675,0.082697,[7 5] ; [9 8],[6.62068966 5.37931034] ; [9.37931034 7.62068966],0
b2,1,0.793258,0.068687,[3 8] ; [2 4],[3.23529412 7.76470588] ; [1.76470588 4.23529412],0
b3,1,0.793258,0.068687,[3 8] ; [2 4],[3.23529412 7.76470588] ; [1.76470588 4.23529412],0
v2,1,0.795012,0.0675,[7 5] ; [8 7],[6.66666667 5.33333333] ; [8.33333333 6.66666667],0
a1,1,0.797533,0.065813,[ 1 11] ; [ 1 16],[ 0.82758621 11.17241379] ; [ 1.17241379 15.82758621],0
p12,1,0.797533,0.065813,[ 1 11] ; [ 1 16],[ 0.82758621 11.17241379] ; [ 1.17241379 15.82758621],0
p10,1,0.819872,0.051852,[8 4] ; [10  6],[7.71428571 4.28571429] ; [10.28571429  5.71428571],0
n1,1,0.835099,0.043333,[1 2] ; [4 6],[1.15384615 1.84615385] ; [3.84615385 6.15384615],0
d5,1,0.927375,0.008308,[9 3] ; [13  4],[9.10344828 2.89655172] ; [12.89655172  4.10344828],0
a2,1,0.945119,0.004739,[ 2 10] ; [ 3 14],[2.06896552 9.93103448] ; [ 2.93103448 14.06896552],0
b4,1,0.97894,0.000697,[5 7] ; [ 7 10],[4.96551724 7.03448276] ; [7.03448276 9.96551724],0
s5,1,1.0,0.0,[2 8] ; [ 3 12],[2. 8.] ; [ 3. 12.],0
u3,1,1.0,0.0,[1 3] ; [2 6],[1. 3.] ; [2. 6.],0
