Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,99.817992,[361   5] ; [16 11],[351.09923664  14.90076336] ; [25.90076336  1.09923664],1
d3,1,0.044654,4.031641,[266 100] ; [16 13],[261.29620253 104.70379747] ; [20.70379747  8.29620253],0
u1,1,0.047164,3.939523,[ 83 284] ; [ 2 27],[ 78.77525253 288.22474747] ; [ 6.22474747 22.77525253],0
n5,1,0.04749,3.927948,[331  35] ; [22  6],[327.91370558  38.08629442] ; [25.08629442  2.91370558],0
a1,1,0.056171,3.646978,[ 19 348] ; [ 4 25],[ 21.31565657 345.68434343] ; [ 1.68434343 27.31565657],0
d5,1,0.068641,3.315224,[311  54] ; [21  8],[307.56345178  57.43654822] ; [24.43654822  4.56345178],0
d4,1,0.085337,2.960203,[309  56] ; [21  8],[305.7106599  59.2893401] ; [24.2893401  4.7106599],0
a5,1,0.090919,2.858031,[290  77] ; [19 10],[286.37121212  80.62878788] ; [22.62878788  6.37121212],0
s8,1,0.104202,2.640019,[194 168] ; [11 18],[189.79539642 172.20460358] ; [15.20460358 13.79539642],0
p1,1,0.22688,1.460318,[ 38 327] ; [ 1 28],[ 36.12944162 328.87055838] ; [ 2.87055838 26.12944162],0
s7,1,0.242474,1.366153,[195 153] ; [11 14],[192.19302949 155.80697051] ; [13.80697051 11.19302949],0
u2,1,0.29016,1.118881,[50 40] ; [2 4],[48.75 41.25] ; [3.25 2.75],0
s3,1,0.32133,0.983525,[208 151] ; [13 14],[205.54145078 153.45854922] ; [15.45854922 11.54145078],0
v2,1,0.335564,0.927307,[248 109] ; [17 11],[245.72727273 111.27272727] ; [19.27272727  8.72727273],0
p5,1,0.401338,0.704313,[ 61 302] ; [ 3 25],[ 59.4168798 303.5831202] ; [ 4.5831202 23.4168798],0
b3,1,0.440184,0.595802,[107 144] ; [ 6 12],[105.43866171 145.56133829] ; [ 7.56133829 10.43866171],0
b2,1,0.440184,0.595802,[107 144] ; [ 6 12],[105.43866171 145.56133829] ; [ 7.56133829 10.43866171],0
b4,1,0.453309,0.562366,[216 151] ; [15 14],[214.08333333 152.91666667] ; [16.91666667 12.08333333],0
a2,1,0.460366,0.545006,[ 99 268] ; [ 6 23],[ 97.31060606 269.68939394] ; [ 7.68939394 21.31060606],0
n3,1,0.473862,0.512956,[37 10] ; [9 4],[36.03333333 10.96666667] ; [9.96666667 3.03333333],0
s4,1,0.542156,0.371559,[ 52 308] ; [ 3 26],[ 50.89974293 309.10025707] ; [ 4.10025707 24.89974293],0
p12,1,0.546209,0.364153,[ 39 323] ; [ 2 26],[ 38.05641026 323.94358974] ; [ 2.94358974 25.05641026],0
d2,1,0.632965,0.228061,[193 172] ; [14 15],[191.76395939 173.23604061] ; [15.23604061 13.76395939],0
n1,1,0.791129,0.070143,[27 20] ; [8 5],[27.41666667 19.58333333] ; [7.58333333 5.41666667],0
b5,1,0.878654,0.02331,[233 134] ; [18 11],[232.61868687 134.38131313] ; [18.38131313 10.61868687],0
n2,1,0.889092,0.019447,[37 10] ; [10  3],[36.81666667 10.18333333] ; [10.18333333  2.81666667],0
a4,1,0.903081,0.014828,[180 184] ; [14 15],[179.68447837 184.31552163] ; [14.31552163 14.68447837],0
a3,1,0.977046,0.000828,[277  87] ; [22  7],[276.93638677  87.06361323] ; [22.06361323  6.93638677],0
