Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,29.173788,[50  9] ; [ 9 23],[38.25274725 20.74725275] ; [20.74725275 11.25274725],1
b5,1,0.205479,1.602995,[34 25] ; [14 18],[31.12087912 27.87912088] ; [16.87912088 15.12087912],0
n3,1,0.216701,1.526087,[16  8] ; [7 8],[14.15384615  9.84615385] ; [8.84615385 6.15384615],0
a7,1,0.224386,1.476099,[39 20] ; [17 15],[36.30769231 22.69230769] ; [19.69230769 12.30769231],0
b4,1,0.240359,1.378486,[37 22] ; [16 16],[34.36263736 24.63736264] ; [18.63736264 13.36263736],0
p4,1,0.281113,1.161701,[15 44] ; [ 5 27],[12.96703297 46.03296703] ; [ 7.03296703 24.96703297],0
b1,1,0.31057,1.028249,[23 36] ; [16 16],[25.28571429 33.71428571] ; [13.71428571 18.28571429],0
v3,1,0.352614,0.864029,[17 36] ; [ 7 24],[15.14285714 37.85714286] ; [ 8.85714286 22.14285714],0
s4,1,0.370103,0.803319,[ 7 52] ; [ 6 26],[ 8.42857143 50.57142857] ; [ 4.57142857 27.42857143],0
p3,1,0.401186,0.704768,[14 45] ; [ 5 26],[12.45555556 46.54444444] ; [ 6.54444444 24.45555556],0
p11,1,0.456264,0.555045,[25 34] ; [11 21],[23.34065934 35.65934066] ; [12.65934066 19.34065934],0
s8,1,0.463658,0.53705,[13 46] ; [ 5 27],[11.67032967 47.32967033] ; [ 6.32967033 25.67032967],0
n4,1,0.502184,0.450317,[32 27] ; [15 17],[30.47252747 28.52747253] ; [16.52747253 15.47252747],0
p6,1,0.505743,0.442865,[ 5 54] ; [ 4 27],[ 5.9 53.1] ; [ 3.1 27.9],0
u1,1,0.525094,0.403876,[ 2 57] ; [ 2 30],[ 2.59340659 56.40659341] ; [ 1.40659341 30.59340659],0
d1,1,0.544108,0.367979,[26 33] ; [12 20],[24.63736264 34.36263736] ; [13.36263736 18.63736264],0
p9,1,0.567504,0.326877,[30 28] ; [18 13],[31.28089888 26.71910112] ; [16.71910112 14.28089888],0
a2,1,0.612674,0.2563,[ 7 52] ; [ 5 27],[ 7.78021978 51.21978022] ; [ 4.21978022 27.78021978],0
v1,1,0.624811,0.239163,[26 33] ; [12 19],[24.91111111 34.08888889] ; [13.08888889 17.91111111],0
n1,1,0.640905,0.21756,[11 15] ; [7 7],[11.7 14.3] ; [6.3 7.7],0
a4,1,0.658458,0.195402,[23 36] ; [14 18],[23.98901099 35.01098901] ; [13.01098901 18.98901099],0
a3,1,0.679005,0.171248,[37 21] ; [19 13],[36.08888889 21.91111111] ; [19.91111111 12.08888889],0
a8,1,0.68417,0.16547,[ 5 51] ; [ 2 29],[ 4.50574713 51.49425287] ; [ 2.49425287 28.50574713],0
n2,1,0.70213,0.146265,[14 12] ; [9 6],[14.58536585 11.41463415] ; [8.41463415 6.58536585],0
p10,1,0.7311,0.118104,[24 34] ; [14 17],[24.76404494 33.23595506] ; [13.23595506 17.76404494],0
s1,1,0.787926,0.072364,[ 3 56] ; [ 2 29],[ 3.27777778 55.72222222] ; [ 1.72222222 29.27777778],0
s7,1,0.83973,0.040901,[13 40] ; [ 7 24],[12.61904762 40.38095238] ; [ 7.38095238 23.61904762],0
s5,1,0.899318,0.016008,[ 8 45] ; [ 5 26],[ 8.20238095 44.79761905] ; [ 4.79761905 26.20238095],0
a6,1,0.996081,2.4e-05,[35 24] ; [19 13],[35.01098901 23.98901099] ; [18.98901099 13.01098901],0
