Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.776487,[40  9] ; [13 30],[28.22826087 20.77173913] ; [24.77173913 18.22826087],1
d5,1,0.4069,0.687841,[31 19] ; [23 20],[29.03225806 20.96774194] ; [24.96774194 18.03225806],0
a3,1,0.456808,0.553704,[26 23] ; [19 23],[24.23076923 24.76923077] ; [20.76923077 21.23076923],0
b1,1,0.471435,0.51861,[27 23] ; [20 23],[25.2688172 24.7311828] ; [21.7311828 21.2688172],0
u1,1,0.512198,0.429575,[ 4 46] ; [ 2 41],[ 3.22580645 46.77419355] ; [ 2.77419355 40.22580645],0
s8,1,0.525712,0.402672,[ 2 48] ; [ 3 40],[ 2.68817204 47.31182796] ; [ 2.31182796 40.68817204],0
b4,1,0.527135,0.399912,[30 20] ; [23 20],[28.49462366 21.50537634] ; [24.50537634 18.49462366],0
p5,1,0.533782,0.387186,[ 4 45] ; [ 2 39],[ 3.26666667 45.73333333] ; [ 2.73333333 38.26666667],0
p7,1,0.541251,0.373227,[15 32] ; [16 26],[16.37078652 30.62921348] ; [14.62921348 27.37078652],0
p11,1,0.553061,0.351862,[24 26] ; [18 25],[22.58064516 27.41935484] ; [19.41935484 23.58064516],0
n3,1,0.554402,0.34949,[10 10] ; [13  9],[10.95238095  9.04761905] ; [12.04761905  9.95238095],0
p10,1,0.615803,0.251811,[21 26] ; [21 21],[22.17977528 24.82022472] ; [19.82022472 22.17977528],0
v1,1,0.623672,0.240741,[14 35] ; [14 28],[15.07692308 33.92307692] ; [12.92307692 29.07692308],0
r2,1,0.624401,0.23973,[25 21] ; [25 17],[26.13636364 19.86363636] ; [23.86363636 18.13636364],0
d3,1,0.648788,0.207431,[25 25] ; [19 23],[23.91304348 26.08695652] ; [20.08695652 21.91304348],0
p8,1,0.659584,0.19403,[12 37] ; [12 30],[12.92307692 36.07692308] ; [11.07692308 30.92307692],0
v2,1,0.702604,0.145777,[16 30] ; [13 29],[15.15909091 30.84090909] ; [13.84090909 28.15909091],0
b5,1,0.713019,0.13528,[26 24] ; [24 19],[26.88172043 23.11827957] ; [23.11827957 19.88172043],0
a8,1,0.723318,0.125336,[ 3 42] ; [ 2 39],[ 2.61627907 42.38372093] ; [ 2.38372093 38.61627907],0
r1,1,0.725262,0.123507,[11 38] ; [11 32],[11.7173913 37.2826087] ; [10.2826087 32.7173913],0
s6,1,0.77617,0.080834,[15 34] ; [12 31],[14.38043478 34.61956522] ; [12.61956522 30.38043478],0
p6,1,0.8502,0.035669,[ 5 42] ; [ 5 37],[ 5.28089888 41.71910112] ; [ 4.71910112 37.28089888],0
p9,1,0.893377,0.017965,[25 23] ; [23 20],[25.31868132 22.68131868] ; [22.68131868 20.31868132],0
u2,1,0.908489,0.013212,[ 9 14] ; [ 9 15],[ 8.80851064 14.19148936] ; [ 9.19148936 14.80851064],0
p4,1,0.911516,0.012349,[14 34] ; [13 30],[14.24175824 33.75824176] ; [12.75824176 30.24175824],0
s4,1,0.927488,0.008282,[ 6 43] ; [ 5 38],[ 5.85869565 43.14130435] ; [ 5.14130435 37.85869565],0
d4,1,0.940643,0.005545,[30 19] ; [26 17],[29.82608696 19.17391304] ; [26.17391304 16.82608696],0
