Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,44.349525,[103  25] ; [ 77 104],[74.5631068 53.4368932] ; [105.4368932  75.5631068],1
s3,1,0.765902,0.088649,[77 51] ; [107  76],[75.72990354 52.27009646] ; [108.27009646  74.72990354],0
a6,1,0.804161,0.061487,[85 42] ; [120  63],[83.98387097 43.01612903] ; [121.01612903  61.98387097],0
s6,1,0.809276,0.058255,[94 31] ; [136  42],[94.88448845 30.11551155] ; [135.11551155  42.88448845],0
a4,1,0.809284,0.05825,[62 67] ; [90 92],[63.04823151 65.95176849] ; [88.95176849 93.04823151],0
s2,1,0.832057,0.044971,[75 54] ; [108  74],[75.90675241 53.09324759] ; [107.09324759  74.90675241],0
d2,1,0.833129,0.04439,[68 60] ; [95 88],[67.08681672 60.91318328] ; [95.91318328 87.08681672],0
b2,1,0.853158,0.034258,[37 43] ; [53 65],[36.36363636 43.63636364] ; [53.63636364 64.36363636],0
b3,1,0.853158,0.034258,[37 43] ; [53 65],[36.36363636 43.63636364] ; [53.63636364 64.36363636],0
r1,1,0.897571,0.016572,[105  24] ; [150  33],[105.43269231  23.56730769] ; [149.56730769  33.43269231],0
n3,1,0.907338,0.013548,[13  5] ; [29 12],[12.81355932  5.18644068] ; [29.18644068 11.81355932],0
u2,1,0.923208,0.009292,[18 12] ; [33 23],[17.79069767 12.20930233] ; [33.20930233 22.79069767],0
a8,1,0.929879,0.007744,[17 97] ; [ 26 144],[17.26056338 96.73943662] ; [ 25.73943662 144.26056338],0
b5,1,0.940659,0.005542,[77 52] ; [110  73],[77.31730769 51.68269231] ; [109.68269231  73.31730769],0
