Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,1e-06,23.862854,[  9 100] ; [15 19],[18.29370629 90.70629371] ; [ 5.70629371 28.29370629],1
a3,1,0.329287,0.951701,[71 38] ; [19 15],[68.6013986 40.3986014] ; [21.3986014 12.6013986],0
a7,1,0.330465,0.947074,[77 32] ; [21 13],[74.6993007 34.3006993] ; [23.3006993 10.6993007],0
p10,1,0.364728,0.821549,[67 41] ; [24 10],[69.21126761 38.78873239] ; [21.78873239 12.21126761],0
r2,1,0.367533,0.81199,[98 10] ; [29  5],[96.5915493 11.4084507] ; [30.4084507  3.5915493],0
p9,1,0.375598,0.785059,[74 34] ; [26  8],[76.05633803 31.94366197] ; [23.94366197 10.05633803],0
n2,1,0.397827,0.714885,[27 11] ; [10  2],[28.12  9.88] ; [8.88 3.12],0
u1,1,0.416495,0.660185,[  8 101] ; [ 4 30],[ 9.14685315 99.85314685] ; [ 2.85314685 31.14685315],0
a4,1,0.442162,0.590666,[37 72] ; [14 20],[38.87412587 70.12587413] ; [12.12587413 21.87412587],0
v2,1,0.452497,0.564389,[44 56] ; [17 16],[45.86466165 54.13533835] ; [15.13533835 17.86466165],0
p1,1,0.495197,0.465215,[  6 102] ; [ 3 31],[  6.84507042 101.15492958] ; [ 2.15492958 31.84507042],0
p11,1,0.514843,0.424212,[67 42] ; [23 11],[68.6013986 40.3986014] ; [21.3986014 12.6013986],0
d3,1,0.539728,0.376044,[69 39] ; [23 10],[70.46808511 37.53191489] ; [21.53191489 11.46808511],0
d1,1,0.542072,0.371713,[48 61] ; [17 17],[49.54545455 59.45454545] ; [15.45454545 18.54545455],0
n3,1,0.573729,0.316484,[27  9] ; [8 4],[26.25  9.75] ; [8.75 3.25],0
a6,1,0.604525,0.268225,[75 33] ; [22 12],[73.77464789 34.22535211] ; [23.22535211 10.77464789],0
a8,1,0.608799,0.261928,[10 93] ; [ 2 28],[ 9.29323308 93.70676692] ; [ 2.70676692 27.29323308],0
d2,1,0.664572,0.188017,[40 68] ; [14 20],[41.07042254 66.92957746] ; [12.92957746 21.07042254],0
r3,1,0.716516,0.131856,[97 12] ; [31  3],[97.56643357 11.43356643] ; [30.43356643  3.56643357],0
n4,1,0.729214,0.119834,[54 55] ; [18 16],[54.88111888 54.11888112] ; [17.11888112 16.88111888],0
u2,1,0.737392,0.112432,[28  9] ; [12  3],[28.46153846  8.53846154] ; [11.53846154  3.46153846],0
p5,1,0.768557,0.08659,[  5 103] ; [ 2 32],[  5.32394366 102.67605634] ; [ 1.67605634 32.32394366],0
b4,1,0.768895,0.086331,[61 48] ; [20 14],[61.74125874 47.25874126] ; [19.25874126 14.74125874],0
a2,1,0.802188,0.062758,[18 91] ; [ 5 29],[17.53146853 91.46853147] ; [ 5.46853147 28.53146853],0
v3,1,0.814208,0.055226,[28 70] ; [ 9 25],[27.46969697 70.53030303] ; [ 9.53030303 24.46969697],0
s3,1,0.85864,0.031722,[57 51] ; [18 15],[57.44680851 50.55319149] ; [17.55319149 15.44680851],0
r4,1,0.865307,0.028772,[88 21] ; [27  7],[87.65734266 21.34265734] ; [27.34265734  6.65734266],0
d4,1,0.963387,0.002107,[83 25] ; [26  8],[82.90140845 25.09859155] ; [26.09859155  7.90140845],0
p12,1,0.966459,0.001768,[  3 104] ; [ 1 33],[  3.03546099 103.96453901] ; [ 0.96453901 33.03546099],0
