Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.003654,8.448026,[ 7 34] ; [8 6],[11.18181818 29.81818182] ; [ 3.81818182 10.18181818],0
b3,1,0.245952,1.346154,[ 4 22] ; [3 6],[ 5.2 20.8] ; [1.8 7.2],0
b2,1,0.245952,1.346154,[ 4 22] ; [3 6],[ 5.2 20.8] ; [1.8 7.2],0
a7,1,0.246219,1.344632,[19 22] ; [9 5],[20.87272727 20.12727273] ; [7.12727273 6.87272727],0
a5,1,0.246219,1.344632,[19 22] ; [9 5],[20.87272727 20.12727273] ; [7.12727273 6.87272727],0
v4,1,0.255723,1.291765,[29 11] ; [6 5],[27.45098039 12.54901961] ; [7.54901961 3.45098039],0
n2,1,0.269007,1.221805,[12  6] ; [7 1],[13.15384615  4.84615385] ; [5.84615385 2.15384615],0
p5,1,0.273218,1.200521,[ 4 36] ; [ 3 11],[ 5.18518519 34.81481481] ; [ 1.81481481 12.18518519],0
a3,1,0.281604,1.159334,[22 18] ; [10  4],[23.7037037 16.2962963] ; [8.2962963 5.7037037],0
p6,1,0.299228,1.077632,[13 25] ; [7 7],[14.61538462 23.38461538] ; [5.38461538 8.61538462],0
v3,1,0.353076,0.862369,[ 7 34] ; [ 4 10],[ 8.2 32.8] ; [ 2.8 11.2],0
p4,1,0.412646,0.671165,[25 15] ; [7 7],[23.7037037 16.2962963] ; [8.2962963 5.7037037],0
p1,1,0.41692,0.65898,[ 1 40] ; [ 1 13],[ 1.49090909 39.50909091] ; [ 0.50909091 13.49090909],0
p8,1,0.480472,0.497793,[21 18] ; [6 8],[19.86792453 19.13207547] ; [7.13207547 6.86792453],0
p2,1,0.486577,0.484087,[30  9] ; [12  2],[30.90566038  8.09433962] ; [11.09433962  2.90566038],0
s2,1,0.530969,0.392537,[18 23] ; [7 6],[18.98148148 22.01851852] ; [6.01851852 6.98148148],0
b5,1,0.558556,0.34221,[27 14] ; [8 6],[26.09090909 14.90909091] ; [8.90909091 5.09090909],0
n4,1,0.578158,0.309222,[24 17] ; [7 7],[23.10909091 17.89090909] ; [7.89090909 6.10909091],0
a6,1,0.578158,0.309222,[24 17] ; [7 7],[23.10909091 17.89090909] ; [7.89090909 6.10909091],0
u3,1,0.651291,0.204276,[ 7 12] ; [1 3],[ 6.60869565 12.39130435] ; [1.39130435 2.60869565],0
s8,1,0.664086,0.188599,[12 29] ; [ 3 10],[11.38888889 29.61111111] ; [3.61111111 9.38888889],0
s4,1,0.688769,0.160421,[11 30] ; [ 3 11],[10.43636364 30.56363636] ; [ 3.56363636 10.43636364],0
p9,1,0.701105,0.147325,[27 14] ; [10  4],[27.58181818 13.41818182] ; [9.41818182 4.58181818],0
s1,1,0.769017,0.086237,[ 4 37] ; [ 1 13],[ 3.72727273 37.27272727] ; [ 1.27272727 12.72727273],0
p11,1,0.782642,0.076108,[28 13] ; [9 5],[27.58181818 13.41818182] ; [9.41818182 4.58181818],0
n6,1,0.809563,0.058076,[20 20] ; [7 6],[20.37735849 19.62264151] ; [6.62264151 6.37735849],0
r2,1,0.85183,0.034888,[21 17] ; [7 5],[21.28 16.72] ; [6.72 5.28],0
n5,1,0.90285,0.014899,[26 15] ; [8 5],[25.81481481 15.18518519] ; [8.18518519 4.81481481],0
v1,1,0.905036,0.014233,[16 23] ; [6 8],[16.18867925 22.81132075] ; [5.81132075 8.18867925],0
a8,1,0.924303,0.009028,[ 3 37] ; [ 1 11],[ 3.07692308 36.92307692] ; [ 0.92307692 11.07692308],0
r3,1,0.958285,0.002736,[27 14] ; [8 4],[27.0754717 13.9245283] ; [7.9245283 4.0754717],0
s6,1,0.990568,0.00014,[22 19] ; [7 6],[22.01851852 18.98148148] ; [6.98148148 6.01851852],0
