Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.614607,[33  6] ; [ 8 22],[23.17391304 15.82608696] ; [17.82608696 12.17391304],1
d2,1,0.639371,0.219566,[16 23] ; [14 16],[16.95652174 22.04347826] ; [13.04347826 16.95652174],0
p4,1,0.659765,0.193809,[15 23] ; [13 16],[15.88059701 22.11940299] ; [12.11940299 16.88059701],0
s2,1,0.660426,0.193007,[15 24] ; [10 20],[14.13043478 24.86956522] ; [10.86956522 19.13043478],0
p1,1,0.73593,0.113736,[ 3 36] ; [ 3 27],[ 3.39130435 35.60869565] ; [ 2.60869565 27.39130435],0
n2,1,0.739332,0.110714,[12  3] ; [12  4],[11.61290323  3.38709677] ; [12.38709677  3.61290323],0
p7,1,0.741133,0.109134,[17 20] ; [15 15],[17.67164179 19.32835821] ; [14.32835821 15.67164179],0
s4,1,0.778265,0.079288,[ 8 31] ; [ 7 23],[ 8.47826087 30.52173913] ; [ 6.52173913 23.47826087],0
p6,1,0.794679,0.067725,[ 8 28] ; [ 7 21],[ 8.4375 27.5625] ; [ 6.5625 21.4375],0
b3,1,0.906523,0.013789,[ 8 14] ; [ 8 13],[ 8.18604651 13.81395349] ; [ 7.81395349 13.18604651],0
b2,1,0.906523,0.013789,[ 8 14] ; [ 8 13],[ 8.18604651 13.81395349] ; [ 7.81395349 13.18604651],0
n3,1,0.919347,0.010253,[9 5] ; [10  6],[8.86666667 5.13333333] ; [10.13333333  5.86666667],0
p9,1,0.941267,0.005428,[20 18] ; [15 14],[19.85074627 18.14925373] ; [15.14925373 13.85074627],0
