Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,38.302326,[18 36] ; [104  25],[36. 18.] ; [86. 43.],1
n2,1,0.849785,0.03587,[13  7] ; [31 15],[13.33333333  6.66666667] ; [30.66666667 15.33333333],0
s2,1,0.859966,0.031123,[21 33] ; [48 80],[20.47252747 33.52747253] ; [48.52747253 79.47252747],0
n1,1,0.865036,0.028889,[ 8 12] ; [17 28],[ 7.69230769 12.30769231] ; [17.30769231 27.69230769],0
u4,1,0.883548,0.021454,[ 1 53] ; [  2 127],[ 0.8852459 53.1147541] ; [  2.1147541 126.8852459],0
v1,1,0.915179,0.011344,[20 33] ; [49 78],[20.31666667 32.68333333] ; [48.68333333 78.31666667],0
r2,1,0.924594,0.008958,[44  9] ; [107  21],[44.21546961  8.78453039] ; [106.78453039  21.21546961],0
b1,1,0.932215,0.007235,[28 26] ; [66 63],[27.73770492 26.26229508] ; [66.26229508 62.73770492],0
v4,1,0.955866,0.003063,[44  9] ; [105  22],[43.87222222  9.12777778] ; [105.12777778  21.87222222],0
p3,1,0.982452,0.000484,[20 34] ; [48 81],[20.06557377 33.93442623] ; [47.93442623 81.06557377],0
s4,1,0.99293,7.9e-05,[11 43] ; [ 26 102],[10.97802198 43.02197802] ; [ 26.02197802 101.97802198],0
n3,1,0.993093,7.5e-05,[11  8] ; [26 19],[10.984375  8.015625] ; [26.015625 18.984375],0
