Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3.6e-05,17.062562,[58  5] ; [37 24],[48.26612903 14.73387097] ; [46.73387097 14.26612903],1
s3,1,0.157628,1.996833,[24 39] ; [16 45],[20.32258065 42.67741935] ; [19.67741935 41.32258065],0
p3,1,0.158569,1.987822,[22 42] ; [14 47],[18.432 45.568] ; [17.568 43.432],0
d5,1,0.210597,1.567318,[45 19] ; [37 25],[41.65079365 22.34920635] ; [40.34920635 21.65079365],0
r2,1,0.249126,1.328196,[55  9] ; [46 13],[52.55284553 11.44715447] ; [48.44715447 10.55284553],0
p6,1,0.257557,1.281843,[12 51] ; [ 7 53],[ 9.73170732 53.26829268] ; [ 9.26829268 50.73170732],0
d1,1,0.349025,0.876999,[29 35] ; [23 39],[26.41269841 37.58730159] ; [25.58730159 36.41269841],0
n6,1,0.399872,0.708712,[41 23] ; [34 26],[38.70967742 25.29032258] ; [36.29032258 23.70967742],0
s4,1,0.427941,0.628404,[ 9 54] ; [ 6 56],[ 7.56 55.44] ; [ 7.44 54.56],0
n4,1,0.441918,0.591298,[40 24] ; [34 27],[37.888 26.112] ; [36.112 24.888],0
d4,1,0.480418,0.497914,[41 22] ; [44 18],[42.84 20.16] ; [42.16 19.84],0
s2,1,0.513901,0.426117,[15 47] ; [12 50],[13.5 48.5] ; [13.5 48.5],0
n5,1,0.514124,0.425665,[33 31] ; [35 26],[34.816 29.184] ; [33.184 27.816],0
v2,1,0.544223,0.36777,[25 37] ; [21 39],[23.37704918 38.62295082] ; [22.62295082 37.37704918],0
s6,1,0.581288,0.304157,[24 40] ; [20 41],[22.528 41.472] ; [21.472 39.528],0
v3,1,0.591255,0.288388,[16 46] ; [13 47],[14.73770492 47.26229508] ; [14.26229508 45.73770492],0
b5,1,0.601605,0.272582,[36 28] ; [32 30],[34.53968254 29.46031746] ; [33.46031746 28.53968254],0
a4,1,0.610726,0.259119,[18 45] ; [20 41],[19.30645161 43.69354839] ; [18.69354839 42.30645161],0
b4,1,0.610914,0.258846,[40 24] ; [36 26],[38.6031746 25.3968254] ; [37.3968254 24.6031746],0
a2,1,0.640331,0.218309,[ 9 55] ; [ 7 55],[ 8.12698413 55.87301587] ; [ 7.87301587 54.12698413],0
n1,1,0.652524,0.202733,[ 6 17] ; [ 8 17],[ 6.70833333 16.29166667] ; [ 7.29166667 17.70833333],0
s5,1,0.662905,0.190014,[10 53] ; [ 8 53],[ 9.14516129 53.85483871] ; [ 8.85483871 52.14516129],0
u3,1,0.703234,0.14513,[14 15] ; [13 17],[13.27118644 15.72881356] ; [13.72881356 16.27118644],0
p1,1,0.710821,0.137459,[ 5 59] ; [ 6 56],[ 5.58730159 58.41269841] ; [ 5.41269841 56.58730159],0
u1,1,0.794455,0.067876,[ 6 58] ; [ 5 57],[ 5.58730159 58.41269841] ; [ 5.41269841 56.58730159],0
a3,1,0.802797,0.062364,[35 29] ; [32 29],[34.304 29.696] ; [32.696 28.304],0
b1,1,0.851744,0.034929,[33 31] ; [33 29],[33.52380952 30.47619048] ; [32.47619048 29.52380952],0
d2,1,0.852821,0.034418,[31 32] ; [29 32],[30.48387097 32.51612903] ; [29.51612903 31.48387097],0
u2,1,0.872041,0.025942,[11 17] ; [12 17],[11.29824561 16.70175439] ; [11.70175439 17.29824561],0
a8,1,0.980018,0.000627,[ 4 54] ; [ 4 55],[ 3.96581197 54.03418803] ; [ 4.03418803 54.96581197],0
p12,1,0.981945,0.000512,[ 1 63] ; [ 1 61],[ 1.01587302 62.98412698] ; [ 0.98412698 61.01587302],0
a5,1,0.986398,0.000291,[35 29] ; [34 28],[35.04761905 28.95238095] ; [33.95238095 28.04761905],0
