Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,21.682066,[14 63] ; [11  3],[21.15384615 55.84615385] ; [ 3.84615385 10.15384615],1
v4,1,0.153814,2.034014,[52 26] ; [12  2],[54.26086957 23.73913043] ; [9.73913043 4.26086957],0
d2,1,0.263762,1.248902,[37 40] ; [9 5],[38.92307692 38.07692308] ; [7.07692308 6.92307692],0
s4,1,0.343607,0.896926,[14 65] ; [ 4 10],[15.29032258 63.70967742] ; [ 2.70967742 11.29032258],0
d1,1,0.424074,0.638997,[36 43] ; [8 6],[37.37634409 41.62365591] ; [6.62365591 7.37634409],0
p10,1,0.430174,0.622354,[24 51] ; [6 8],[25.28089888 49.71910112] ; [4.71910112 9.28089888],0
b1,1,0.440912,0.593907,[42 37] ; [9 5],[43.32258065 35.67741935] ; [7.67741935 6.32258065],0
n4,1,0.469299,0.523626,[42 36] ; [9 5],[43.23913043 34.76086957] ; [7.76086957 6.23913043],0
a1,1,0.485442,0.486613,[11 68] ; [ 1 13],[10.19354839 68.80645161] ; [ 1.80645161 12.19354839],0
p4,1,0.517206,0.419462,[16 61] ; [ 4 10],[16.92307692 60.07692308] ; [ 3.07692308 10.92307692],0
p1,1,0.526876,0.400413,[ 7 72] ; [ 2 12],[ 7.64516129 71.35483871] ; [ 1.35483871 12.64516129],0
d4,1,0.537496,0.380201,[55 23] ; [11  3],[55.95652174 22.04347826] ; [10.04347826  3.95652174],0
a5,1,0.617911,0.248814,[51 28] ; [10  4],[51.8172043 27.1827957] ; [9.1827957 4.8172043],0
a8,1,0.633471,0.227383,[ 8 66] ; [ 2 11],[ 8.50574713 65.49425287] ; [ 1.49425287 11.50574713],0
b3,1,0.749311,0.102111,[19 30] ; [4 5],[19.43103448 29.56896552] ; [3.56896552 5.43103448],0
b2,1,0.749311,0.102111,[19 30] ; [4 5],[19.43103448 29.56896552] ; [3.56896552 5.43103448],0
u1,1,0.757347,0.09546,[ 9 70] ; [ 2 12],[ 9.34408602 69.65591398] ; [ 1.65591398 12.34408602],0
s1,1,0.770501,0.0851,[ 9 69] ; [ 2 12],[ 9.32608696 68.67391304] ; [ 1.67391304 12.32608696],0
a7,1,0.776074,0.080906,[47 31] ; [9 5],[47.47826087 30.52173913] ; [8.52173913 5.47826087],0
d3,1,0.790561,0.070534,[42 36] ; [7 7],[41.54347826 36.45652174] ; [7.45652174 6.54347826],0
a3,1,0.812103,0.056508,[52 25] ; [9 5],[51.61538462 25.38461538] ; [9.38461538 4.61538462],0
b4,1,0.826978,0.047777,[37 42] ; [7 7],[37.37634409 41.62365591] ; [6.62365591 7.37634409],0
u3,1,0.854,0.033862,[12 15] ; [2 3],[11.8125 15.1875] ; [2.1875 2.8125],0
n5,1,0.88894,0.019501,[43 35] ; [8 6],[43.23913043 34.76086957] ; [7.76086957 6.23913043],0
u2,1,0.899963,0.015802,[10 17] ; [2 3],[10.125 16.875] ; [1.875 3.125],0
n1,1,0.926721,0.008459,[17 21] ; [3 4],[16.88888889 21.11111111] ; [3.11111111 3.88888889],0
a4,1,0.928241,0.008111,[34 43] ; [6 8],[33.84615385 43.15384615] ; [6.15384615 7.84615385],0
d5,1,0.97764,0.000786,[56 22] ; [10  4],[55.95652174 22.04347826] ; [10.04347826  3.95652174],0
v3,1,0.982117,0.000502,[23 51] ; [4 9],[22.96551724 51.03448276] ; [4.03448276 8.96551724],0
a2,1,0.993945,5.8e-05,[17 62] ; [ 3 11],[16.98924731 62.01075269] ; [ 3.01075269 10.98924731],0
