Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.5e-05,17.150219,[62 13] ; [11 16],[53.67647059 21.32352941] ; [19.32352941  7.67647059],1
a8,1,0.335357,0.928102,[11 59] ; [ 2 23],[ 9.57894737 60.42105263] ; [ 3.42105263 21.57894737],0
s5,1,0.361791,0.831668,[25 49] ; [ 6 19],[23.17171717 50.82828283] ; [ 7.82828283 17.17171717],0
u2,1,0.382797,0.761701,[10 13] ; [6 4],[11.15151515 11.84848485] ; [4.84848485 5.15151515],0
b2,1,0.3835,0.759452,[25 23] ; [5 8],[23.60655738 24.39344262] ; [6.39344262 6.60655738],0
b3,1,0.3835,0.759452,[25 23] ; [5 8],[23.60655738 24.39344262] ; [6.39344262 6.60655738],0
b4,1,0.390673,0.736847,[46 29] ; [14 13],[44.11764706 30.88235294] ; [15.88235294 11.11764706],0
r3,1,0.401279,0.704489,[64 10] ; [25  2],[65.20792079  8.79207921] ; [23.79207921  3.20792079],0
s8,1,0.419591,0.65146,[28 45] ; [ 8 19],[26.28 46.72] ; [ 9.72 17.28],0
p1,1,0.431591,0.618538,[13 61] ; [ 3 24],[11.72277228 62.27722772] ; [ 4.27722772 22.72277228],0
p8,1,0.480396,0.497964,[43 29] ; [14 13],[41.45454545 30.54545455] ; [15.54545455 11.45454545],0
p7,1,0.480724,0.49722,[38 36] ; [16 11],[39.56435644 34.43564356] ; [14.43564356 12.56435644],0
a3,1,0.484814,0.488014,[52 22] ; [17 10],[50.55445545 23.44554455] ; [18.44554455  8.55445545],0
s4,1,0.485164,0.487234,[12 62] ; [ 6 21],[13.18811881 60.81188119] ; [ 4.81188119 22.18811881],0
a4,1,0.530367,0.393689,[24 50] ; [ 7 20],[22.71287129 51.28712871] ; [ 8.28712871 18.71287129],0
s2,1,0.538933,0.377521,[36 37] ; [11 15],[34.65656566 38.34343434] ; [12.34343434 13.65656566],0
v3,1,0.557246,0.344495,[32 43] ; [ 9 16],[30.75 44.25] ; [10.25 14.75],0
p3,1,0.598888,0.276677,[34 40] ; [14 13],[35.16831683 38.83168317] ; [12.83168317 14.16831683],0
p5,1,0.612621,0.256375,[11 62] ; [ 3 24],[10.22 62.78] ; [ 3.78 23.22],0
s6,1,0.654078,0.200797,[43 30] ; [14 12],[42.03030303 30.96969697] ; [14.96969697 11.03030303],0
u3,1,0.678187,0.172174,[12 11] ; [6 4],[12.54545455 10.45454545] ; [5.45454545 4.54545455],0
a1,1,0.694498,0.154259,[ 4 71] ; [ 2 25],[ 4.41176471 70.58823529] ; [ 1.58823529 25.41176471],0
r2,1,0.706847,0.141446,[66  9] ; [23  4],[65.44117647  9.55882353] ; [23.55882353  3.44117647],0
s1,1,0.707858,0.140426,[ 4 68] ; [ 1 26],[ 3.63636364 68.36363636] ; [ 1.36363636 25.63636364],0
d1,1,0.762237,0.091533,[ 7 68] ; [ 2 25],[ 6.61764706 68.38235294] ; [ 2.38235294 24.61764706],0
v4,1,0.789949,0.070957,[68  7] ; [24  3],[67.64705882  7.35294118] ; [24.35294118  2.64705882],0
n2,1,0.82215,0.050526,[16  3] ; [4 1],[15.83333333  3.16666667] ; [4.16666667 0.83333333],0
p4,1,0.849454,0.03603,[39 34] ; [15 12],[39.42 33.58] ; [14.58 12.42],0
n3,1,0.904552,0.014379,[14  4] ; [3 1],[13.90909091  4.09090909] ; [3.09090909 0.90909091],0
p2,1,0.911887,0.012245,[54 20] ; [20  7],[54.21782178 19.78217822] ; [19.78217822  7.21782178],0
a6,1,0.940365,0.005597,[55 20] ; [20  7],[55.14705882 19.85294118] ; [19.85294118  7.14705882],0
s3,1,0.956575,0.002965,[41 32] ; [15 12],[40.88 32.12] ; [15.12 11.88],0
p12,1,0.98277,0.000466,[ 8 65] ; [ 3 24],[ 8.03 64.97] ; [ 2.97 24.03],0
d4,1,0.989459,0.000175,[39 36] ; [14 13],[38.97058824 36.02941176] ; [14.02941176 12.97058824],0
d3,1,0.989459,0.000175,[36 39] ; [13 14],[36.02941176 38.97058824] ; [12.97058824 14.02941176],0
