Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1e-06,25.000879,[25 19] ; [ 4 44],[13.86956522 30.13043478] ; [15.13043478 32.86956522],1
b3,1,0.236858,1.399197,[13 18] ; [ 7 19],[10.87719298 20.12280702] ; [ 9.12280702 16.87719298],0
r2,1,0.243287,1.361449,[26 15] ; [24 23],[23.29545455 17.70454545] ; [26.70454545 20.29545455],0
s4,1,0.283454,1.150455,[ 8 37] ; [13 35],[10.16129032 34.83870968] ; [10.83870968 37.16129032],0
v4,1,0.319265,0.991953,[23 20] ; [30 17],[25.32222222 17.67777778] ; [27.67777778 19.32222222],0
u2,1,0.321553,0.98262,[3 8] ; [15 19],[4.4 6.6] ; [13.6 20.4],0
p8,1,0.345344,0.890493,[11 33] ; [16 31],[13.05494505 30.94505495] ; [13.94505495 33.05494505],0
b1,1,0.361293,0.833395,[23 22] ; [20 28],[20.80645161 24.19354839] ; [22.19354839 25.80645161],0
u3,1,0.402767,0.700049,[4 7] ; [ 8 26],[2.93333333 8.06666667] ; [ 9.06666667 24.93333333],0
a1,1,0.403433,0.69807,[ 5 40] ; [ 3 45],[ 3.87096774 41.12903226] ; [ 4.12903226 43.87096774],0
s8,1,0.448506,0.574426,[ 8 36] ; [ 6 42],[ 6.69565217 37.30434783] ; [ 7.30434783 40.69565217],0
s5,1,0.602955,0.270562,[ 7 35] ; [ 6 41],[ 6.13483146 35.86516854] ; [ 6.86516854 40.13483146],0
v3,1,0.64943,0.206619,[ 7 38] ; [ 9 38],[ 7.82608696 37.17391304] ; [ 8.17391304 38.82608696],0
r1,1,0.668912,0.182877,[14 31] ; [13 35],[13.06451613 31.93548387] ; [13.93548387 34.06451613],0
p6,1,0.674546,0.17633,[ 9 35] ; [ 8 39],[ 8.21978022 35.78021978] ; [ 8.78021978 38.21978022],0
r3,1,0.67977,0.170385,[21 22] ; [25 22],[21.97777778 21.02222222] ; [24.02222222 22.97777778],0
n6,1,0.683966,0.165696,[26 17] ; [27 21],[25.04395604 17.95604396] ; [27.95604396 20.04395604],0
s1,1,0.699651,0.148835,[ 2 43] ; [ 3 45],[ 2.41935484 42.58064516] ; [ 2.58064516 45.41935484],0
n3,1,0.708487,0.139793,[ 9 10] ; [10 14],[ 8.39534884 10.60465116] ; [10.60465116 13.39534884],0
p7,1,0.764178,0.089999,[16 28] ; [15 30],[15.3258427 28.6741573] ; [15.6741573 29.3258427],0
s2,1,0.793326,0.068641,[13 31] ; [13 35],[12.43478261 31.56521739] ; [13.56521739 34.43478261],0
v2,1,0.916676,0.010946,[12 32] ; [13 33],[12.22222222 31.77777778] ; [12.77777778 33.22222222],0
p11,1,0.925302,0.008791,[22 23] ; [23 25],[21.77419355 23.22580645] ; [23.22580645 24.77419355],0
p1,1,0.941939,0.005305,[ 5 40] ; [ 5 42],[ 4.89130435 40.10869565] ; [ 5.10869565 41.89130435],0
n2,1,1.0,0.0,[10 10] ; [12 12],[10. 10.] ; [12. 12.],0
