Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000109,14.972375,[ 9 23] ; [39 16],[17.65517241 14.34482759] ; [30.34482759 24.65517241],1
s3,1,0.63341,0.227465,[11 18] ; [18 37],[10.01190476 18.98809524] ; [18.98809524 36.01190476],0
p4,1,0.651534,0.203971,[12 20] ; [18 37],[11.03448276 20.96551724] ; [18.96551724 36.03448276],0
u3,1,0.675022,0.175784,[ 6 13] ; [ 7 20],[ 5.36956522 13.63043478] ; [ 7.63043478 19.36956522],0
v1,1,0.705496,0.142817,[11 20] ; [17 37],[10.21176471 20.78823529] ; [17.78823529 36.21176471],0
p9,1,0.707953,0.14033,[18 14] ; [32 21],[18.82352941 13.17647059] ; [31.17647059 21.82352941],0
a4,1,0.733351,0.116057,[ 6 26] ; [12 43],[ 6.62068966 25.37931034] ; [11.37931034 43.62068966],0
u2,1,0.735785,0.113866,[ 9 10] ; [11 15],[ 8.44444444 10.55555556] ; [11.55555556 14.44444444],0
b1,1,0.769596,0.085793,[17 15] ; [31 24],[17.65517241 14.34482759] ; [30.34482759 24.65517241],0
r2,1,0.769634,0.085763,[14 16] ; [27 27],[14.64285714 15.35714286] ; [26.35714286 27.64285714],0
s2,1,0.816695,0.05373,[ 8 24] ; [15 40],[ 8.45977011 23.54022989] ; [14.54022989 40.45977011],0
b5,1,0.84191,0.039781,[17 15] ; [28 27],[16.55172414 15.44827586] ; [28.44827586 26.55172414],0
p1,1,0.885884,0.020596,[ 2 29] ; [ 4 51],[ 2.1627907 28.8372093] ; [ 3.8372093 51.1627907],0
p3,1,0.886031,0.020543,[ 8 24] ; [13 42],[ 7.72413793 24.27586207] ; [13.27586207 41.72413793],0
p12,1,0.887572,0.019987,[ 1 31] ; [ 2 52],[ 1.11627907 30.88372093] ; [ 1.88372093 52.11627907],0
u1,1,0.899692,0.015889,[ 1 31] ; [ 2 53],[ 1.10344828 30.89655172] ; [ 1.89655172 53.10344828],0
n3,1,0.918928,0.01036,[7 6] ; [15 12],[7.15 5.85] ; [14.85 12.15],0
p11,1,0.934819,0.006688,[16 16] ; [28 27],[16.18390805 15.81609195] ; [27.81609195 27.18390805],0
d5,1,0.954285,0.003286,[13 19] ; [22 33],[12.87356322 19.12643678] ; [22.12643678 32.87356322],0
s1,1,0.964729,0.001955,[ 3 29] ; [ 5 50],[ 2.94252874 29.05747126] ; [ 5.05747126 49.94252874],0
