Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.4e-05,18.899937,[89 16] ; [11 14],[80.76923077 24.23076923] ; [19.23076923  5.76923077],1
s6,1,0.241991,1.368957,[90 12] ; [19  5],[88.23809524 13.76190476] ; [20.76190476  3.23809524],0
v1,1,0.259705,1.270328,[61 41] ; [18  7],[63.4488189 38.5511811] ; [15.5511811  9.4488189],0
b4,1,0.265838,1.238095,[50 55] ; [15 10],[52.5 52.5] ; [12.5 12.5],0
d3,1,0.304314,1.055195,[54 51] ; [10 15],[51.69230769 53.30769231] ; [12.30769231 12.69230769],0
a2,1,0.314721,1.010761,[11 94] ; [ 1 24],[ 9.69230769 95.30769231] ; [ 2.30769231 22.69230769],0
v4,1,0.334978,0.929559,[98  7] ; [21  3],[96.86046512  8.13953488] ; [22.13953488  1.86046512],0
s3,1,0.346343,0.88681,[89 16] ; [23  2],[90.46153846 14.53846154] ; [21.53846154  3.46153846],0
u3,1,0.36671,0.814783,[10  9] ; [7 3],[11.13793103  7.86206897] ; [5.86206897 4.13793103],0
b5,1,0.379007,0.773921,[48 57] ; [ 9 16],[46.03846154 58.96153846] ; [10.96153846 14.03846154],0
b2,1,0.433364,0.613792,[33 46] ; [ 5 11],[31.6 47.4] ; [6.4 9.6],0
b3,1,0.433364,0.613792,[33 46] ; [ 5 11],[31.6 47.4] ; [6.4 9.6],0
n2,1,0.571091,0.32086,[19  7] ; [9 2],[19.67567568  6.32432432] ; [8.32432432 2.67567568],0
p4,1,0.586837,0.295311,[65 40] ; [14 11],[63.80769231 41.19230769] ; [15.19230769  9.80769231],0
n1,1,0.590359,0.289783,[13 13] ; [6 4],[13.72222222 12.27777778] ; [5.27777778 4.72222222],0
n3,1,0.630202,0.231786,[17 10] ; [6 5],[16.34210526 10.65789474] ; [6.65789474 4.34210526],0
s4,1,0.757564,0.095284,[26 78] ; [ 7 18],[26.60465116 77.39534884] ; [ 6.39534884 18.60465116],0
a6,1,0.759718,0.093545,[37 68] ; [ 8 17],[36.34615385 68.65384615] ; [ 8.65384615 16.34615385],0
s1,1,0.762693,0.091172,[ 6 99] ; [ 1 23],[ 5.69767442 99.30232558] ; [ 1.30232558 22.69767442],0
v2,1,0.812432,0.056306,[56 46] ; [12 11],[55.488 46.512] ; [12.512 10.488],0
a1,1,0.813001,0.055959,[10 95] ; [ 2 23],[ 9.69230769 95.30769231] ; [ 2.30769231 22.69230769],0
r3,1,0.813412,0.055709,[98  7] ; [23  2],[97.73076923  7.26923077] ; [23.26923077  1.73076923],0
p1,1,0.823013,0.050029,[ 7 97] ; [ 2 23],[ 7.25581395 96.74418605] ; [ 1.74418605 23.25581395],0
p12,1,0.915997,0.011126,[ 8 96] ; [ 2 22],[ 8.125 95.875] ; [ 1.875 22.125],0
