Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,8.1e-05,15.531229,[14 16] ; [14 90],[ 6.26865672 23.73134328] ; [21.73134328 82.26865672],1
a7,1,0.442668,0.589357,[24  6] ; [76 28],[22.3880597  7.6119403] ; [77.6119403 26.3880597],0
r3,1,0.450563,0.569236,[28  2] ; [93 12],[26.88888889  3.11111111] ; [94.11111111 10.88888889],0
n3,1,0.456775,0.553785,[7 2] ; [22 12],[6.06976744 2.93023256] ; [22.93023256 11.06976744],0
s2,1,0.457182,0.552784,[ 5 25] ; [12 92],[ 3.80597015 26.19402985] ; [13.19402985 90.80597015],0
n2,1,0.482948,0.492199,[4 5] ; [19 14],[4.92857143 4.07142857] ; [18.07142857 14.92857143],0
p2,1,0.551018,0.355497,[22  8] ; [71 34],[20.66666667  9.33333333] ; [72.33333333 32.66666667],0
v2,1,0.561067,0.337861,[12 16] ; [51 53],[13.36363636 14.63636364] ; [49.63636364 54.36363636],0
r2,1,0.606985,0.264589,[24  5] ; [90 14],[24.85714286  4.14285714] ; [89.14285714 14.85714286],0
p11,1,0.660549,0.192857,[21  9] ; [69 36],[20. 10.] ; [70. 35.],0
p8,1,0.74314,0.107386,[13 17] ; [42 63],[12.22222222 17.77777778] ; [42.77777778 62.22222222],0
r1,1,0.805019,0.060938,[21  9] ; [71 34],[20.44444444  9.55555556] ; [71.55555556 33.44444444],0
p1,1,0.845515,0.037964,[ 2 28] ; [ 6 99],[ 1.77777778 28.22222222] ; [ 6.22222222 98.77777778],0
b4,1,0.888886,0.01952,[17 13] ; [61 44],[17.33333333 12.66666667] ; [60.66666667 44.33333333],0
n1,1,0.914672,0.011481,[2 7] ; [ 7 27],[1.88372093 7.11627907] ; [ 7.11627907 26.88372093],0
a4,1,0.921814,0.009633,[10 20] ; [34 71],[ 9.77777778 20.22222222] ; [34.22222222 70.77777778],0
