Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,27.084194,[ 7 20] ; [68 17],[18.08035714  8.91964286] ; [56.91964286 28.08035714],1
r2,1,0.661397,0.191831,[26  1] ; [80  5],[25.55357143  1.44642857] ; [80.44642857  4.55357143],0
n4,1,0.672286,0.17894,[22  5] ; [66 19],[21.21428571  5.78571429] ; [66.78571429 18.21428571],0
b3,1,0.68204,0.167839,[8 9] ; [19 27],[7.28571429 9.71428571] ; [19.71428571 26.28571429],0
b2,1,0.68204,0.167839,[8 9] ; [19 27],[7.28571429 9.71428571] ; [19.71428571 26.28571429],0
p4,1,0.682247,0.167607,[11 16] ; [38 46],[11.91891892 15.08108108] ; [37.08108108 46.91891892],0
a3,1,0.701995,0.146405,[21  6] ; [63 22],[20.25  6.75] ; [63.75 21.25],0
n5,1,0.726871,0.122004,[20  7] ; [60 25],[19.28571429  7.71428571] ; [60.71428571 24.28571429],0
u2,1,0.736268,0.113434,[4 2] ; [13  9],[3.64285714 2.35714286] ; [13.35714286  8.64285714],0
p5,1,0.750347,0.10124,[ 2 25] ; [ 8 77],[ 2.41071429 24.58928571] ; [ 7.58928571 77.41071429],0
n2,1,0.770515,0.08509,[6 2] ; [16  7],[5.67741935 2.32258065] ; [16.32258065  6.67741935],0
s2,1,0.78189,0.07665,[13 14] ; [42 40],[13.62385321 13.37614679] ; [41.37614679 40.62385321],0
b4,1,0.788631,0.071872,[18  9] ; [59 26],[18.5625  8.4375] ; [58.4375 26.5625],0
p8,1,0.815255,0.054593,[ 7 20] ; [24 61],[ 7.47321429 19.52678571] ; [23.52678571 61.47321429],0
v1,1,0.835719,0.043003,[14 11] ; [49 35],[14.44954128 10.55045872] ; [48.55045872 35.44954128],0
n3,1,0.896446,0.01694,[5 2] ; [17  6],[5.13333333 1.86666667] ; [16.86666667  6.13333333],0
a5,1,0.907808,0.013411,[20  7] ; [62 23],[19.76785714  7.23214286] ; [62.23214286 22.76785714],0
p11,1,0.940226,0.005623,[18  9] ; [56 29],[17.83928571  9.16071429] ; [56.16071429 28.83928571],0
s4,1,0.969079,0.001503,[ 3 24] ; [ 9 74],[ 2.94545455 24.05454545] ; [ 9.05454545 73.94545455],0
s6,1,0.969395,0.001472,[18  9] ; [55 28],[17.91818182  9.08181818] ; [55.08181818 27.91818182],0
r1,1,0.988662,0.000202,[21  6] ; [66 19],[20.97321429  6.02678571] ; [66.02678571 18.97321429],0
