Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,72.484848,[272  14] ; [4 9],[264.  22.] ; [12.  1.],1
s3,1,0.053241,3.736327,[250  35] ; [9 4],[247.70134228  37.29865772] ; [11.29865772  1.70134228],0
a5,1,0.062095,3.480518,[219  67] ; [7 6],[216.17391304  69.82608696] ; [9.82608696 3.17391304],0
b4,1,0.074442,3.182262,[160 126] ; [4 9],[156.86956522 129.13043478] ; [7.13043478 5.86956522],0
d3,1,0.097413,2.747393,[211  72] ; [7 6],[208.42567568  74.57432432] ; [9.57432432 3.42567568],0
v2,1,0.097612,2.744138,[169 106] ; [5 8],[166.14583333 108.85416667] ; [7.85416667 5.14583333],0
p4,1,0.111054,2.539156,[206  79] ; [12  1],[208.48993289  76.51006711] ; [9.51006711 3.48993289],0
n3,1,0.126383,2.336382,[40 14] ; [1 2],[38.84210526 15.15789474] ; [2.15789474 0.84210526],0
b1,1,0.126406,2.336094,[115 171] ; [8 5],[117.65217391 168.34782609] ; [5.34782609 7.65217391],0
p2,1,0.174037,1.847821,[255  31] ; [10  3],[253.47826087  32.52173913] ; [11.52173913  1.47826087],0
p10,1,0.176042,1.830721,[254  31] ; [10  3],[252.48322148  32.51677852] ; [11.51677852  1.48322148],0
b2,1,0.229256,1.445474,[ 76 103] ; [2 7],[ 74.26595745 104.73404255] ; [3.73404255 5.26595745],0
b3,1,0.229256,1.445474,[ 76 103] ; [2 7],[ 74.26595745 104.73404255] ; [3.73404255 5.26595745],0
p3,1,0.230744,1.436268,[172 113] ; [10  3],[174.06040268 110.93959732] ; [7.93959732 5.06040268],0
p11,1,0.239008,1.386435,[235  51] ; [9 4],[233.39130435  52.60869565] ; [10.60869565  2.39130435],0
n1,1,0.261811,1.259158,[18 34] ; [2 1],[18.90909091 33.09090909] ; [1.09090909 1.90909091],0
s6,1,0.288955,1.124485,[244  36] ; [10  3],[242.73037543  37.26962457] ; [11.26962457  1.73037543],0
a1,1,0.318118,0.996667,[ 22 264] ; [ 2 11],[ 22.95652174 263.04347826] ; [ 1.04347826 11.95652174],0
v1,1,0.363438,0.825977,[166 116] ; [6 7],[164.42033898 117.57966102] ; [7.57966102 5.42033898],0
p5,1,0.439291,0.598134,[ 43 241] ; [ 3 10],[ 43.98653199 240.01346801] ; [ 2.01346801 10.98653199],0
n2,1,0.471875,0.517583,[44  9] ; [2 1],[43.53571429  9.46428571] ; [2.46428571 0.53571429],0
a6,1,0.476292,0.507342,[191  92] ; [10  3],[192.1722973  90.8277027] ; [8.8277027 4.1722973],0
s4,1,0.546749,0.363174,[ 66 215] ; [4 9],[ 66.9047619 214.0952381] ; [3.0952381 9.9047619],0
u2,1,0.606173,0.265786,[34 27] ; [4 2],[34.59701493 26.40298507] ; [3.40298507 2.59701493],0
p12,1,0.608981,0.261661,[ 31 255] ; [ 2 11],[ 31.56521739 254.43478261] ; [ 1.43478261 11.56521739],0
v3,1,0.636752,0.223015,[125 152] ; [5 8],[124.17241379 152.82758621] ; [5.82758621 7.17241379],0
u3,1,0.693732,0.155075,[35 25] ; [3 3],[34.54545455 25.45454545] ; [3.45454545 2.54545455],0
b5,1,0.764694,0.089594,[164 122] ; [8 5],[164.52173913 121.47826087] ; [7.47826087 5.52173913],0
p8,1,0.8145,0.055049,[189  97] ; [9 4],[189.39130435  96.60869565] ; [8.60869565 4.39130435],0
d4,1,0.86999,0.026788,[244  39] ; [11  2],[243.80067568  39.19932432] ; [11.19932432  1.80067568],0
a8,1,0.871417,0.026198,[ 50 220] ; [ 2 10],[ 49.78723404 220.21276596] ; [2.21276596 9.78723404],0
p6,1,0.940749,0.005525,[157 129] ; [7 6],[156.86956522 129.13043478] ; [7.13043478 5.86956522],0
