Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,7e-06,20.268829,[ 9 67] ; [34 42],[21.5 54.5] ; [21.5 54.5],1
s1,1,0.68601,0.163439,[ 4 73] ; [ 3 75],[ 3.47741935 73.52258065] ; [ 3.52258065 74.47741935],0
b5,1,0.693841,0.154958,[46 31] ; [49 29],[47.19354839 29.80645161] ; [47.80645161 30.19354839],0
p9,1,0.765721,0.08879,[69  8] ; [71  7],[69.5483871  7.4516129] ; [70.4516129  7.5483871],0
p1,1,0.771928,0.084015,[ 7 70] ; [ 6 71],[ 6.5 70.5] ; [ 6.5 70.5],0
p11,1,0.816789,0.053674,[57 20] ; [59 19],[57.62580645 19.37419355] ; [58.37419355 19.62580645],0
b1,1,0.82014,0.051695,[25 52] ; [24 54],[24.34193548 52.65806452] ; [24.65806452 53.34193548],0
u2,1,0.888112,0.019795,[24 11] ; [12  6],[23.77358491 11.22641509] ; [12.22641509  5.77358491],0
u3,1,0.888112,0.019795,[24 11] ; [12  6],[23.77358491 11.22641509] ; [12.22641509  5.77358491],0
p4,1,0.930379,0.007633,[35 42] ; [36 42],[35.27096774 41.72903226] ; [35.72903226 42.27096774],0
s5,1,0.957123,0.002891,[26 49] ; [25 48],[25.84459459 49.15540541] ; [25.15540541 47.84459459],0
p7,1,0.973944,0.001067,[45 30] ; [46 31],[44.90131579 30.09868421] ; [46.09868421 30.90131579],0
p5,1,0.983171,0.000445,[ 5 72] ; [ 5 73],[ 4.96774194 72.03225806] ; [ 5.03225806 72.96774194],0
a1,1,0.98505,0.000351,[ 4 73] ; [ 4 74],[ 3.97419355 73.02580645] ; [ 4.02580645 73.97419355],0
