Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,3.6e-05,17.079989,[ 8 21] ; [52 20],[17.22772277 11.77227723] ; [42.77227723 29.22772277],1
p8,1,0.242584,1.365517,[ 8 21] ; [28 42],[10.54545455 18.45454545] ; [25.45454545 44.54545455],0
p4,1,0.270506,1.214182,[12 17] ; [38 33],[14.5 14.5] ; [35.5 35.5],0
b1,1,0.271269,1.21032,[18 11] ; [36 36],[15.5049505 13.4950495] ; [38.4950495 33.5049505],0
b5,1,0.297679,1.084561,[17 12] ; [50 22],[19.23762376  9.76237624] ; [47.76237624 24.23762376],0
p2,1,0.321704,0.982005,[19  9] ; [55 16],[20.92929293  7.07070707] ; [53.07070707 17.92929293],0
d1,1,0.328691,0.954047,[13 16] ; [40 32],[15.21782178 13.78217822] ; [37.78217822 34.21782178],0
s6,1,0.330799,0.945768,[17  9] ; [52 17],[18.88421053  7.11578947] ; [50.11578947 18.88421053],0
s4,1,0.396293,0.719547,[ 4 25] ; [15 56],[ 5.51 23.49] ; [13.49 57.51],0
n3,1,0.447332,0.577404,[12  3] ; [13  6],[11.02941176  3.97058824] ; [13.97058824  5.02941176],0
s5,1,0.495985,0.463517,[ 9 18] ; [27 39],[10.4516129 16.5483871] ; [25.5483871 40.4516129],0
p9,1,0.515872,0.422139,[18 10] ; [49 20],[19.34020619  8.65979381] ; [47.65979381 21.34020619],0
a3,1,0.532222,0.390148,[18 11] ; [48 22],[19.33333333  9.66666667] ; [46.66666667 23.33333333],0
d4,1,0.576809,0.311421,[24  5] ; [56 16],[22.97029703  6.02970297] ; [57.02970297 14.97029703],0
s7,1,0.599247,0.276133,[13 13] ; [37 29],[14.13043478 11.86956522] ; [35.86956522 30.13043478],0
b2,1,0.604252,0.268631,[ 6 11] ; [ 9 23],[ 5.20408163 11.79591837] ; [ 9.79591837 22.20408163],0
b3,1,0.604252,0.268631,[ 6 11] ; [ 9 23],[ 5.20408163 11.79591837] ; [ 9.79591837 22.20408163],0
s1,1,0.609109,0.261475,[ 3 26] ; [ 5 64],[ 2.36734694 26.63265306] ; [ 5.63265306 63.36734694],0
n5,1,0.616215,0.251224,[20  8] ; [47 24],[18.94949495  9.05050505] ; [48.05050505 22.94949495],0
u2,1,0.618402,0.24812,[4 7] ; [10 12],[4.66666667 6.33333333] ; [ 9.33333333 12.66666667],0
p10,1,0.656444,0.197872,[18 10] ; [41 28],[17.03092784 10.96907216] ; [41.96907216 27.03092784],0
p12,1,0.673002,0.17811,[ 1 27] ; [ 4 67],[ 1.41414141 26.58585859] ; [ 3.58585859 67.41414141],0
n6,1,0.718527,0.129909,[18  9] ; [50 21],[18.73469388  8.26530612] ; [49.26530612 21.73469388],0
v2,1,0.755476,0.096987,[16 13] ; [41 29],[16.6969697 12.3030303] ; [40.3030303 29.6969697],0
d2,1,0.777101,0.080145,[15 14] ; [35 37],[14.35643564 14.64356436] ; [35.64356436 36.35643564],0
n1,1,0.79026,0.070742,[7 8] ; [ 8 11],[6.61764706 8.38235294] ; [ 8.38235294 10.61764706],0
p7,1,0.799325,0.064628,[15 13] ; [35 34],[14.43298969 13.56701031] ; [35.56701031 33.43298969],0
a4,1,0.825575,0.048567,[15 14] ; [35 36],[14.5 14.5] ; [35.5 35.5],0
b4,1,0.827209,0.047647,[16 13] ; [38 34],[15.5049505 13.4950495] ; [38.4950495 33.5049505],0
v3,1,0.845409,0.038017,[11 17] ; [29 41],[11.42857143 16.57142857] ; [28.57142857 41.42857143],0
n4,1,0.874618,0.024899,[19  9] ; [47 24],[18.66666667  9.33333333] ; [47.33333333 23.66666667],0
s3,1,0.880496,0.022602,[16 13] ; [38 33],[15.66 13.34] ; [38.34 32.66],0
p5,1,0.898811,0.016171,[ 3 25] ; [ 7 64],[ 2.82828283 25.17171717] ; [ 7.17171717 63.82828283],0
s8,1,0.941996,0.005294,[12 16] ; [31 40],[12.16161616 15.83838384] ; [30.83838384 40.16161616],0
n2,1,0.981629,0.00053,[11  4] ; [14  5],[11.02941176  3.97058824] ; [13.97058824  5.02941176],0
u3,1,0.983339,0.000436,[6 5] ; [13 11],[5.97142857 5.02857143] ; [13.02857143 10.97142857],0
