Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,7e-06,20.101966,[74 50] ; [132  26],[90.58156028 33.41843972] ; [115.41843972  42.58156028],1
s1,1,0.400057,0.708156,[  2 123] ; [  5 153],[  3.09187279 121.90812721] ; [  3.90812721 154.09187279],0
b4,1,0.42168,0.64563,[81 46] ; [94 65],[77.70979021 49.29020979] ; [97.29020979 61.70979021],0
a4,1,0.430448,0.621614,[79 48] ; [91 67],[75.75438596 51.24561404] ; [94.24561404 63.75438596],0
d4,1,0.442094,0.590841,[125   2] ; [156   1],[125.6584507   1.3415493] ; [155.3415493   1.6584507],0
d2,1,0.490738,0.474907,[90 37] ; [117  40],[92.56690141 34.43309859] ; [114.43309859  42.56690141],0
p6,1,0.551529,0.354586,[62 62] ; [71 82],[59.53790614 64.46209386] ; [73.46209386 79.53790614],0
a7,1,0.596635,0.280101,[100  27] ; [121  38],[98.13636364 28.86363636] ; [122.86363636  36.13636364],0
s5,1,0.653246,0.201832,[58 65] ; [68 85],[56.15217391 66.84782609] ; [69.84782609 83.15217391],0
s6,1,0.66343,0.189384,[94 31] ; [113  42],[92.41071429 32.58928571] ; [114.58928571  40.41071429],0
r2,1,0.732352,0.116963,[122   5] ; [152   5],[122.52816901   4.47183099] ; [151.47183099   5.52816901],0
a2,1,0.754335,0.097924,[47 80] ; [ 56 103],[45.73776224 81.26223776] ; [ 57.26223776 101.73776224],0
a5,1,0.759238,0.093931,[111  16] ; [137  22],[110.12587413  16.87412587] ; [137.87412587  21.12587413],0
d5,1,0.760532,0.092892,[123   4] ; [153   4],[123.42253521   3.57746479] ; [152.57746479   4.42253521],0
d3,1,0.779882,0.078105,[112  15] ; [141  17],[112.74035088  14.25964912] ; [140.25964912  17.74035088],0
u1,1,0.82227,0.050457,[36 91] ; [ 47 112],[36.85664336 90.14335664] ; [ 46.14335664 112.85664336],0
r1,1,0.835699,0.043014,[109  17] ; [138  20],[109.58450704  16.41549296] ; [137.41549296  20.58450704],0
a6,1,0.907436,0.01352,[93 34] ; [114  43],[92.56690141 34.43309859] ; [114.43309859  42.56690141],0
u3,1,0.912077,0.012192,[15  8] ; [20 10],[15.18867925  7.81132075] ; [19.81132075 10.18867925],0
v4,1,0.926814,0.008437,[124   3] ; [154   4],[123.88070175   3.11929825] ; [154.11929825   3.88070175],0
b1,1,0.943499,0.005023,[49 78] ; [62 97],[49.29020979 77.70979021] ; [61.70979021 97.29020979],0
a3,1,0.951984,0.003626,[104  23] ; [129  28],[104.19366197  22.80633803] ; [128.80633803  28.19366197],0
a8,1,0.984684,0.000369,[16 97] ; [ 19 116],[15.94758065 97.05241935] ; [ 19.05241935 115.94758065],0
r3,1,0.998098,6e-06,[123   4] ; [154   5],[123.0034965   3.9965035] ; [153.9965035   5.0034965],0
