Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,117.067406,[116  49] ; [ 21 150],[67.27678571 97.72321429] ; [ 69.72321429 101.27678571],1
p8,1,0.412049,0.672882,[ 61 101] ; [ 56 112],[ 57.43636364 104.56363636] ; [ 59.56363636 108.43636364],0
s3,1,0.448016,0.575666,[82 83] ; [91 78],[85.46407186 79.53592814] ; [87.53592814 81.46407186],0
n5,1,0.481668,0.495085,[109  55] ; [108  64],[105.91666667  58.08333333] ; [111.08333333  60.91666667],0
p11,1,0.490006,0.476513,[121  45] ; [131  41],[123.76331361  42.23668639] ; [128.23668639  43.76331361],0
r3,1,0.500785,0.453271,[163   3] ; [166   5],[162.05934718   3.94065282] ; [166.94065282   4.05934718],0
n3,1,0.520179,0.413538,[35 14] ; [34 10],[36.35483871 12.64516129] ; [32.64516129 11.35483871],0
p7,1,0.618563,0.247892,[81 77] ; [81 86],[78.75692308 79.24307692] ; [83.24307692 83.75692308],0
v1,1,0.641473,0.216821,[71 93] ; [77 91],[73.10843373 90.89156627] ; [74.89156627 93.10843373],0
s6,1,0.648821,0.20739,[93 70] ; [100  68],[95.04229607 67.95770393] ; [97.95770393 70.04229607],0
p3,1,0.64985,0.206089,[ 38 128] ; [ 43 129],[ 39.78106509 126.21893491] ; [ 41.21893491 130.78106509],0
p2,1,0.683293,0.166442,[122  44] ; [123  49],[120.32544379  45.67455621] ; [124.67455621  47.32544379],0
b4,1,0.70479,0.143536,[97 69] ; [97 75],[95.27810651 70.72189349] ; [98.72189349 73.27810651],0
p12,1,0.735347,0.114259,[  9 154] ; [  8 162],[  8.32132132 154.67867868] ; [  8.67867868 161.32132132],0
p1,1,0.842613,0.039423,[  8 158] ; [  9 161],[  8.39880952 157.60119048] ; [  8.60119048 161.39880952],0
u3,1,0.852987,0.034339,[20 15] ; [42 34],[19.54954955 15.45045045] ; [42.45045045 33.54954955],0
p6,1,0.855847,0.033001,[ 29 134] ; [ 31 136],[ 29.63636364 133.36363636] ; [ 30.36363636 136.63636364],0
s2,1,0.895398,0.017286,[73 92] ; [74 96],[72.40298507 92.59701493] ; [74.59701493 95.40298507],0
s5,1,0.907893,0.013386,[ 44 114] ; [ 45 120],[ 43.53560372 114.46439628] ; [ 45.46439628 119.53560372],0
a8,1,0.918899,0.010367,[ 22 126] ; [ 24 142],[ 21.68152866 126.31847134] ; [ 24.31847134 141.68152866],0
v4,1,0.949763,0.00397,[159   6] ; [165   6],[159.10714286   5.89285714] ; [164.89285714   6.10714286],0
