Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.002743,8.97094,[37 86] ; [23 18],[45. 78.] ; [15. 26.],0
r1,1,0.595468,0.281885,[77 47] ; [28 14],[78.43373494 45.56626506] ; [26.56626506 15.43373494],0
a6,1,0.624011,0.24027,[72 53] ; [26 16],[73.35329341 51.64670659] ; [24.64670659 17.35329341],0
a1,1,0.626753,0.23649,[  9 116] ; [ 4 38],[  9.73053892 115.26946108] ; [ 3.26946108 38.73053892],0
v4,1,0.631092,0.230583,[96 28] ; [34  8],[97.10843373 26.89156627] ; [32.89156627  9.10843373],0
a3,1,0.634565,0.225921,[71 52] ; [26 16],[72.30909091 50.69090909] ; [24.69090909 17.30909091],0
p4,1,0.658259,0.195645,[44 81] ; [16 25],[45.18072289 79.81927711] ; [14.81927711 26.18072289],0
p3,1,0.660479,0.192943,[34 90] ; [13 29],[35.10843373 88.89156627] ; [11.89156627 30.10843373],0
n1,1,0.700051,0.148418,[22 37] ; [6 8],[22.63013699 36.36986301] ; [5.36986301 8.63013699],0
d1,1,0.757182,0.095595,[57 68] ; [18 24],[56.13772455 68.86227545] ; [18.86227545 23.13772455],0
p7,1,0.771041,0.084689,[52 73] ; [16 25],[51.20481928 73.79518072] ; [16.79518072 24.20481928],0
a4,1,0.772967,0.08323,[47 76] ; [15 27],[46.21818182 76.78181818] ; [15.78181818 26.21818182],0
p5,1,0.781881,0.076656,[  4 120] ; [ 1 41],[  3.73493976 120.26506024] ; [ 1.26506024 40.73493976],0
u4,1,0.787571,0.072612,[  4 121] ; [ 1 41],[  3.74251497 121.25748503] ; [ 1.25748503 40.74251497],0
n5,1,0.826423,0.048089,[69 56] ; [24 18],[69.61077844 55.38922156] ; [23.38922156 18.61077844],0
b5,1,0.826776,0.04789,[78 47] ; [27 15],[78.59281437 46.40718563] ; [26.40718563 15.59281437],0
b1,1,0.892939,0.018114,[61 64] ; [21 21],[61.37724551 63.62275449] ; [20.62275449 21.37724551],0
r3,1,0.930997,0.007498,[99 26] ; [33  9],[98.80239521 26.19760479] ; [33.19760479  8.80239521],0
d2,1,0.934623,0.006729,[57 67] ; [19 23],[56.77108434 67.22891566] ; [19.22891566 22.77108434],0
