Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.003289,8.64,[19 41] ; [16  8],[25. 35.] ; [10. 14.],0
n4,1,0.781026,0.077274,[31 30] ; [13 11],[31.57647059 29.42352941] ; [12.42352941 11.57647059],0
d4,1,0.788702,0.071822,[44 17] ; [18  6],[44.49411765 16.50588235] ; [17.50588235  6.49411765],0
a7,1,0.789517,0.071256,[40 21] ; [15  9],[39.47058824 21.52941176] ; [15.52941176  8.47058824],0
d3,1,0.827997,0.047207,[34 27] ; [14 10],[34.44705882 26.55294118] ; [13.55294118 10.44705882],0
a4,1,0.844031,0.038707,[24 37] ; [10 14],[24.4 36.6] ; [ 9.6 14.4],0
r3,1,0.904758,0.014317,[44 17] ; [17  7],[43.77647059 17.22352941] ; [17.22352941  6.77647059],0
p1,1,0.915152,0.011351,[ 7 53] ; [ 3 21],[ 7.14285714 52.85714286] ; [ 2.85714286 21.14285714],0
p3,1,0.931564,0.007375,[12 48] ; [ 5 19],[12.14285714 47.85714286] ; [ 4.85714286 19.14285714],0
b1,1,0.935984,0.006451,[26 35] ; [10 14],[25.83529412 35.16470588] ; [10.16470588 13.83529412],0
p2,1,0.945754,0.004629,[31 30] ; [12 12],[30.85882353 30.14117647] ; [12.14117647 11.85882353],0
a6,1,0.954068,0.003318,[36 25] ; [14 10],[35.88235294 25.11764706] ; [14.11764706  9.88235294],0
n3,1,0.964419,0.00199,[18 13] ; [4 3],[17.94736842 13.05263158] ; [4.05263158 2.94736842],0
