Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,38.812421,[ 5 19] ; [76 13],[17.20353982  6.79646018] ; [63.79646018 25.20353982],1
b2,1,0.632415,0.2288,[4 4] ; [23 33],[3.375 4.625] ; [23.625 32.375],0
a3,1,0.657972,0.195996,[17  7] ; [67 22],[17.84070796  6.15929204] ; [66.15929204 22.84070796],0
a7,1,0.672286,0.17894,[19  5] ; [66 22],[18.21428571  5.78571429] ; [66.78571429 21.21428571],0
d3,1,0.673953,0.177013,[17  7] ; [59 30],[16.14159292  7.85840708] ; [59.85840708 29.14159292],0
d4,1,0.678861,0.171411,[20  4] ; [70 18],[19.28571429  4.71428571] ; [70.71428571 17.28571429],0
r1,1,0.702097,0.1463,[18  6] ; [70 19],[18.69026549  5.30973451] ; [69.30973451 19.69026549],0
s6,1,0.703309,0.145052,[15  9] ; [58 29],[15.78378378  8.21621622] ; [57.21621622 29.78378378],0
p10,1,0.7456,0.105266,[16  8] ; [61 26],[16.64864865  7.35135135] ; [60.35135135 26.64864865],0
p8,1,0.763347,0.090655,[ 6 18] ; [25 64],[ 6.5840708 17.4159292] ; [24.4159292 64.5840708],0
v1,1,0.905442,0.014111,[14 10] ; [49 37],[13.74545455 10.25454545] ; [49.25454545 36.74545455],0
s5,1,0.906568,0.013776,[ 6 18] ; [22 62],[ 6.22222222 17.77777778] ; [21.77777778 62.22222222],0
p5,1,0.920079,0.010067,[ 2 22] ; [ 8 81],[ 2.12389381 21.87610619] ; [ 7.87610619 81.12389381],0
u3,1,0.927375,0.008308,[4 3] ; [13  9],[4.10344828 2.89655172] ; [12.89655172  9.10344828],0
