Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,33.402353,[30  4] ; [12 38],[17. 17.] ; [25. 25.],1
b3,1,0.284073,1.1475,[ 7 17] ; [13 17],[ 8.88888889 15.11111111] ; [11.11111111 18.88888889],0
r4,1,0.296953,1.087826,[17 18] ; [30 20],[19.35294118 15.64705882] ; [27.64705882 22.35294118],0
v4,1,0.372296,0.795987,[21 14] ; [34 15],[22.91666667 12.08333333] ; [32.08333333 16.91666667],0
n6,1,0.3816,0.76554,[22 12] ; [27 22],[20.07228916 13.92771084] ; [28.92771084 20.07228916],0
r2,1,0.41352,0.668658,[28  5] ; [38 11],[26.56097561  6.43902439] ; [39.43902439  9.56097561],0
s6,1,0.427768,0.628877,[12 23] ; [21 28],[13.75 21.25] ; [19.25 29.75],0
r1,1,0.447521,0.576923,[20 15] ; [32 17],[21.66666667 13.33333333] ; [30.33333333 18.66666667],0
n5,1,0.480284,0.498217,[18 17] ; [29 20],[19.58333333 15.41666667] ; [27.41666667 21.58333333],0
p10,1,0.488422,0.48,[ 7 28] ; [ 7 42],[ 5.83333333 29.16666667] ; [ 8.16666667 40.83333333],0
p5,1,0.488422,0.48,[ 1 34] ; [ 3 46],[ 1.66666667 33.33333333] ; [ 2.33333333 46.66666667],0
s5,1,0.488422,0.48,[ 7 28] ; [ 7 42],[ 5.83333333 29.16666667] ; [ 8.16666667 40.83333333],0
v3,1,0.506015,0.442298,[ 9 25] ; [16 32],[10.36585366 23.63414634] ; [14.63414634 33.36585366],0
p4,1,0.517968,0.417938,[ 9 25] ; [10 39],[ 7.78313253 26.21686747] ; [11.21686747 37.78313253],0
s1,1,0.527089,0.4,[ 4 31] ; [ 8 41],[ 5. 30.] ; [ 7. 42.],0
p3,1,0.567588,0.326735,[ 7 27] ; [13 37],[ 8.0952381 25.9047619] ; [11.9047619 38.0952381],0
u2,1,0.595416,0.281966,[3 5] ; [13 14],[3.65714286 4.34285714] ; [12.34285714 14.65714286],0
p8,1,0.620691,0.244898,[ 5 30] ; [ 9 40],[ 5.83333333 29.16666667] ; [ 8.16666667 40.83333333],0
v1,1,0.635795,0.224284,[10 25] ; [12 38],[ 9.05882353 25.94117647] ; [12.94117647 37.05882353],0
n1,1,0.677726,0.172697,[ 7 12] ; [7 9],[ 7.6 11.4] ; [6.4 9.6],0
b5,1,0.697154,0.151449,[16 19] ; [25 25],[16.88235294 18.11764706] ; [24.11764706 25.88235294],0
u3,1,0.700311,0.148148,[5 4] ; [13 14],[4.5 4.5] ; [13.5 13.5],0
b4,1,0.713384,0.134921,[21 14] ; [28 22],[20.17647059 14.82352941] ; [28.82352941 21.17647059],0
s3,1,0.754293,0.097959,[11 24] ; [17 32],[11.66666667 23.33333333] ; [16.33333333 32.66666667],0
a6,1,0.75568,0.09682,[18 17] ; [24 26],[17.29411765 17.70588235] ; [24.70588235 25.29411765],0
s8,1,0.784585,0.07472,[ 5 30] ; [ 6 43],[ 4.58333333 30.41666667] ; [ 6.41666667 42.58333333],0
n4,1,0.793428,0.068571,[21 14] ; [28 21],[20.41666667 14.58333333] ; [28.58333333 20.41666667],0
a1,1,0.833145,0.044382,[ 4 31] ; [ 5 45],[ 3.70588235 31.29411765] ; [ 5.29411765 44.70588235],0
v2,1,0.871579,0.026132,[13 22] ; [17 31],[12.65060241 22.34939759] ; [17.34939759 30.65060241],0
r3,1,0.875645,0.02449,[23 12] ; [33 16],[23.33333333 11.66666667] ; [32.66666667 16.33333333],0
p1,1,0.924857,0.008896,[ 3 32] ; [ 4 46],[ 2.88235294 32.11764706] ; [ 4.11764706 45.88235294],0
b1,1,0.937263,0.006195,[20 15] ; [29 21],[20.17647059 14.82352941] ; [28.82352941 21.17647059],0
p11,1,0.978185,0.000748,[12 23] ; [17 33],[11.94117647 23.05882353] ; [17.05882353 32.94117647],0
