Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.8e-05,17.543452,[80  4] ; [19 10],[73.59292035 10.40707965] ; [25.40707965  3.59292035],1
v3,1,0.275089,1.191192,[26 57] ; [ 6 23],[23.71428571 59.28571429] ; [ 8.28571429 20.71428571],0
d4,1,0.29201,1.110333,[71 13] ; [22  7],[69.13274336 14.86725664] ; [23.86725664  5.13274336],0
n6,1,0.304953,1.052409,[70 13] ; [22  7],[68.17857143 14.82142857] ; [23.82142857  5.17857143],0
v1,1,0.333545,0.935087,[43 40] ; [12 17],[40.75892857 42.24107143] ; [14.24107143 14.75892857],0
s8,1,0.39706,0.717212,[51 33] ; [15 14],[49.0619469 34.9380531] ; [16.9380531 12.0619469],0
b2,1,0.410541,0.677232,[ 8 33] ; [ 5 12],[ 9.18965517 31.81034483] ; [ 3.81034483 13.18965517],0
b3,1,0.410541,0.677232,[ 8 33] ; [ 5 12],[ 9.18965517 31.81034483] ; [ 3.81034483 13.18965517],0
n5,1,0.41561,0.662696,[59 25] ; [18 11],[57.23893805 26.76106195] ; [19.76106195  9.23893805],0
s1,1,0.436714,0.604902,[ 5 78] ; [ 3 26],[ 5.92857143 77.07142857] ; [ 2.07142857 26.92857143],0
u3,1,0.451587,0.566667,[13  4] ; [11  6],[12.  5.] ; [12.  5.],0
s5,1,0.459507,0.547096,[46 33] ; [16  8],[47.55339806 31.44660194] ; [14.44660194  9.55339806],0
p11,1,0.468343,0.525883,[61 23] ; [19 10],[59.46902655 24.53097345] ; [20.53097345  8.46902655],0
p12,1,0.469035,0.524249,[ 6 77] ; [ 1 28],[ 5.1875 77.8125] ; [ 1.8125 27.1875],0
s7,1,0.539578,0.376323,[61 18] ; [20  8],[59.80373832 19.19626168] ; [21.19626168  6.80373832],0
p10,1,0.552333,0.353155,[69 13] ; [23  6],[67.96396396 14.03603604] ; [24.03603604  4.96396396],0
a8,1,0.559574,0.340443,[ 5 71] ; [ 1 27],[ 4.38461538 71.61538462] ; [ 1.61538462 26.38461538],0
n1,1,0.71615,0.132212,[ 5 15] ; [4 9],[ 5.45454545 14.54545455] ; [3.54545455 9.45454545],0
a7,1,0.719592,0.128884,[60 24] ; [19  9],[59.25 24.75] ; [19.75  8.25],0
p1,1,0.74228,0.108132,[ 7 77] ; [ 3 26],[ 7.43362832 76.56637168] ; [ 2.56637168 26.43362832],0
b1,1,0.809248,0.058272,[34 50] ; [11 18],[33.45132743 50.54867257] ; [11.54867257 17.45132743],0
p2,1,0.847317,0.037073,[68 16] ; [23  6],[67.6460177 16.3539823] ; [23.3539823  5.6460177],0
b5,1,0.904822,0.014298,[54 30] ; [19 10],[54.26548673 29.73451327] ; [18.73451327 10.26548673],0
p6,1,0.952744,0.003512,[38 45] ; [13 15],[38.13513514 44.86486486] ; [12.86486486 15.13513514],0
v4,1,0.975314,0.000958,[81  3] ; [28  1],[81.02654867  2.97345133] ; [27.97345133  1.02654867],0
a1,1,0.975314,0.000958,[ 3 81] ; [ 1 28],[ 2.97345133 81.02654867] ; [ 1.02654867 27.97345133],0
p8,1,0.996784,1.6e-05,[43 40] ; [14 13],[43.00909091 39.99090909] ; [13.99090909 13.00909091],0
u2,1,1.0,0.0,[9 8] ; [9 8],[9. 8.] ; [9. 8.],0
