Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.9e-05,18.294693,[16 26] ; [102  36],[27.53333333 14.46666667] ; [90.46666667 47.53333333],1
d4,1,0.426604,0.632052,[32 10] ; [112  25],[33.7877095  8.2122905] ; [110.2122905  26.7877095],0
d3,1,0.457929,0.550952,[26 15] ; [96 42],[27.94413408 13.05586592] ; [94.05586592 43.94413408],0
p7,1,0.505712,0.442929,[20 20] ; [75 59],[21.83908046 18.16091954] ; [73.16091954 60.83908046],0
v4,1,0.518634,0.41661,[38  4] ; [128   9],[38.94972067  3.05027933] ; [127.05027933   9.94972067],0
u1,1,0.563734,0.33328,[ 1 41] ; [  6 132],[ 1.63333333 40.36666667] ; [  5.36666667 132.63333333],0
p2,1,0.565792,0.329775,[32 10] ; [110  27],[33.31843575  8.68156425] ; [108.68156425  28.31843575],0
n2,1,0.605286,0.267097,[10  6] ; [21  9],[10.7826087  5.2173913] ; [20.2173913  9.7826087],0
d2,1,0.615188,0.25269,[10 32] ; [38 99],[11.26256983 30.73743017] ; [ 36.73743017 100.26256983],0
u3,1,0.615906,0.251664,[17  9] ; [37 25],[15.95454545 10.04545455] ; [38.04545455 23.95454545],0
s3,1,0.631238,0.230385,[21 20] ; [76 61],[22.34269663 18.65730337] ; [74.65730337 62.34269663],0
r1,1,0.640762,0.217747,[31 11] ; [96 41],[29.79888268 12.20111732] ; [97.20111732 39.79888268],0
v2,1,0.642829,0.215061,[18 21] ; [67 66],[19.27325581 19.72674419] ; [65.72674419 67.27325581],0
s2,1,0.660634,0.192754,[18 24] ; [64 73],[19.24022346 22.75977654] ; [62.75977654 74.24022346],0
v1,1,0.674376,0.176526,[17 24] ; [61 74],[18.17045455 22.82954545] ; [59.82954545 75.17045455],0
b5,1,0.690111,0.158965,[27 15] ; [84 54],[25.9 16.1] ; [85.1 52.9],0
s1,1,0.699847,0.148631,[ 2 38] ; [  5 132],[ 1.5819209 38.4180791] ; [  5.4180791 131.5819209],0
p1,1,0.769717,0.0857,[ 4 38] ; [ 11 125],[ 3.53932584 38.46067416] ; [ 11.46067416 124.53932584],0
d1,1,0.85086,0.035352,[20 22] ; [68 70],[20.53333333 21.46666667] ; [67.46666667 70.53333333],0
s7,1,0.85567,0.033083,[16 22] ; [53 78],[15.5147929 22.4852071] ; [53.4852071 77.5147929],0
s8,1,0.862599,0.029952,[14 28] ; [48 90],[14.46666667 27.53333333] ; [47.53333333 90.46666667],0
s5,1,0.88184,0.022093,[11 29] ; [35 98],[10.63583815 29.36416185] ; [35.36416185 97.63583815],0
n1,1,0.93557,0.006535,[ 6 10] ; [12 19],[6.12765957 9.87234043] ; [11.87234043 19.12765957],0
p8,1,0.941861,0.005319,[18 22] ; [63 75],[18.20224719 21.79775281] ; [62.79775281 75.20224719],0
b4,1,0.951241,0.003739,[27 15] ; [88 50],[26.83333333 15.16666667] ; [88.16666667 49.83333333],0
