Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.010063,6.623641,[ 5 10] ; [18  6],[8.84615385 6.15384615] ; [14.15384615  9.84615385],0
s7,1,0.643563,0.214113,[ 2 11] ; [ 5 18],[ 2.52777778 10.47222222] ; [ 4.47222222 18.52777778],0
d3,1,0.720786,0.127741,[6 9] ; [11 13],[6.53846154 8.46153846] ; [10.46153846 13.53846154],0
s1,1,0.730579,0.118581,[ 1 14] ; [ 1 23],[ 0.76923077 14.23076923] ; [ 1.23076923 22.76923077],0
a1,1,0.730579,0.118581,[ 1 14] ; [ 1 23],[ 0.76923077 14.23076923] ; [ 1.23076923 22.76923077],0
a6,1,0.783867,0.075231,[ 5 10] ; [ 7 17],[ 4.61538462 10.38461538] ; [ 7.38461538 16.61538462],0
s5,1,0.791857,0.069643,[ 3 12] ; [ 4 20],[ 2.69230769 12.30769231] ; [ 4.30769231 19.69230769],0
n1,1,0.799846,0.064286,[2 6] ; [2 8],[1.77777778 6.22222222] ; [2.22222222 7.77777778],0
n5,1,0.918006,0.010598,[9 6] ; [14 10],[8.84615385 6.15384615] ; [14.15384615  9.84615385],0
n4,1,0.918006,0.010598,[9 6] ; [14 10],[8.84615385 6.15384615] ; [14.15384615  9.84615385],0
a8,1,0.956201,0.003016,[ 2 12] ; [ 3 19],[ 1.94444444 12.05555556] ; [ 3.05555556 18.94444444],0
