Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1e-05,19.457698,[39 42] ; [128  40],[54.3253012 26.6746988] ; [112.6746988  55.3253012],1
a7,1,0.525739,0.40262,[53 27] ; [118  50],[55.16129032 24.83870968] ; [115.83870968  52.16129032],0
s1,1,0.534322,0.386165,[ 1 80] ; [  4 161],[ 1.64634146 79.35365854] ; [  3.35365854 161.64634146],0
n6,1,0.568832,0.324641,[64 17] ; [137  30],[65.64919355 15.35080645] ; [135.35080645  31.64919355],0
u4,1,0.596465,0.28036,[ 1 80] ; [  1 167],[ 0.65060241 80.34939759] ; [  1.34939759 166.65060241],0
v4,1,0.665912,0.186421,[73  7] ; [155  12],[73.84615385  6.15384615] ; [154.15384615  12.84615385],0
a8,1,0.702405,0.145982,[10 67] ; [ 17 134],[ 9.11842105 67.88157895] ; [ 17.88157895 133.11842105],0
s5,1,0.717448,0.130951,[10 68] ; [ 24 141],[10.91358025 67.08641975] ; [ 23.08641975 141.91358025],0
n2,1,0.734333,0.11517,[18  6] ; [27 11],[17.41935484  6.58064516] ; [27.58064516 10.41935484],0
b4,1,0.744478,0.10623,[45 36] ; [97 71],[46.19277108 34.80722892] ; [95.80722892 72.19277108],0
u2,1,0.753848,0.098326,[23 19] ; [20 19],[22.2962963 19.7037037] ; [20.7037037 18.2962963],0
p6,1,0.760413,0.092988,[20 60] ; [ 44 120],[20.98360656 59.01639344] ; [ 43.01639344 120.98360656],0
s2,1,0.768663,0.086509,[17 64] ; [ 32 133],[16.13414634 64.86585366] ; [ 32.86585366 132.13414634],0
s3,1,0.873106,0.025509,[21 59] ; [ 42 124],[20.48780488 59.51219512] ; [ 42.51219512 123.48780488],0
p1,1,0.917104,0.010833,[ 8 72] ; [ 16 151],[ 7.77327935 72.22672065] ; [ 16.22672065 150.77327935],0
